ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,108780,4900,-103880,0,0,98,false,720
1,0,0,108780,10050,-98730,0,4,107,false,720
2,0,0,108780,14900,-93880,0,0,97,false,720
3,0,0,108780,19950,-88830,0,0,101,false,720
4,0,0,108780,24350,-84430,0,0,88,false,720
5,0,0,108780,29400,-79380,0,0,101,false,720
6,0,0,108780,34450,-74330,0,0,101,false,720
7,0,0,108780,39600,-69180,0,10,113,false,720
8,0,0,108780,44600,-64180,0,0,100,false,720
9,0,0,108780,49750,-59030,0,1,104,false,720
10,0,0,108780,54600,-54180,0,0,97,false,720
11,0,0,108780,59250,-49530,0,0,93,false,720
12,0,0,108780,63600,-45180,0,0,87,false,720
13,0,0,108780,68750,-40030,0,2,105,false,720
14,0,0,108780,73250,-35530,0,0,90,false,720
15,0,0,108780,78400,-30380,0,17,120,false,720
16,0,0,108780,83550,-25230,0,3,106,false,720
17,0,0,108780,88700,-20080,0,5,108,false,720
18,0,0,108780,93850,-14930,0,8,111,false,720
19,0,0,108780,98150,-10630,0,0,86,false,720
20,0,0,108780,103300,-5480,0,4,107,false,720
21,0,0,108780,107900,-880,0,0,92,false,720
22,0,0,108780,112900,4120,0,0,100,false,720
23,0,0,108780,117700,8920,0,0,96,false,720
24,0,0,108780,122850,14070,0,0,103,false,720
25,0,0,108780,128000,19220,0,18,121,false,720
26,0,0,108780,132600,23820,0,0,92,false,720
27,0,0,108780,137750,28970,0,5,108,false,720
28,0,0,108780,142350,33570,0,0,92,false,720
29,0,0,108780,145900,37120,0,0,71,false,720
30,0,0,108780,149750,40970,0,0,77,false,720
31,0,0,108780,154900,46120,0,4,107,false,720
32,0,0,108780,159450,50670,0,0,91,false,720
33,0,0,108780,164500,55720,0,0,101,false,720
34,0,0,108780,169450,60670,0,0,99,false,720
35,0,0,108780,174600,65820,0,6,109,false,720
36,0,0,108780,178850,70070,0,0,85,false,720
37,0,0,108780,183450,74670,0,0,92,false,720
38,0,0,108780,188600,79820,0,10,113,false,720
39,0,0,108780,192950,84170,0,0,87,false,720
40,0,0,108780,197800,89020,0,0,97,false,720
