ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,108986,4900,-104086,0,0,98,false,2366
1,0,0,108986,10050,-98936,0,4,107,false,2366
2,0,0,108986,14900,-94086,0,0,97,false,2366
3,0,0,108986,19950,-89036,0,0,101,false,2366
4,0,0,108986,24350,-84636,0,0,88,false,2366
5,0,0,108986,29400,-79586,0,0,101,false,2366
6,0,0,108986,34450,-74536,0,0,101,false,2366
7,0,0,108986,39600,-69386,0,10,113,false,2366
8,0,0,108986,44600,-64386,0,0,100,false,2366
9,0,0,108986,49750,-59236,0,1,104,false,2366
10,0,0,108986,54600,-54386,0,0,97,false,2366
11,0,0,108986,59250,-49736,0,0,93,false,2366
12,0,0,108986,63600,-45386,0,0,87,false,2366
13,0,0,108986,68750,-40236,0,2,105,false,2366
14,0,0,108986,73250,-35736,0,0,90,false,2366
15,0,0,108986,78400,-30586,0,17,120,false,2366
16,0,0,108986,83550,-25436,0,3,106,false,2366
17,0,0,108986,88700,-20286,0,5,108,false,2366
18,0,0,108986,93850,-15136,0,8,111,false,2366
19,0,0,108986,98150,-10836,0,0,86,false,2366
20,0,0,108986,103300,-5686,0,4,107,false,2366
21,0,0,108986,107900,-1086,0,0,92,false,2366
22,0,0,108986,112900,3914,0,0,100,false,2366
23,0,0,108986,117700,8714,0,0,96,false,2366
24,0,0,108986,122850,13864,0,0,103,false,2366
25,0,0,108986,128000,19014,0,18,121,false,2366
26,0,0,108986,132600,23614,0,0,92,false,2366
27,0,0,108986,137750,28764,0,5,108,false,2366
28,0,0,108986,142350,33364,0,0,92,false,2366
29,0,0,108986,145900,36914,0,0,71,false,2366
30,0,0,108986,149750,40764,0,0,77,false,2366
31,0,0,108986,154900,45914,0,4,107,false,2366
32,0,0,108986,159450,50464,0,0,91,false,2366
33,0,0,108986,164500,55514,0,0,101,false,2366
34,0,0,108986,169450,60464,0,0,99,false,2366
35,0,0,108986,174600,65614,0,6,109,false,2366
36,0,0,108986,178850,69864,0,0,85,false,2366
37,0,0,108986,183450,74464,0,0,92,false,2366
38,0,0,108986,188600,79614,0,10,113,false,2366
39,0,0,108986,192950,83964,0,0,87,false,2366
40,0,0,111411,197800,86389,0,0,97,true,2269
41,0,0,114061,203100,89039,0,0,106,true,2163
42,0,0,116361,207700,91339,0,0,92,true,2071
43,0,0,116361,212850,96489,0,1,104,false,2071
44,0,0,116361,217150,100789,0,0,86,false,2071
45,0,0,116361,221450,105089,0,0,86,false,2071
46,0,0,116361,226150,109789,0,0,94,false,2071
47,0,0,116361,231300,114939,0,7,110,false,2071
48,0,0,116361,235900,119539,0,0,92,false,2071
49,0,0,116361,241050,124689,0,7,110,false,2071
50,0,0,116361,246200,129839,0,3,106,false,2071
51,0,0,116361,251100,134739,0,0,98,false,2071
52,0,0,225347,256100,30753,0,0,100,false,2366
53,0,0,225347,261200,35853,0,0,102,false,2366
54,0,0,225347,265800,40453,0,0,92,false,2366
55,0,0,225347,270950,45603,0,2,105,false,2366
56,0,0,225347,275850,50503,0,0,98,false,2366
57,0,0,225347,281000,55653,0,4,107,false,2366
58,0,0,225347,286150,60803,0,5,108,false,2366
59,0,0,225347,291250,65903,0,0,102,false,2366
60,0,0,225347,296100,70753,0,0,97,false,2366
61,0,0,225347,299750,74403,0,0,73,false,2366
62,0,0,225347,304900,79553,0,22,125,false,2366
63,0,0,225347,309350,84003,0,0,89,false,2366
64,0,0,225347,314050,88703,0,0,94,false,2366
65,0,0,225347,319200,93853,0,4,107,false,2366
66,0,0,225347,324100,98753,0,0,98,false,2366
67,0,0,225347,328400,103053,0,0,86,false,2366
68,0,0,225347,333550,108203,0,4,107,false,2366
69,0,0,225347,338350,113003,0,0,96,false,2366
70,0,0,225347,342750,117403,0,0,88,false,2366
71,0,0,225347,346450,121103,0,0,74,false,2366
72,0,0,225347,350700,125353,0,0,85,false,2366
73,0,0,225347,355800,130453,0,0,102,false,2366
74,0,0,225347,360600,135253,0,0,96,false,2366
75,0,0,225347,365750,140403,0,2,105,false,2366
76,0,0,225347,370800,145453,0,0,101,false,2366
77,0,0,225347,375950,150603,0,2,105,false,2366
78,0,0,225347,380850,155503,0,0,98,false,2366
79,0,0,225347,386000,160653,0,18,121,false,2366
80,0,0,225347,390300,164953,0,0,86,false,2366
81,0,0,225347,395250,169903,0,0,99,false,2366
82,0,0,225347,399400,174053,0,0,83,false,2366
83,0,0,225347,403650,178303,0,0,85,false,2366
84,0,0,225347,408400,183053,0,0,95,false,2366
85,0,0,225347,412700,187353,0,0,86,false,2366
86,0,0,225347,417200,191853,0,0,90,false,2366
87,0,0,225347,421250,195903,0,0,81,false,2366
88,0,0,225347,425500,200153,0,0,85,false,2366
89,0,0,225347,430650,205303,0,12,115,false,2366
90,0,0,225347,434550,209203,0,0,78,false,2366
91,0,0,225347,438300,212953,0,0,75,false,2366
92,0,0,225347,443450,218103,0,7,110,false,2366
93,0,0,225347,448000,222653,0,0,91,false,2366
94,0,0,225347,452600,227253,0,0,92,false,2366
95,0,0,225347,457750,232403,0,6,109,false,2366
96,0,0,225347,462900,237553,0,0,103,false,2366
97,0,0,225347,467700,242353,0,0,96,false,2366
98,0,0,225347,472850,247503,0,2,105,false,2366
99,0,0,225347,477400,252053,0,0,91,false,2366
100,0,0,225347,482000,256653,0,0,92,false,2366
101,0,0,225347,485950,260603,0,0,79,false,2366
102,0,0,225347,491100,265753,0,10,113,false,2366
103,0,0,225347,496250,270903,0,0,103,false,2366
104,0,0,334333,501400,167067,0,10,113,false,2366
105,0,0,334333,506450,172117,0,0,101,false,2366
106,0,0,334333,510750,176417,0,0,86,false,2366
107,0,0,334333,515050,180717,0,0,86,false,2366
108,0,0,334333,519450,185117,0,0,88,false,2366
109,0,0,334333,524200,189867,0,0,95,false,2366
110,0,0,334333,529350,195017,0,3,106,false,2366
