ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,110598,4900,-105698,0,0,98,false,1326
1,0,0,110598,10050,-100548,0,4,107,false,1326
2,0,0,110598,14900,-95698,0,0,97,false,1326
3,0,0,110598,19950,-90648,0,0,101,false,1326
4,0,0,110598,24350,-86248,0,0,88,false,1326
5,0,0,110598,29400,-81198,0,0,101,false,1326
6,0,0,110598,34450,-76148,0,0,101,false,1326
7,0,0,110598,39600,-70998,0,10,113,false,1326
8,0,0,110598,44600,-65998,0,0,100,false,1326
9,0,0,110598,49750,-60848,0,1,104,false,1326
10,0,0,110598,54600,-55998,0,0,97,false,1326
11,0,0,110598,59250,-51348,0,0,93,false,1326
12,0,0,110598,63600,-46998,0,0,87,false,1326
13,0,0,110598,68750,-41848,0,2,105,false,1326
14,0,0,110598,73250,-37348,0,0,90,false,1326
15,0,0,110598,78400,-32198,0,17,120,false,1326
16,0,0,110598,83550,-27048,0,3,106,false,1326
17,0,0,110598,88700,-21898,0,5,108,false,1326
18,0,0,110598,93850,-16748,0,8,111,false,1326
19,0,0,110598,98150,-12448,0,0,86,false,1326
20,0,0,110598,103300,-7298,0,4,107,false,1326
21,0,0,110598,107900,-2698,0,0,92,false,1326
22,0,0,110598,112900,2302,0,0,100,false,1326
23,0,0,110598,117700,7102,0,0,96,false,1326
24,0,0,110598,122850,12252,0,0,103,false,1326
25,0,0,110598,128000,17402,0,18,121,false,1326
26,0,0,110598,132600,22002,0,0,92,false,1326
27,0,0,110598,137750,27152,0,5,108,false,1326
28,0,0,110598,142350,31752,0,0,92,false,1326
29,0,0,110598,145900,35302,0,0,71,false,1326
30,0,0,110598,149750,39152,0,0,77,false,1326
31,0,0,110598,154900,44302,0,4,107,false,1326
32,0,0,110598,159450,48852,0,0,91,false,1326
33,0,0,110598,164500,53902,0,0,101,false,1326
34,0,0,110598,169450,58852,0,0,99,false,1326
35,0,0,110598,174600,64002,0,6,109,false,1326
36,0,0,110598,178850,68252,0,0,85,false,1326
37,0,0,110598,183450,72852,0,0,92,false,1326
38,0,0,110598,188600,78002,0,10,113,false,1326
39,0,0,110598,192950,82352,0,0,87,false,1326
40,0,0,113023,197800,84777,0,0,97,true,1229
41,0,0,115673,203100,87427,0,0,106,true,1123
42,0,0,117973,207700,89727,0,0,92,true,1031
43,0,0,117973,212850,94877,0,1,104,false,1031
44,0,0,117973,217150,99177,0,0,86,false,1031
45,0,0,117973,221450,103477,0,0,86,false,1031
46,0,0,117973,226150,108177,0,0,94,false,1031
47,0,0,117973,231300,113327,0,7,110,false,1031
48,0,0,117973,235900,117927,0,0,92,false,1031
49,0,0,117973,241050,123077,0,7,110,false,1031
50,0,0,117973,246200,128227,0,3,106,false,1031
51,0,0,117973,251100,133127,0,0,98,false,1031
52,0,0,228571,256100,27529,0,0,100,false,1326
53,0,0,228571,261200,32629,0,0,102,false,1326
54,0,0,228571,265800,37229,0,0,92,false,1326
55,0,0,228571,270950,42379,0,2,105,false,1326
56,0,0,228571,275850,47279,0,0,98,false,1326
57,0,0,228571,281000,52429,0,4,107,false,1326
58,0,0,228571,286150,57579,0,5,108,false,1326
59,0,0,228571,291250,62679,0,0,102,false,1326
60,0,0,228571,296100,67529,0,0,97,false,1326
61,0,0,228571,299750,71179,0,0,73,false,1326
62,0,0,228571,304900,76329,0,22,125,false,1326
63,0,0,228571,309350,80779,0,0,89,false,1326
64,0,0,228571,314050,85479,0,0,94,false,1326
65,0,0,228571,319200,90629,0,4,107,false,1326
66,0,0,228571,324100,95529,0,0,98,false,1326
67,0,0,228571,328400,99829,0,0,86,false,1326
68,0,0,228571,333550,104979,0,4,107,false,1326
69,0,0,228571,338350,109779,0,0,96,false,1326
70,0,0,228571,342750,114179,0,0,88,false,1326
71,0,0,228571,346450,117879,0,0,74,false,1326
72,0,0,228571,350700,122129,0,0,85,false,1326
73,0,0,228571,355800,127229,0,0,102,false,1326
74,0,0,228571,360600,132029,0,0,96,false,1326
75,0,0,228571,365750,137179,0,2,105,false,1326
76,0,0,228571,370800,142229,0,0,101,false,1326
77,0,0,228571,375950,147379,0,2,105,false,1326
78,0,0,228571,380850,152279,0,0,98,false,1326
79,0,0,228571,386000,157429,0,18,121,false,1326
80,0,0,228571,390300,161729,0,0,86,false,1326
81,0,0,228571,395250,166679,0,0,99,false,1326
82,0,0,228571,399400,170829,0,0,83,false,1326
83,0,0,228571,403650,175079,0,0,85,false,1326
84,0,0,228571,408400,179829,0,0,95,false,1326
85,0,0,228571,412700,184129,0,0,86,false,1326
86,0,0,228571,417200,188629,0,0,90,false,1326
87,0,0,228571,421250,192679,0,0,81,false,1326
88,0,0,228571,425500,196929,0,0,85,false,1326
89,0,0,228571,430650,202079,0,12,115,false,1326
90,0,0,228571,434550,205979,0,0,78,false,1326
91,0,0,228571,438300,209729,0,0,75,false,1326
92,0,0,228571,443450,214879,0,7,110,false,1326
93,0,0,228571,448000,219429,0,0,91,false,1326
94,0,0,228571,452600,224029,0,0,92,false,1326
95,0,0,228571,457750,229179,0,6,109,false,1326
96,0,0,228571,462900,234329,0,0,103,false,1326
97,0,0,228571,467700,239129,0,0,96,false,1326
98,0,0,228571,472850,244279,0,2,105,false,1326
99,0,0,228571,477400,248829,0,0,91,false,1326
100,0,0,228571,482000,253429,0,0,92,false,1326
101,0,0,228571,485950,257379,0,0,79,false,1326
102,0,0,228571,491100,262529,0,10,113,false,1326
103,0,0,228571,496250,267679,0,0,103,false,1326
