ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,107214,4900,-102314,0,0,98,false,198
1,0,0,107214,10050,-97164,0,4,107,false,198
2,0,0,107214,14900,-92314,0,0,97,false,198
3,0,0,107214,19950,-87264,0,0,101,false,198
4,0,0,107214,24350,-82864,0,0,88,false,198
5,0,0,107214,29400,-77814,0,0,101,false,198
6,0,0,107214,34450,-72764,0,0,101,false,198
7,0,0,107214,39600,-67614,0,10,113,false,198
8,0,0,107214,44600,-62614,0,0,100,false,198
9,0,0,107214,49750,-57464,0,1,104,false,198
10,0,0,107214,54600,-52614,0,0,97,false,198
11,0,0,107214,59250,-47964,0,0,93,false,198
12,0,0,107214,63600,-43614,0,0,87,false,198
13,0,0,107214,68750,-38464,0,2,105,false,198
14,0,0,107214,73250,-33964,0,0,90,false,198
15,0,0,107214,78400,-28814,0,17,120,false,198
16,0,0,107214,83550,-23664,0,3,106,false,198
17,0,0,107214,88700,-18514,0,5,108,false,198
18,0,0,107214,93850,-13364,0,8,111,false,198
19,0,0,107214,98150,-9064,0,0,86,false,198
20,0,0,107214,103300,-3914,0,4,107,false,198
21,0,0,107214,107900,686,0,0,92,false,198
22,0,0,107214,112900,5686,0,0,100,false,198
23,0,0,107214,117700,10486,0,0,96,false,198
24,0,0,107214,122850,15636,0,0,103,false,198
25,0,0,107214,128000,20786,0,18,121,false,198
26,0,0,107214,132600,25386,0,0,92,false,198
27,0,0,107214,137750,30536,0,5,108,false,198
28,0,0,107214,142350,35136,0,0,92,false,198
29,0,0,107214,145900,38686,0,0,71,false,198
30,0,0,107214,149750,42536,0,0,77,false,198
31,0,0,107214,154900,47686,0,4,107,false,198
32,0,0,107214,159450,52236,0,0,91,false,198
33,0,0,107214,164500,57286,0,0,101,false,198
34,0,0,107214,169450,62236,0,0,99,false,198
35,0,0,107214,174600,67386,0,6,109,false,198
36,0,0,107214,178850,71636,0,0,85,false,198
37,0,0,107214,183450,76236,0,0,92,false,198
38,0,0,107214,188600,81386,0,10,113,false,198
39,0,0,107214,192950,85736,0,0,87,false,198
40,0,0,107214,197800,90586,0,0,97,false,198
41,0,0,107214,202950,95736,0,3,106,false,198
42,0,0,107214,207550,100336,0,0,92,false,198
43,0,0,107214,212700,105486,0,1,104,false,198
44,0,0,107214,217000,109786,0,0,86,false,198
45,0,0,107214,221300,114086,0,0,86,false,198
46,0,0,107214,226000,118786,0,0,94,false,198
47,0,0,107214,231150,123936,0,7,110,false,198
48,0,0,107214,235750,128536,0,0,92,false,198
49,0,0,107214,240900,133686,0,7,110,false,198
50,0,0,107214,246050,138836,0,3,106,false,198
51,0,0,107214,250950,143736,0,0,98,false,198
52,0,0,214428,255950,41522,0,0,100,false,198
53,0,0,214428,261050,46622,0,0,102,false,198
54,0,0,214428,265650,51222,0,0,92,false,198
55,0,0,214428,270800,56372,0,2,105,false,198
56,0,0,214428,275700,61272,0,0,98,false,198
57,0,0,214428,280850,66422,0,4,107,false,198
58,0,0,214428,286000,71572,0,5,108,false,198
59,0,0,214428,291100,76672,0,0,102,false,198
60,0,0,214428,295950,81522,0,0,97,false,198
61,0,0,214428,299600,85172,0,0,73,false,198
62,0,0,214428,304750,90322,0,22,125,false,198
63,0,0,214428,309200,94772,0,0,89,false,198
64,0,0,214428,313900,99472,0,0,94,false,198
65,0,0,214428,319050,104622,0,4,107,false,198
66,0,0,214428,323950,109522,0,0,98,false,198
67,0,0,214428,328250,113822,0,0,86,false,198
68,0,0,214428,333400,118972,0,4,107,false,198
69,0,0,214428,338200,123772,0,0,96,false,198
70,0,0,214428,342600,128172,0,0,88,false,198
71,0,0,214428,346300,131872,0,0,74,false,198
72,0,0,214428,350550,136122,0,0,85,false,198
73,0,0,214428,355650,141222,0,0,102,false,198
74,0,0,214428,360450,146022,0,0,96,false,198
75,0,0,214428,365600,151172,0,2,105,false,198
76,0,0,214428,370650,156222,0,0,101,false,198
77,0,0,214428,375800,161372,0,2,105,false,198
78,0,0,214428,380700,166272,0,0,98,false,198
79,0,0,214428,385850,171422,0,18,121,false,198
80,0,0,214428,390150,175722,0,0,86,false,198
81,0,0,214428,395100,180672,0,0,99,false,198
82,0,0,214428,399250,184822,0,0,83,false,198
83,0,0,214428,403500,189072,0,0,85,false,198
84,0,0,214428,408250,193822,0,0,95,false,198
85,0,0,214428,412550,198122,0,0,86,false,198
86,0,0,214428,417050,202622,0,0,90,false,198
87,0,0,214428,421100,206672,0,0,81,false,198
88,0,0,214428,425350,210922,0,0,85,false,198
89,0,0,214428,430500,216072,0,12,115,false,198
90,0,0,214428,434400,219972,0,0,78,false,198
91,0,0,214428,438150,223722,0,0,75,false,198
92,0,0,214428,443300,228872,0,7,110,false,198
93,0,0,214428,447850,233422,0,0,91,false,198
94,0,0,214428,452450,238022,0,0,92,false,198
95,0,0,214428,457600,243172,0,6,109,false,198
96,0,0,214428,462750,248322,0,0,103,false,198
97,0,0,214428,467550,253122,0,0,96,false,198
98,0,0,214428,472700,258272,0,2,105,false,198
99,0,0,214428,477250,262822,0,0,91,false,198
100,0,0,214428,481850,267422,0,0,92,false,198
101,0,0,214428,485800,271372,0,0,79,false,198
102,0,0,214428,490950,276522,0,10,113,false,198
103,0,0,214428,496100,281672,0,0,103,false,198
104,0,0,321642,501250,179608,0,10,113,false,198
105,0,0,321642,506300,184658,0,0,101,false,198
106,0,0,321642,510600,188958,0,0,86,false,198
107,0,0,321642,514900,193258,0,0,86,false,198
108,0,0,324282,519300,195018,0,0,88,true,110
109,0,0,324282,524050,199768,0,0,95,false,110
110,0,0,324282,529200,204918,0,3,106,false,110
111,0,0,324282,534250,209968,0,0,101,false,110
112,0,0,324282,539400,215118,0,2,105,false,110
113,0,0,324282,544550,220268,0,4,107,false,110
114,0,0,324282,548700,224418,0,0,83,false,110
115,0,0,324282,553450,229168,0,0,95,false,110
116,0,0,324282,558000,233718,0,0,91,false,110
117,0,0,324282,563150,238868,0,2,105,false,110
118,0,0,324282,568300,244018,0,6,109,false,110
119,0,0,324282,573450,249168,0,9,112,false,110
120,0,0,324282,578500,254218,0,0,101,false,110
121,0,0,324282,583250,258968,0,0,95,false,110
122,0,0,324282,588400,264118,0,20,123,false,110
123,0,0,324282,593100,268818,0,0,94,false,110
124,0,0,324282,597950,273668,0,0,97,false,110
125,0,0,324282,602350,278068,0,0,88,false,110
126,0,0,324282,607500,283218,0,6,109,false,110
127,0,0,324282,611850,287568,0,0,87,false,110
128,0,0,324282,617000,292718,0,2,105,false,110
129,0,0,324282,621850,297568,0,0,97,false,110
130,0,0,324282,627000,302718,0,0,103,false,110
131,0,0,324282,631450,307168,0,0,89,false,110
132,0,0,324282,636600,312318,0,0,103,false,110
133,0,0,324282,641350,317068,0,0,95,false,110
134,0,0,324282,646000,321718,0,0,93,false,110
135,0,0,324282,651150,326868,0,8,111,false,110
136,0,0,324282,656300,332018,0,2,105,false,110
137,0,0,324282,661250,336968,0,0,99,false,110
138,0,0,324282,666400,342118,0,2,105,false,110
139,0,0,324282,671400,347118,0,0,100,false,110
140,0,0,324282,676550,352268,0,10,113,false,110
141,0,0,324282,681700,357418,0,6,109,false,110
142,0,0,324282,686250,361968,0,0,91,false,110
143,0,0,324282,691400,367118,0,10,113,false,110
144,0,0,324282,696550,372268,0,2,105,false,110
