ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,110010,4900,-105110,0,0,98,false,678
1,0,0,110010,10050,-99960,0,4,107,false,678
2,0,0,110010,14900,-95110,0,0,97,false,678
3,0,0,110010,19950,-90060,0,0,101,false,678
4,0,0,110010,24350,-85660,0,0,88,false,678
5,0,0,110010,29400,-80610,0,0,101,false,678
6,0,0,110010,34450,-75560,0,0,101,false,678
7,0,0,110010,39600,-70410,0,10,113,false,678
8,0,0,110010,44600,-65410,0,0,100,false,678
9,0,0,110010,49750,-60260,0,1,104,false,678
10,0,0,110010,54600,-55410,0,0,97,false,678
11,0,0,110010,59250,-50760,0,0,93,false,678
12,0,0,110010,63600,-46410,0,0,87,false,678
13,0,0,110010,68750,-41260,0,2,105,false,678
14,0,0,110010,73250,-36760,0,0,90,false,678
15,0,0,110010,78400,-31610,0,17,120,false,678
16,0,0,110010,83550,-26460,0,3,106,false,678
17,0,0,110010,88700,-21310,0,5,108,false,678
18,0,0,110010,93850,-16160,0,8,111,false,678
19,0,0,110010,98150,-11860,0,0,86,false,678
20,0,0,110010,103300,-6710,0,4,107,false,678
21,0,0,110010,107900,-2110,0,0,92,false,678
22,0,0,110010,112900,2890,0,0,100,false,678
23,0,0,110010,117700,7690,0,0,96,false,678
24,0,0,110010,122850,12840,0,0,103,false,678
25,0,0,110010,128000,17990,0,18,121,false,678
26,0,0,110010,132600,22590,0,0,92,false,678
27,0,0,110010,137750,27740,0,5,108,false,678
28,0,0,110010,142350,32340,0,0,92,false,678
29,0,0,110010,145900,35890,0,0,71,false,678
30,0,0,110010,149750,39740,0,0,77,false,678
31,0,0,110010,154900,44890,0,4,107,false,678
32,0,0,110010,159450,49440,0,0,91,false,678
33,0,0,110010,164500,54490,0,0,101,false,678
34,0,0,110010,169450,59440,0,0,99,false,678
35,0,0,110010,174600,64590,0,6,109,false,678
36,0,0,110010,178850,68840,0,0,85,false,678
37,0,0,110010,183450,73440,0,0,92,false,678
38,0,0,110010,188600,78590,0,10,113,false,678
39,0,0,110010,192950,82940,0,0,87,false,678
40,0,0,110010,197800,87790,0,0,97,false,678
41,0,0,110010,202950,92940,0,3,106,false,678
42,0,0,110010,207550,97540,0,0,92,false,678
43,0,0,110010,212700,102690,0,1,104,false,678
44,0,0,110010,217000,106990,0,0,86,false,678
45,0,0,110010,221300,111290,0,0,86,false,678
46,0,0,110010,226000,115990,0,0,94,false,678
47,0,0,110010,231150,121140,0,7,110,false,678
48,0,0,110010,235750,125740,0,0,92,false,678
49,0,0,110010,240900,130890,0,7,110,false,678
50,0,0,110010,246050,136040,0,3,106,false,678
51,0,0,110010,250950,140940,0,0,98,false,678
52,0,0,220020,255950,35930,0,0,100,false,678
53,0,0,220020,261050,41030,0,0,102,false,678
54,0,0,220020,265650,45630,0,0,92,false,678
55,0,0,220020,270800,50780,0,2,105,false,678
56,0,0,220020,275700,55680,0,0,98,false,678
57,0,0,220020,280850,60830,0,4,107,false,678
58,0,0,220020,286000,65980,0,5,108,false,678
59,0,0,220020,291100,71080,0,0,102,false,678
60,0,0,220020,295950,75930,0,0,97,false,678
61,0,0,220020,299600,79580,0,0,73,false,678
62,0,0,220020,304750,84730,0,22,125,false,678
63,0,0,220020,309200,89180,0,0,89,false,678
64,0,0,220020,313900,93880,0,0,94,false,678
65,0,0,220020,319050,99030,0,4,107,false,678
66,0,0,220020,323950,103930,0,0,98,false,678
67,0,0,220020,328250,108230,0,0,86,false,678
68,0,0,220020,333400,113380,0,4,107,false,678
69,0,0,220020,338200,118180,0,0,96,false,678
70,0,0,220020,342600,122580,0,0,88,false,678
71,0,0,220020,346300,126280,0,0,74,false,678
72,0,0,220020,350550,130530,0,0,85,false,678
