ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,192615,4600,-188015,0,6,98,false,427
1,0,0,192615,9200,-183415,0,15,107,false,427
2,0,0,192615,13800,-178815,0,5,97,false,427
3,0,0,192615,18400,-174215,0,9,101,false,427
4,0,0,192615,22800,-169815,0,0,88,false,427
5,0,0,192615,27400,-165215,0,9,101,false,427
6,0,0,192615,32000,-160615,0,9,101,false,427
7,0,0,192615,36600,-156015,0,21,113,false,427
8,0,0,192615,41200,-151415,0,8,100,false,427
9,0,0,192615,45800,-146815,0,12,104,false,427
10,0,0,192615,50400,-142215,0,5,97,false,427
11,0,0,192615,55000,-137615,0,1,93,false,427
12,0,0,192615,59350,-133265,0,0,87,false,427
13,0,0,192615,63950,-128665,0,13,105,false,427
14,0,0,192615,68450,-124165,0,0,90,false,427
15,0,0,192615,73050,-119565,0,28,120,false,427
16,0,0,192615,77650,-114965,0,14,106,false,427
17,0,0,192615,82250,-110365,0,16,108,false,427
18,0,0,192615,86850,-105765,0,19,111,false,427
19,0,0,192615,91150,-101465,0,0,86,false,427
20,0,0,192615,95750,-96865,0,15,107,false,427
21,0,0,192615,100350,-92265,0,0,92,false,427
22,0,0,192615,104950,-87665,0,8,100,false,427
23,0,0,192615,109550,-83065,0,4,96,false,427
24,0,0,192615,114150,-78465,0,11,103,false,427
25,0,0,192615,118750,-73865,0,29,121,false,427
26,0,0,192615,123350,-69265,0,0,92,false,427
27,0,0,192615,127950,-64665,0,16,108,false,427
28,0,0,192615,132550,-60065,0,0,92,false,427
29,0,0,192615,136100,-56515,0,0,71,false,427
30,0,0,192615,139950,-52665,0,0,77,false,427
31,0,0,192615,144550,-48065,0,15,107,false,427
32,0,0,192615,149100,-43515,0,0,91,false,427
33,0,0,192615,153700,-38915,0,9,101,false,427
34,0,0,192615,158300,-34315,0,7,99,false,427
35,0,0,192615,162900,-29715,0,17,109,false,427
36,0,0,192615,167150,-25465,0,0,85,false,427
37,0,0,192615,171750,-20865,0,0,92,false,427
38,0,0,192615,176350,-16265,0,21,113,false,427
39,0,0,192615,180700,-11915,0,0,87,false,427
40,0,0,192615,185300,-7315,0,5,97,false,427
41,0,0,192615,189900,-2715,0,14,106,false,427
42,0,0,192615,194500,1885,0,0,92,false,427
43,0,0,192615,199100,6485,0,12,104,false,427
44,0,0,192615,203400,10785,0,0,86,false,427
45,0,0,192615,207700,15085,0,0,86,false,427
46,0,0,192615,212300,19685,0,2,94,false,427
47,0,0,192615,216900,24285,0,18,110,false,427
48,0,0,192615,221500,28885,0,0,92,false,427
49,0,0,192615,226100,33485,0,18,110,false,427
50,0,0,192615,230700,38085,0,14,106,false,427
51,0,0,192615,235300,42685,0,6,98,false,427
52,0,0,385230,239900,-145330,0,8,100,false,427
53,0,0,385230,244500,-140730,0,10,102,false,427
54,0,0,385230,249100,-136130,0,0,92,false,427
55,0,0,385230,253700,-131530,0,13,105,false,427
56,0,0,385230,258300,-126930,0,6,98,false,427
57,0,0,385230,262900,-122330,0,15,107,false,427
58,0,0,385230,267500,-117730,0,16,108,false,427
59,0,0,385230,272100,-113130,0,10,102,false,427
60,0,0,385230,276700,-108530,0,5,97,false,427
61,0,0,385230,280350,-104880,0,0,73,false,427
62,0,0,385230,284950,-100280,0,33,125,false,427
63,0,0,385230,289400,-95830,0,0,89,false,427
64,0,0,385230,294000,-91230,0,2,94,false,427
65,0,0,385230,298600,-86630,0,15,107,false,427
66,0,0,385230,303200,-82030,0,6,98,false,427
67,0,0,385230,307500,-77730,0,0,86,false,427
68,0,0,385230,312100,-73130,0,15,107,false,427
69,0,0,385230,316700,-68530,0,4,96,false,427
70,0,0,385230,321100,-64130,0,0,88,false,427
71,0,0,385230,324800,-60430,0,0,74,false,427
72,0,0,385230,329050,-56180,0,0,85,false,427
73,0,0,385230,333650,-51580,0,10,102,false,427
74,0,0,385230,338250,-46980,0,4,96,false,427
75,0,0,385230,342850,-42380,0,13,105,false,427
76,0,0,385230,347450,-37780,0,9,101,false,427
77,0,0,385230,352050,-33180,0,13,105,false,427
78,0,0,385230,356650,-28580,0,6,98,false,427
79,0,0,385230,361250,-23980,0,29,121,false,427
80,0,0,385230,365550,-19680,0,0,86,false,427
81,0,0,385230,370150,-15080,0,7,99,false,427
82,0,0,385230,374300,-10930,0,0,83,false,427
83,0,0,385230,378550,-6680,0,0,85,false,427
84,0,0,385230,383150,-2080,0,3,95,false,427
85,0,0,385230,387450,2220,0,0,86,false,427
86,0,0,385230,391950,6720,0,0,90,false,427
87,0,0,385230,396000,10770,0,0,81,false,427
88,0,0,385230,400250,15020,0,0,85,false,427
89,0,0,385230,404850,19620,0,23,115,false,427
90,0,0,385230,408750,23520,0,0,78,false,427
91,0,0,385230,412500,27270,0,0,75,false,427
92,0,0,385230,417100,31870,0,18,110,false,427
93,0,0,385230,421650,36420,0,0,91,false,427
94,0,0,385230,426250,41020,0,0,92,false,427
95,0,0,385230,430850,45620,0,17,109,false,427
96,0,0,385230,435450,50220,0,11,103,false,427
97,0,0,385230,440050,54820,0,4,96,false,427
98,0,0,385230,444650,59420,0,13,105,false,427
99,0,0,385230,449200,63970,0,0,91,false,427
100,0,0,385230,453800,68570,0,0,92,false,427
101,0,0,385230,457750,72520,0,0,79,false,427
102,0,0,385230,462350,77120,0,21,113,false,427
103,0,0,385230,466950,81720,0,11,103,false,427
104,0,0,577845,471550,-106295,0,21,113,false,427
105,0,0,577845,476150,-101695,0,9,101,false,427
106,0,0,577845,480450,-97395,0,0,86,false,427
107,0,0,577845,484750,-93095,0,0,86,false,427
108,0,0,577845,489150,-88695,0,0,88,false,427
109,0,0,577845,493750,-84095,0,3,95,false,427
110,0,0,577845,498350,-79495,0,14,106,false,427
111,0,0,577845,502950,-74895,0,9,101,false,427
112,0,0,577845,507550,-70295,0,13,105,false,427
113,0,0,577845,512150,-65695,0,15,107,false,427
114,0,0,577845,516300,-61545,0,0,83,false,427
115,0,0,577845,520900,-56945,0,3,95,false,427
116,0,0,577845,525450,-52395,0,0,91,false,427
117,0,0,577845,530050,-47795,0,13,105,false,427
118,0,0,577845,534650,-43195,0,17,109,false,427
119,0,0,577845,539250,-38595,0,20,112,false,427
120,0,0,577845,543850,-33995,0,9,101,false,427
121,0,0,577845,548450,-29395,0,3,95,false,427
122,0,0,577845,553050,-24795,0,31,123,false,427
123,0,0,577845,557650,-20195,0,2,94,false,427
124,0,0,577845,562250,-15595,0,5,97,false,427
125,0,0,577845,566650,-11195,0,0,88,false,427
126,0,0,577845,571250,-6595,0,17,109,false,427
127,0,0,577845,575600,-2245,0,0,87,false,427
128,0,0,577845,580200,2355,0,13,105,false,427
129,0,0,577845,584800,6955,0,5,97,false,427
130,0,0,577845,589400,11555,0,11,103,false,427
131,0,0,577845,593850,16005,0,0,89,false,427
132,0,0,577845,598450,20605,0,11,103,false,427
133,0,0,577845,603050,25205,0,3,95,false,427
134,0,0,577845,607650,29805,0,1,93,false,427
135,0,0,577845,612250,34405,0,19,111,false,427
136,0,0,577845,616850,39005,0,13,105,false,427
137,0,0,577845,621450,43605,0,7,99,false,427
138,0,0,577845,626050,48205,0,13,105,false,427
139,0,0,577845,630650,52805,0,8,100,false,427
140,0,0,577845,635250,57405,0,21,113,false,427
141,0,0,577845,639850,62005,0,17,109,false,427
142,0,0,577845,644400,66555,0,0,91,false,427
143,0,0,577845,649000,71155,0,21,113,false,427
144,0,0,577845,653600,75755,0,13,105,false,427
145,0,0,577845,658200,80355,0,12,104,false,427
146,0,0,577845,662800,84955,0,19,111,false,427
147,0,0,577845,667200,89355,0,0,88,false,427
148,0,0,577845,671800,93955,0,11,103,false,427
149,0,0,577845,676400,98555,0,13,105,false,427
150,0,0,577845,681000,103155,0,0,92,false,427
151,0,0,577845,684600,106755,0,0,72,false,427
152,0,0,577845,689200,111355,0,14,106,false,427
153,0,0,577845,693800,115955,0,3,95,false,427
154,0,0,577845,698400,120555,0,14,106,false,427
155,0,0,577845,703000,125155,0,7,99,false,427
