ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,109719,4900,-104819,0,0,98,false,1033
1,0,0,109719,10050,-99669,0,4,107,false,1033
2,0,0,109719,14900,-94819,0,0,97,false,1033
3,0,0,109719,19950,-89769,0,0,101,false,1033
4,0,0,109719,24350,-85369,0,0,88,false,1033
5,0,0,109719,29400,-80319,0,0,101,false,1033
6,0,0,112244,34450,-77794,0,0,101,true,932
7,0,0,115069,40100,-74969,0,0,113,true,819
8,0,0,117569,45100,-72469,0,0,100,true,719
9,0,0,120169,50300,-69869,0,0,104,true,615
10,0,0,122594,55150,-67444,0,0,97,true,518
11,0,0,124919,59800,-65119,0,0,93,true,425
12,0,0,127094,64150,-62944,0,0,87,true,338
13,0,0,129719,69400,-60319,0,0,105,true,233
14,0,0,129719,73900,-55819,0,0,90,false,233
15,0,0,129719,79050,-50669,0,17,120,false,233
16,0,0,129719,84200,-45519,0,3,106,false,233
17,0,0,129719,89350,-40369,0,5,108,false,233
18,0,0,129719,94500,-35219,0,8,111,false,233
19,0,0,129719,98800,-30919,0,0,86,false,233
20,0,0,129719,103950,-25769,0,4,107,false,233
21,0,0,129719,108550,-21169,0,0,92,false,233
22,0,0,129719,113550,-16169,0,0,100,false,233
23,0,0,129719,118350,-11369,0,0,96,false,233
24,0,0,129719,123500,-6219,0,0,103,false,233
25,0,0,129719,128650,-1069,0,18,121,false,233
26,0,0,129719,133250,3531,0,0,92,false,233
27,0,0,129719,138400,8681,0,5,108,false,233
28,0,0,129719,143000,13281,0,0,92,false,233
29,0,0,129719,146550,16831,0,0,71,false,233
30,0,0,129719,150400,20681,0,0,77,false,233
31,0,0,129719,155550,25831,0,4,107,false,233
32,0,0,129719,160100,30381,0,0,91,false,233
33,0,0,129719,165150,35431,0,0,101,false,233
34,0,0,129719,170100,40381,0,0,99,false,233
35,0,0,129719,175250,45531,0,6,109,false,233
36,0,0,129719,179500,49781,0,0,85,false,233
37,0,0,129719,184100,54381,0,0,92,false,233
38,0,0,129719,189250,59531,0,10,113,false,233
39,0,0,129719,193600,63881,0,0,87,false,233
40,0,0,129719,198450,68731,0,0,97,false,233
41,0,0,129719,203600,73881,0,3,106,false,233
42,0,0,129719,208200,78481,0,0,92,false,233
43,0,0,129719,213350,83631,0,1,104,false,233
44,0,0,129719,217650,87931,0,0,86,false,233
45,0,0,129719,221950,92231,0,0,86,false,233
46,0,0,129719,226650,96931,0,0,94,false,233
47,0,0,129719,231800,102081,0,7,110,false,233
48,0,0,129719,236400,106681,0,0,92,false,233
49,0,0,129719,241550,111831,0,7,110,false,233
50,0,0,129719,246700,116981,0,3,106,false,233
51,0,0,129719,251600,121881,0,0,98,false,233
52,0,0,239438,256600,17162,0,0,100,false,1033
53,0,0,239438,261700,22262,0,0,102,false,1033
54,0,0,239438,266300,26862,0,0,92,false,1033
55,0,0,239438,271450,32012,0,2,105,false,1033
