ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,109746,4900,-104846,0,0,98,false,1042
1,0,0,109746,10050,-99696,0,4,107,false,1042
2,0,0,109746,14900,-94846,0,0,97,false,1042
3,0,0,109746,19950,-89796,0,0,101,false,1042
4,0,0,109746,24350,-85396,0,0,88,false,1042
5,0,0,109746,29400,-80346,0,0,101,false,1042
6,0,0,112271,34450,-77821,0,0,101,true,941
7,0,0,115096,40100,-74996,0,0,113,true,828
8,0,0,117596,45100,-72496,0,0,100,true,728
9,0,0,120196,50300,-69896,0,0,104,true,624
10,0,0,122621,55150,-67471,0,0,97,true,527
11,0,0,124946,59800,-65146,0,0,93,true,434
12,0,0,127121,64150,-62971,0,0,87,true,347
13,0,0,129746,69400,-60346,0,0,105,true,242
14,0,0,129746,73900,-55846,0,0,90,false,242
15,0,0,129746,79050,-50696,0,17,120,false,242
16,0,0,129746,84200,-45546,0,3,106,false,242
17,0,0,129746,89350,-40396,0,5,108,false,242
18,0,0,129746,94500,-35246,0,8,111,false,242
19,0,0,129746,98800,-30946,0,0,86,false,242
20,0,0,129746,103950,-25796,0,4,107,false,242
21,0,0,129746,108550,-21196,0,0,92,false,242
22,0,0,129746,113550,-16196,0,0,100,false,242
23,0,0,129746,118350,-11396,0,0,96,false,242
24,0,0,129746,123500,-6246,0,0,103,false,242
25,0,0,129746,128650,-1096,0,18,121,false,242
26,0,0,129746,133250,3504,0,0,92,false,242
27,0,0,129746,138400,8654,0,5,108,false,242
28,0,0,129746,143000,13254,0,0,92,false,242
29,0,0,129746,146550,16804,0,0,71,false,242
30,0,0,129746,150400,20654,0,0,77,false,242
31,0,0,129746,155550,25804,0,4,107,false,242
32,0,0,129746,160100,30354,0,0,91,false,242
33,0,0,129746,165150,35404,0,0,101,false,242
34,0,0,129746,170100,40354,0,0,99,false,242
35,0,0,129746,175250,45504,0,6,109,false,242
36,0,0,129746,179500,49754,0,0,85,false,242
37,0,0,129746,184100,54354,0,0,92,false,242
38,0,0,129746,189250,59504,0,10,113,false,242
39,0,0,129746,193600,63854,0,0,87,false,242
40,0,0,129746,198450,68704,0,0,97,false,242
41,0,0,129746,203600,73854,0,3,106,false,242
42,0,0,129746,208200,78454,0,0,92,false,242
43,0,0,129746,213350,83604,0,1,104,false,242
44,0,0,129746,217650,87904,0,0,86,false,242
45,0,0,129746,221950,92204,0,0,86,false,242
46,0,0,129746,226650,96904,0,0,94,false,242
47,0,0,129746,231800,102054,0,7,110,false,242
48,0,0,129746,236400,106654,0,0,92,false,242
49,0,0,129746,241550,111804,0,7,110,false,242
50,0,0,129746,246700,116954,0,3,106,false,242
51,0,0,129746,251600,121854,0,0,98,false,242
52,0,0,239492,256600,17108,0,0,100,false,1042
53,0,0,239492,261700,22208,0,0,102,false,1042
54,0,0,239492,266300,26808,0,0,92,false,1042
55,0,0,239492,271450,31958,0,2,105,false,1042
56,0,0,239492,276350,36858,0,0,98,false,1042
57,0,0,239492,281500,42008,0,4,107,false,1042
58,0,0,239492,286650,47158,0,5,108,false,1042
59,0,0,239492,291750,52258,0,0,102,false,1042
60,0,0,239492,296600,57108,0,0,97,false,1042
61,0,0,239492,300250,60758,0,0,73,false,1042
62,0,0,239492,305400,65908,0,22,125,false,1042
63,0,0,239492,309850,70358,0,0,89,false,1042
64,0,0,239492,314550,75058,0,0,94,false,1042
65,0,0,239492,319700,80208,0,4,107,false,1042
66,0,0,239492,324600,85108,0,0,98,false,1042
67,0,0,239492,328900,89408,0,0,86,false,1042
68,0,0,239492,334050,94558,0,4,107,false,1042
69,0,0,239492,338850,99358,0,0,96,false,1042
70,0,0,239492,343250,103758,0,0,88,false,1042
71,0,0,239492,346950,107458,0,0,74,false,1042
72,0,0,239492,351200,111708,0,0,85,false,1042
73,0,0,239492,356300,116808,0,0,102,false,1042
