ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,115044,4750,-110294,0,0,95,false,1048
1,0,0,115044,10150,-104894,0,15,123,false,1048
2,0,0,115044,14700,-100344,0,0,91,false,1048
3,0,0,115044,19900,-95144,0,0,104,false,1048
4,0,0,115044,23150,-91894,0,0,65,false,1048
5,0,0,115044,28300,-86744,0,0,103,false,1048
6,0,0,117644,33500,-84144,0,0,104,true,944
7,0,0,121169,40550,-80619,0,0,141,true,803
8,0,0,123669,45550,-78119,0,0,100,true,703
9,0,0,126494,51200,-75294,0,0,113,true,590
10,0,0,128769,55750,-73019,0,0,91,true,499
11,0,0,130794,59800,-70994,0,0,81,true,418
12,0,0,132319,62850,-69469,0,0,61,true,357
13,0,0,135194,68600,-66594,0,0,115,true,242
14,0,0,135194,72150,-63044,0,0,71,false,242
15,0,0,135194,77550,-57644,0,53,161,false,242
16,0,0,135194,82950,-52244,0,12,120,false,242
17,0,0,135194,88350,-46844,0,16,124,false,242
18,0,0,135194,93750,-41444,0,26,134,false,242
19,0,0,135194,96750,-38444,0,0,60,false,242
20,0,0,135194,102150,-33044,0,14,122,false,242
21,0,0,135194,105950,-29244,0,0,76,false,242
22,0,0,135194,111050,-24144,0,0,102,false,242
23,0,0,135194,115550,-19644,0,0,90,false,242
24,0,0,135194,120950,-14244,0,3,111,false,242
25,0,0,135194,126350,-8844,0,57,165,false,242
26,0,0,135194,130250,-4944,0,0,78,false,242
27,0,0,135194,135650,456,0,17,125,false,242
28,0,0,135194,139500,4306,0,0,77,false,242
29,0,0,135194,140200,5006,0,0,14,false,242
30,0,0,135194,141850,6656,0,0,33,false,242
31,0,0,135194,147250,12056,0,15,123,false,242
32,0,0,135194,151000,15806,0,0,75,false,242
33,0,0,135194,156150,20956,0,0,103,false,242
34,0,0,135194,161100,25906,0,0,99,false,242
35,0,0,135194,166500,31306,0,19,127,false,242
36,0,0,135194,169350,34156,0,0,57,false,242
37,0,0,135194,173150,37956,0,0,76,false,242
38,0,0,135194,178550,43356,0,32,140,false,242
39,0,0,135194,181700,46506,0,0,63,false,242
40,0,0,135194,186350,51156,0,0,93,false,242
41,0,0,135194,191750,56556,0,11,119,false,242
42,0,0,135194,195600,60406,0,0,77,false,242
43,0,0,135194,201000,65806,0,6,114,false,242
44,0,0,135194,203900,68706,0,0,58,false,242
45,0,0,135194,206800,71606,0,0,58,false,242
46,0,0,135194,210900,75706,0,0,82,false,242
47,0,0,135194,216300,81106,0,22,130,false,242
