ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,114417,4750,-109667,0,0,95,false,839
1,0,0,114417,10150,-104267,0,15,123,false,839
2,0,0,114417,14700,-99717,0,0,91,false,839
3,0,0,114417,19900,-94517,0,0,104,false,839
4,0,0,114417,23150,-91267,0,0,65,false,839
5,0,0,114417,28300,-86117,0,0,103,false,839
6,0,0,114417,33500,-80917,0,0,104,false,839
7,0,0,114417,38900,-75517,0,33,141,false,839
8,0,0,114417,43900,-70517,0,0,100,false,839
9,0,0,114417,49300,-65117,0,5,113,false,839
10,0,0,114417,53850,-60567,0,0,91,false,839
11,0,0,114417,57900,-56517,0,0,81,false,839
12,0,0,114417,60950,-53467,0,0,61,false,839
13,0,0,114417,66350,-48067,0,7,115,false,839
14,0,0,114417,69900,-44517,0,0,71,false,839
15,0,0,114417,75300,-39117,0,53,161,false,839
16,0,0,114417,80700,-33717,0,12,120,false,839
17,0,0,114417,86100,-28317,0,16,124,false,839
18,0,0,114417,91500,-22917,0,26,134,false,839
19,0,0,114417,94500,-19917,0,0,60,false,839
20,0,0,114417,99900,-14517,0,14,122,false,839
21,0,0,114417,103700,-10717,0,0,76,false,839
22,0,0,114417,108800,-5617,0,0,102,false,839
23,0,0,114417,113300,-1117,0,0,90,false,839
24,0,0,114417,118700,4283,0,3,111,false,839
25,0,0,114417,124100,9683,0,57,165,false,839
26,0,0,114417,128000,13583,0,0,78,false,839
27,0,0,114417,133400,18983,0,17,125,false,839
28,0,0,114417,137250,22833,0,0,77,false,839
29,0,0,114417,137950,23533,0,0,14,false,839
30,0,0,114417,139600,25183,0,0,33,false,839
31,0,0,114417,145000,30583,0,15,123,false,839
32,0,0,114417,148750,34333,0,0,75,false,839
33,0,0,114417,153900,39483,0,0,103,false,839
34,0,0,114417,158850,44433,0,0,99,false,839
35,0,0,114417,164250,49833,0,19,127,false,839
36,0,0,114417,167100,52683,0,0,57,false,839
37,0,0,114417,170900,56483,0,0,76,false,839
38,0,0,114417,176300,61883,0,32,140,false,839
39,0,0,114417,179450,65033,0,0,63,false,839
40,0,0,114417,184100,69683,0,0,93,false,839
41,0,0,114417,189500,75083,0,11,119,false,839
42,0,0,114417,193350,78933,0,0,77,false,839
43,0,0,114417,198750,84333,0,6,114,false,839
44,0,0,114417,201650,87233,0,0,58,false,839
45,0,0,114417,204550,90133,0,0,58,false,839
46,0,0,114417,208650,94233,0,0,82,false,839
47,0,0,118317,215150,96833,0,0,130,true,709
48,0,0,120597,218950,98353,0,0,76,true,633
49,0,0,120597,224350,103753,0,22,130,false,633
50,0,0,120597,229750,109153,0,12,120,false,633
51,0,0,120597,234450,113853,0,0,94,false,633
52,0,0,235014,239550,4536,0,0,102,false,839
53,0,0,235014,244900,9886,0,0,107,false,839
54,0,0,235014,248750,13736,0,0,77,false,839
55,0,0,235014,254150,19136,0,7,115,false,839
56,0,0,235014,258950,23936,0,0,96,false,839
57,0,0,238704,265100,26396,0,0,123,true,716
58,0,0,242424,271300,28876,0,0,124,true,592
59,0,0,245604,276600,30996,0,0,106,true,486
60,0,0,245604,281250,35646,0,0,93,false,486
61,0,0,245604,282300,36696,0,0,21,false,486
62,0,0,245604,287700,42096,0,67,175,false,486
63,0,0,245604,291100,45496,0,0,68,false,486
64,0,0,245604,295200,49596,0,0,82,false,486
65,0,0,245604,300600,54996,0,13,121,false,486
66,0,0,245604,305400,59796,0,0,96,false,486
67,0,0,245604,308350,62746,0,0,59,false,486
68,0,0,245604,313750,68146,0,14,122,false,486
69,0,0,248304,318250,69946,0,0,90,true,396
70,0,0,248304,321450,73146,0,0,64,false,396
71,0,0,248304,322550,74246,0,0,22,false,396
72,0,0,248304,325300,76996,0,0,55,false,396
73,0,0,251514,330650,79136,0,0,107,true,289
74,0,0,251514,335150,83636,0,0,90,false,289
75,0,0,251514,340550,89036,0,8,116,false,289
76,0,0,251514,345700,94186,0,0,103,false,289
77,0,0,251514,351100,99586,0,9,117,false,289
78,0,0,251514,355850,104336,0,0,95,false,289
79,0,0,251514,361250,109736,0,55,163,false,289
80,0,0,251514,364150,112636,0,0,58,false,289
81,0,0,251514,369050,117536,0,0,98,false,289
82,0,0,251514,371600,120086,0,0,51,false,289
83,0,0,251514,374350,122836,0,0,55,false,289
84,0,0,251514,378700,127186,0,0,87,false,289
85,0,0,251514,381600,130086,0,0,58,false,289
86,0,0,251514,385100,133586,0,0,70,false,289
87,0,0,251514,387250,135736,0,0,43,false,289
88,0,0,251514,390100,138586,0,0,57,false,289
89,0,0,251514,395500,143986,0,38,146,false,289
