ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,157118,4900,-152218,0,0,98,true,778
1,0,0,157118,9750,-147368,0,10,107,false,778
2,0,0,157118,14600,-142518,0,0,97,false,778
3,0,0,157118,19450,-137668,0,4,101,false,778
4,0,0,157118,23850,-133268,0,0,88,false,778
5,0,0,157118,28700,-128418,0,4,101,false,778
6,0,0,157118,33550,-123568,0,4,101,false,778
7,0,0,157118,38400,-118718,0,16,113,false,778
8,0,0,157118,43250,-113868,0,3,100,false,778
9,0,0,157118,48100,-109018,0,7,104,false,778
10,0,0,157118,52950,-104168,0,0,97,false,778
11,0,0,157118,57600,-99518,0,0,93,false,778
12,0,0,157118,61950,-95168,0,0,87,false,778
13,0,0,157118,66800,-90318,0,8,105,false,778
14,0,0,157118,71300,-85818,0,0,90,false,778
15,0,0,157118,76150,-80968,0,23,120,false,778
16,0,0,157118,81000,-76118,0,9,106,false,778
17,0,0,157118,85850,-71268,0,11,108,false,778
18,0,0,157118,90700,-66418,0,14,111,false,778
19,0,0,157118,95000,-62118,0,0,86,false,778
20,0,0,157118,99850,-57268,0,10,107,false,778
21,0,0,157118,104450,-52668,0,0,92,false,778
22,0,0,157118,109300,-47818,0,3,100,false,778
23,0,0,157118,114100,-43018,0,0,96,false,778
24,0,0,157118,118950,-38168,0,6,103,false,778
25,0,0,157118,123800,-33318,0,24,121,false,778
26,0,0,157118,128400,-28718,0,0,92,false,778
27,0,0,157118,133250,-23868,0,11,108,false,778
28,0,0,157118,137850,-19268,0,0,92,false,778
29,0,0,157118,141400,-15718,0,0,71,false,778
30,0,0,157118,145250,-11868,0,0,77,false,778
31,0,0,157118,150100,-7018,0,10,107,false,778
32,0,0,157118,154650,-2468,0,0,91,false,778
33,0,0,157118,159500,2382,0,4,101,false,778
34,0,0,157118,164350,7232,0,2,99,false,778
35,0,0,157118,169200,12082,0,12,109,false,778
36,0,0,157118,173450,16332,0,0,85,false,778
37,0,0,157118,178050,20932,0,0,92,false,778
38,0,0,157118,182900,25782,0,16,113,false,778
39,0,0,157118,187250,30132,0,0,87,false,778
40,0,0,157118,192100,34982,0,0,97,false,778
41,0,0,159768,197400,37632,0,0,106,true,672
42,0,0,162068,202000,39932,0,0,92,true,580
43,0,0,164668,207200,42532,0,0,104,true,476
44,0,0,164668,211500,46832,0,0,86,false,476
45,0,0,164668,215800,51132,0,0,86,false,476
46,0,0,164668,220500,55832,0,0,94,false,476
47,0,0,164668,225350,60682,0,13,110,false,476
48,0,0,164668,229950,65282,0,0,92,false,476
49,0,0,164668,234800,70132,0,13,110,false,476
50,0,0,164668,239650,74982,0,9,106,false,476
51,0,0,164668,244500,79832,0,1,98,false,476
52,0,0,319336,249350,-69986,0,3,100,false,876
53,0,0,319336,254200,-65136,0,5,102,false,876
54,0,0,319336,258800,-60536,0,0,92,false,876
55,0,0,321961,264050,-57911,0,0,105,true,771
56,0,0,324411,268950,-55461,0,0,98,true,673
57,0,0,324411,273800,-50611,0,10,107,false,673
58,0,0,324411,278650,-45761,0,11,108,false,673
59,0,0,324411,283500,-40911,0,5,102,false,673
60,0,0,326836,288350,-38486,0,0,97,true,576
61,0,0,328661,292000,-36661,0,0,73,true,503
62,0,0,328661,296850,-31811,0,28,125,false,503
63,0,0,328661,301300,-27361,0,0,89,false,503
64,0,0,331011,306000,-25011,0,0,94,true,409
65,0,0,331011,310850,-20161,0,10,107,false,409
66,0,0,331011,315700,-15311,0,1,98,false,409
67,0,0,331011,320000,-11011,0,0,86,false,409
68,0,0,331011,324850,-6161,0,10,107,false,409
69,0,0,331011,329650,-1361,0,0,96,false,409
70,0,0,331011,334050,3039,0,0,88,false,409
71,0,0,331011,337750,6739,0,0,74,false,409
72,0,0,331011,342000,10989,0,0,85,false,409
73,0,0,331011,346850,15839,0,5,102,false,409
74,0,0,331011,351650,20639,0,0,96,false,409
75,0,0,331011,356500,25489,0,8,105,false,409
76,0,0,331011,361350,30339,0,4,101,false,409
77,0,0,331011,366200,35189,0,8,105,false,409
78,0,0,331011,371050,40039,0,1,98,false,409
79,0,0,331011,375900,44889,0,24,121,false,409
80,0,0,331011,380200,49189,0,0,86,false,409
81,0,0,331011,385050,54039,0,2,99,false,409
82,0,0,331011,389200,58189,0,0,83,false,409
83,0,0,331011,393450,62439,0,0,85,false,409
84,0,0,331011,398200,67189,0,0,95,false,409
85,0,0,331011,402500,71489,0,0,86,false,409
86,0,0,333261,407000,73739,0,0,90,true,319
87,0,0,333261,411050,77789,0,0,81,false,319
88,0,0,333261,415300,82039,0,0,85,false,319
89,0,0,333261,420150,86889,0,18,115,false,319
90,0,0,333261,424050,90789,0,0,78,false,319
91,0,0,333261,427800,94539,0,0,75,false,319
92,0,0,333261,432650,99389,0,13,110,false,319
93,0,0,333261,437200,103939,0,0,91,false,319
94,0,0,333261,441800,108539,0,0,92,false,319
95,0,0,333261,446650,113389,0,12,109,false,319
96,0,0,333261,451500,118239,0,6,103,false,319
97,0,0,335661,456300,120639,0,0,96,true,223
98,0,0,338286,461550,123264,0,0,105,true,118
99,0,0,340561,466100,125539,0,0,91,true,27
100,0,0,340561,470700,130139,0,0,92,false,27
101,0,0,340561,474650,134089,0,0,79,false,27
102,0,0,340561,479500,138939,0,16,113,false,27
103,0,0,340561,484350,143789,0,6,103,false,27
104,0,0,495229,489200,-6029,0,16,113,false,876
105,0,0,497754,494250,-3504,0,0,101,true,775
106,0,0,499904,498550,-1354,0,0,86,true,689
107,0,0,499904,502850,2946,0,0,86,false,689
108,0,0,499904,507250,7346,0,0,88,false,689
109,0,0,502279,512000,9721,0,0,95,true,594
110,0,0,502279,516850,14571,0,9,106,false,594
111,0,0,502279,521700,19421,0,4,101,false,594
112,0,0,502279,526550,24271,0,8,105,false,594
113,0,0,502279,531400,29121,0,10,107,false,594
114,0,0,502279,535550,33271,0,0,83,false,594
115,0,0,502279,540300,38021,0,0,95,false,594
116,0,0,502279,544850,42571,0,0,91,false,594
117,0,0,502279,549700,47421,0,8,105,false,594
118,0,0,505004,555150,50146,0,0,109,true,485
119,0,0,507804,560750,52946,0,0,112,true,373
120,0,0,507804,565600,57796,0,4,101,false,373
121,0,0,507804,570350,62546,0,0,95,false,373
122,0,0,507804,575200,67396,0,26,123,false,373
123,0,0,507804,579900,72096,0,0,94,false,373
