ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,112010,4900,-107110,0,0,98,false,1078
1,0,0,112010,10050,-101960,0,4,107,false,1078
2,0,0,112010,14900,-97110,0,0,97,false,1078
3,0,0,112010,19950,-92060,0,0,101,false,1078
4,0,0,112010,24350,-87660,0,0,88,false,1078
5,0,0,112010,29400,-82610,0,0,101,false,1078
6,0,0,112010,34450,-77560,0,0,101,false,1078
7,0,0,112010,39600,-72410,0,10,113,false,1078
8,0,0,112010,44600,-67410,0,0,100,false,1078
9,0,0,112010,49750,-62260,0,1,104,false,1078
10,0,0,112010,54600,-57410,0,0,97,false,1078
11,0,0,112010,59250,-52760,0,0,93,false,1078
12,0,0,112010,63600,-48410,0,0,87,false,1078
13,0,0,112010,68750,-43260,0,2,105,false,1078
14,0,0,114170,73250,-40920,0,0,90,true,988
15,0,0,114170,78400,-35770,0,17,120,false,988
16,0,0,114170,83550,-30620,0,3,106,false,988
17,0,0,114170,88700,-25470,0,5,108,false,988
18,0,0,114170,93850,-20320,0,8,111,false,988
19,0,0,114170,98150,-16020,0,0,86,false,988
20,0,0,114170,103300,-10870,0,4,107,false,988
21,0,0,114170,107900,-6270,0,0,92,false,988
22,0,0,114170,112900,-1270,0,0,100,false,988
23,0,0,114170,117700,3530,0,0,96,false,988
24,0,0,114170,122850,8680,0,0,103,false,988
25,0,0,114170,128000,13830,0,18,121,false,988
26,0,0,114170,132600,18430,0,0,92,false,988
27,0,0,114170,137750,23580,0,5,108,false,988
28,0,0,114170,142350,28180,0,0,92,false,988
29,0,0,114170,145900,31730,0,0,71,false,988
30,0,0,114170,149750,35580,0,0,77,false,988
31,0,0,114170,154900,40730,0,4,107,false,988
32,0,0,114170,159450,45280,0,0,91,false,988
33,0,0,114170,164500,50330,0,0,101,false,988
34,0,0,114170,169450,55280,0,0,99,false,988
35,0,0,116786,174900,58114,0,0,109,true,879
36,0,0,118826,179150,60324,0,0,85,true,794
37,0,0,118826,183750,64924,0,0,92,false,794
38,0,0,118826,188900,70074,0,10,113,false,794
39,0,0,118826,193250,74424,0,0,87,false,794
40,0,0,118826,198100,79274,0,0,97,false,794
41,0,0,118826,203250,84424,0,3,106,false,794
42,0,0,118826,207850,89024,0,0,92,false,794
43,0,0,118826,213000,94174,0,1,104,false,794
44,0,0,118826,217300,98474,0,0,86,false,794
45,0,0,118826,221600,102774,0,0,86,false,794
46,0,0,121082,226300,105218,0,0,94,true,700
47,0,0,121082,231450,110368,0,7,110,false,700
48,0,0,121082,236050,114968,0,0,92,false,700
49,0,0,121082,241200,120118,0,7,110,false,700
50,0,0,121082,246350,125268,0,3,106,false,700
51,0,0,121082,251250,130168,0,0,98,false,700
52,0,0,235492,256250,20758,0,0,100,true,978
53,0,0,237940,261350,23410,0,0,102,true,876
54,0,0,240148,265950,25802,0,0,92,true,784
55,0,0,240148,271100,30952,0,2,105,false,784
56,0,0,240148,276000,35852,0,0,98,false,784
57,0,0,240148,281150,41002,0,4,107,false,784
58,0,0,240148,286300,46152,0,5,108,false,784
59,0,0,240148,291400,51252,0,0,102,false,784
60,0,0,240148,296250,56102,0,0,97,false,784
61,0,0,240148,299900,59752,0,0,73,false,784
62,0,0,240148,305050,64902,0,22,125,false,784
63,0,0,240148,309500,69352,0,0,89,false,784
64,0,0,242404,314200,71796,0,0,94,true,690
65,0,0,242404,319350,76946,0,4,107,false,690
66,0,0,242404,324250,81846,0,0,98,false,690
67,0,0,242404,328550,86146,0,0,86,false,690
68,0,0,242404,333700,91296,0,4,107,false,690
69,0,0,242404,338500,96096,0,0,96,false,690
70,0,0,242404,342900,100496,0,0,88,false,690
71,0,0,242404,346600,104196,0,0,74,false,690
72,0,0,242404,350850,108446,0,0,85,false,690
73,0,0,242404,355950,113546,0,0,102,false,690
74,0,0,242404,360750,118346,0,0,96,false,690
75,0,0,242404,365900,123496,0,2,105,false,690
76,0,0,242404,370950,128546,0,0,101,false,690
77,0,0,242404,376100,133696,0,2,105,false,690
78,0,0,242404,381000,138596,0,0,98,false,690
79,0,0,242404,386150,143746,0,18,121,false,690
80,0,0,242404,390450,148046,0,0,86,false,690
81,0,0,242404,395400,152996,0,0,99,false,690
82,0,0,242404,399550,157146,0,0,83,false,690
83,0,0,242404,403800,161396,0,0,85,false,690
84,0,0,242404,408550,166146,0,0,95,false,690
85,0,0,244468,412850,168382,0,0,86,true,604
86,0,0,244468,417350,172882,0,0,90,false,604
87,0,0,244468,421400,176932,0,0,81,false,604
88,0,0,244468,425650,181182,0,0,85,false,604
89,0,0,244468,430800,186332,0,12,115,false,604
90,0,0,244468,434700,190232,0,0,78,false,604
91,0,0,244468,438450,193982,0,0,75,false,604
92,0,0,244468,443600,199132,0,7,110,false,604
93,0,0,244468,448150,203682,0,0,91,false,604
94,0,0,244468,452750,208282,0,0,92,false,604
95,0,0,244468,457900,213432,0,6,109,false,604
96,0,0,244468,463050,218582,0,0,103,false,604
97,0,0,244468,467850,223382,0,0,96,false,604
98,0,0,244468,473000,228532,0,2,105,false,604
99,0,0,244468,477550,233082,0,0,91,false,604
100,0,0,244468,482150,237682,0,0,92,false,604
101,0,0,244468,486100,241632,0,0,79,false,604
102,0,0,244468,491250,246782,0,10,113,false,604
103,0,0,244468,496400,251932,0,0,103,false,604
104,0,0,356478,501550,145072,0,10,113,false,1078
105,0,0,356478,506600,150122,0,0,101,false,1078
106,0,0,356478,510900,154422,0,0,86,false,1078
107,0,0,356478,515200,158722,0,0,86,false,1078
108,0,0,358590,519600,161010,0,0,88,true,990
109,0,0,358590,524350,165760,0,0,95,false,990
110,0,0,358590,529500,170910,0,3,106,false,990
111,0,0,358590,534550,175960,0,0,101,false,990
112,0,0,358590,539700,181110,0,2,105,false,990
113,0,0,358590,544850,186260,0,4,107,false,990
114,0,0,358590,549000,190410,0,0,83,false,990
115,0,0,358590,553750,195160,0,0,95,false,990
116,0,0,358590,558300,199710,0,0,91,false,990
117,0,0,358590,563450,204860,0,2,105,false,990
118,0,0,358590,568600,210010,0,6,109,false,990
119,0,0,358590,573750,215160,0,9,112,false,990
120,0,0,358590,578800,220210,0,0,101,false,990
121,0,0,358590,583550,224960,0,0,95,false,990
122,0,0,358590,588700,230110,0,20,123,false,990
123,0,0,358590,593400,234810,0,0,94,false,990
124,0,0,358590,598250,239660,0,0,97,false,990
125,0,0,358590,602650,244060,0,0,88,false,990
126,0,0,361206,608100,246894,0,0,109,true,881
127,0,0,361206,612450,251244,0,0,87,false,881
128,0,0,361206,617600,256394,0,2,105,false,881
129,0,0,361206,622450,261244,0,0,97,false,881
130,0,0,361206,627600,266394,0,0,103,false,881
131,0,0,361206,632050,270844,0,0,89,false,881
132,0,0,361206,637200,275994,0,0,103,false,881
133,0,0,361206,641950,280744,0,0,95,false,881
134,0,0,361206,646600,285394,0,0,93,false,881
135,0,0,361206,651750,290544,0,8,111,false,881
136,0,0,361206,656900,295694,0,2,105,false,881
137,0,0,361206,661850,300644,0,0,99,false,881
138,0,0,361206,667000,305794,0,2,105,false,881
139,0,0,361206,672000,310794,0,0,100,false,881
140,0,0,361206,677150,315944,0,10,113,false,881
141,0,0,361206,682300,321094,0,6,109,false,881
142,0,0,361206,686850,325644,0,0,91,false,881
143,0,0,361206,692000,330794,0,10,113,false,881
144,0,0,361206,697150,335944,0,2,105,false,881
145,0,0,361206,702300,341094,0,1,104,false,881
146,0,0,361206,707450,346244,0,8,111,false,881
147,0,0,361206,711850,350644,0,0,88,false,881
148,0,0,363678,717000,353322,0,0,103,true,778
149,0,0,363678,722150,358472,0,2,105,false,778
150,0,0,363678,726750,363072,0,0,92,false,778
151,0,0,363678,730350,366672,0,0,72,false,778
152,0,0,363678,735500,371822,0,3,106,false,778
153,0,0,363678,740250,376572,0,0,95,false,778
154,0,0,363678,745400,381722,0,3,106,false,778
155,0,0,363678,750350,386672,0,0,99,false,778
156,0,0,475688,755500,279812,0,13,116,false,1078
157,0,0,475688,760300,284612,0,0,96,false,1078
158,0,0,475688,764900,289212,0,0,92,false,1078
159,0,0,478040,769800,291760,0,0,98,true,980
160,0,0,478040,774850,296810,0,0,101,false,980
161,0,0,478040,780000,301960,0,4,107,false,980
162,0,0,478040,785150,307110,0,24,127,false,980
163,0,0,478040,789400,311360,0,0,85,false,980
164,0,0,478040,794400,316360,0,0,100,false,980
165,0,0,478040,799250,321210,0,0,97,false,980
166,0,0,478040,804350,326310,0,0,102,false,980
167,0,0,478040,809500,331460,0,3,106,false,980
168,0,0,480584,814800,334216,0,0,106,true,874
169,0,0,483176,820200,337024,0,0,108,true,766
170,0,0,483176,825150,341974,0,0,99,false,766
171,0,0,483176,829900,346724,0,0,95,false,766
172,0,0,483176,834950,351774,0,0,101,false,766
173,0,0,483176,840100,356924,0,8,111,false,766
174,0,0,485528,845000,359472,0,0,98,true,668
175,0,0,485528,850150,364622,0,12,115,false,668
176,0,0,485528,855300,369772,0,3,106,false,668
177,0,0,485528,860450,374922,0,9,112,false,668
178,0,0,485528,865100,379572,0,0,93,false,668
179,0,0,485528,869850,384322,0,0,95,false,668
180,0,0,485528,875000,389472,0,0,103,false,668
181,0,0,485528,879950,394422,0,0,99,false,668
182,0,0,485528,884850,399322,0,0,98,false,668
183,0,0,485528,889550,404022,0,0,94,false,668
184,0,0,485528,894700,409172,0,3,106,false,668
185,0,0,485528,898800,413272,0,0,82,false,668
186,0,0,488072,904100,416028,0,0,106,true,562
187,0,0,490688,909550,418862,0,0,109,true,453
188,0,0,493280,914950,421670,0,0,108,true,345
189,0,0,493280,920050,426770,0,0,102,false,345
190,0,0,493280,925150,431870,0,0,102,false,345
191,0,0,493280,930250,436970,0,0,102,false,345
192,0,0,493280,935150,441870,0,0,98,false,345
193,0,0,493280,940000,446720,0,0,97,false,345
194,0,0,493280,944700,451420,0,0,94,false,345
195,0,0,493280,949850,456570,0,4,107,false,345
196,0,0,493280,954950,461670,0,0,102,false,345
197,0,0,495632,959850,464218,0,0,98,true,247
198,0,0,495632,965000,469368,0,1,104,false,247
199,0,0,495632,970150,474518,0,9,112,false,247
200,0,0,495632,974500,478868,0,0,87,false,247
201,0,0,495632,979650,484018,0,12,115,false,247
202,0,0,495632,984800,489168,0,5,108,false,247
203,0,0,495632,989900,494268,0,0,102,false,247
204,0,0,495632,994600,498968,0,0,94,false,247
205,0,0,495632,999450,503818,0,0,97,false,247
206,0,0,495632,1004550,508918,0,0,102,false,247
207,0,0,495632,1009200,513568,0,0,93,false,247
208,0,0,607642,1013150,405508,0,0,79,false,1078
209,0,0,607642,1017650,410008,0,0,90,false,1078
210,0,0,607642,1022500,414858,0,0,97,false,1078
211,0,0,607642,1027350,419708,0,0,97,false,1078
212,0,0,607642,1032250,424608,0,0,98,false,1078
213,0,0,607642,1037400,429758,0,8,111,false,1078
214,0,0,607642,1042300,434658,0,0,98,false,1078
215,0,0,607642,1047450,439808,0,11,114,false,1078
216,0,0,607642,1052450,444808,0,0,100,false,1078
