ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,61380,4900,-56480,0,0,98,false,1002
1,0,0,61380,10250,-51130,0,0,107,false,1002
2,0,0,61380,15100,-46280,0,0,97,false,1002
3,0,0,61380,20150,-41230,0,0,101,false,1002
4,0,0,61380,24550,-36830,0,0,88,false,1002
5,0,0,61380,29600,-31780,0,0,101,false,1002
6,0,0,61380,34650,-26730,0,0,101,false,1002
7,0,0,61380,40050,-21330,0,5,113,false,1002
8,0,0,61380,45050,-16330,0,0,100,false,1002
9,0,0,61380,50250,-11130,0,0,104,false,1002
10,0,0,61380,55100,-6280,0,0,97,false,1002
11,0,0,61380,59750,-1630,0,0,93,false,1002
12,0,0,61380,64100,2720,0,0,87,false,1002
13,0,0,61380,69350,7970,0,0,105,false,1002
14,0,0,64080,73850,9770,0,0,90,true,912
15,0,0,64080,79250,15170,0,12,120,false,912
16,0,0,64080,84550,20470,0,0,106,false,912
17,0,0,64080,89950,25870,0,0,108,false,912
18,0,0,64080,95350,31270,0,3,111,false,912
19,0,0,64080,99650,35570,0,0,86,false,912
20,0,0,64080,105000,40920,0,0,107,false,912
21,0,0,64080,109600,45520,0,0,92,false,912
22,0,0,64080,114600,50520,0,0,100,false,912
23,0,0,64080,119400,55320,0,0,96,false,912
24,0,0,64080,124550,60470,0,0,103,false,912
25,0,0,64080,129950,65870,0,13,121,false,912
26,0,0,64080,134550,70470,0,0,92,false,912
27,0,0,64080,139950,75870,0,0,108,false,912
28,0,0,64080,144550,80470,0,0,92,false,912
29,0,0,64080,148100,84020,0,0,71,false,912
30,0,0,64080,151950,87870,0,0,77,false,912
31,0,0,64080,157300,93220,0,0,107,false,912
32,0,0,64080,161850,97770,0,0,91,false,912
33,0,0,64080,166900,102820,0,0,101,false,912
34,0,0,64080,171850,107770,0,0,99,false,912
35,0,0,67350,177300,109950,0,0,109,true,803
36,0,0,69900,181550,111650,0,0,85,true,718
37,0,0,69900,186150,116250,0,0,92,false,718
38,0,0,69900,191550,121650,0,5,113,false,718
39,0,0,69900,195900,126000,0,0,87,false,718
40,0,0,69900,200750,130850,0,0,97,false,718
41,0,0,69900,206050,136150,0,0,106,false,718
42,0,0,69900,210650,140750,0,0,92,false,718
43,0,0,69900,215850,145950,0,0,104,false,718
44,0,0,69900,220150,150250,0,0,86,false,718
45,0,0,69900,224450,154550,0,0,86,false,718
46,0,0,72720,229150,156430,0,0,94,true,624
47,0,0,72720,234550,161830,0,2,110,false,624
48,0,0,72720,239150,166430,0,0,92,false,624
49,0,0,72720,244550,171830,0,2,110,false,624
50,0,0,72720,249850,177130,0,0,106,false,624
51,0,0,72720,254750,182030,0,0,98,false,624
52,0,0,137100,259750,122650,0,0,100,true,902
53,0,0,140160,264850,124690,0,0,102,true,800
54,0,0,142920,269450,126530,0,0,92,true,708
55,0,0,142920,274700,131780,0,0,105,false,708
56,0,0,142920,279600,136680,0,0,98,false,708
57,0,0,142920,284950,142030,0,0,107,false,708
58,0,0,142920,290350,147430,0,0,108,false,708
59,0,0,142920,295450,152530,0,0,102,false,708
60,0,0,142920,300300,157380,0,0,97,false,708
