ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,116829,4900,-111929,0,0,98,false,3403
1,0,0,116829,10050,-106779,0,4,107,false,3403
2,0,0,119739,14900,-104839,0,0,97,true,3306
3,0,0,122769,19950,-102819,0,0,101,true,3205
4,0,0,125409,24350,-101059,0,0,88,true,3117
5,0,0,128439,29400,-99039,0,0,101,true,3016
6,0,0,131469,34450,-97019,0,0,101,true,2915
7,0,0,134859,40100,-94759,0,0,113,true,2802
8,0,0,137859,45100,-92759,0,0,100,true,2702
9,0,0,140979,50300,-90679,0,0,104,true,2598
10,0,0,143889,55150,-88739,0,0,97,true,2501
11,0,0,146679,59800,-86879,0,0,93,true,2408
12,0,0,146679,64150,-82529,0,0,87,false,2408
13,0,0,146679,69300,-77379,0,2,105,false,2408
14,0,0,146679,73800,-72879,0,0,90,false,2408
15,0,0,146679,78950,-67729,0,17,120,false,2408
16,0,0,146679,84100,-62579,0,3,106,false,2408
17,0,0,146679,89250,-57429,0,5,108,false,2408
18,0,0,146679,94400,-52279,0,8,111,false,2408
19,0,0,146679,98700,-47979,0,0,86,false,2408
20,0,0,146679,103850,-42829,0,4,107,false,2408
21,0,0,146679,108450,-38229,0,0,92,false,2408
22,0,0,146679,113450,-33229,0,0,100,false,2408
23,0,0,146679,118250,-28429,0,0,96,false,2408
24,0,0,146679,123400,-23279,0,0,103,false,2408
25,0,0,146679,128550,-18129,0,18,121,false,2408
26,0,0,146679,133150,-13529,0,0,92,false,2408
27,0,0,146679,138300,-8379,0,5,108,false,2408
28,0,0,146679,142900,-3779,0,0,92,false,2408
29,0,0,146679,146450,-229,0,0,71,false,2408
30,0,0,146679,150300,3621,0,0,77,false,2408
31,0,0,146679,155450,8771,0,4,107,false,2408
32,0,0,146679,160000,13321,0,0,91,false,2408
33,0,0,146679,165050,18371,0,0,101,false,2408
34,0,0,146679,170000,23321,0,0,99,false,2408
35,0,0,146679,175150,28471,0,6,109,false,2408
36,0,0,146679,179400,32721,0,0,85,false,2408
37,0,0,146679,184000,37321,0,0,92,false,2408
38,0,0,146679,189150,42471,0,10,113,false,2408
39,0,0,146679,193500,46821,0,0,87,false,2408
40,0,0,146679,198350,51671,0,0,97,false,2408
41,0,0,146679,203500,56821,0,3,106,false,2408
42,0,0,146679,208100,61421,0,0,92,false,2408
43,0,0,146679,213250,66571,0,1,104,false,2408
44,0,0,146679,217550,70871,0,0,86,false,2408
45,0,0,146679,221850,75171,0,0,86,false,2408
46,0,0,146679,226550,79871,0,0,94,false,2408
47,0,0,146679,231700,85021,0,7,110,false,2408
48,0,0,146679,236300,89621,0,0,92,false,2408
49,0,0,146679,241450,94771,0,7,110,false,2408
50,0,0,146679,246600,99921,0,3,106,false,2408
