ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,56370,4900,-51470,0,0,98,false,0
1,0,0,56370,10250,-46120,0,0,107,false,0
2,0,0,56370,15100,-41270,0,0,97,false,0
3,0,0,56370,20150,-36220,0,0,101,false,0
4,0,0,56370,24550,-31820,0,0,88,false,0
5,0,0,56370,29600,-26770,0,0,101,false,0
6,0,0,56370,34650,-21720,0,0,101,false,0
7,0,0,56370,40050,-16320,0,5,113,false,0
8,0,0,56370,45050,-11320,0,0,100,false,0
9,0,0,56370,50250,-6120,0,0,104,false,0
10,0,0,56370,55100,-1270,0,0,97,false,0
11,0,0,56370,59750,3380,0,0,93,false,0
12,0,0,56370,64100,7730,0,0,87,false,0
13,0,0,56370,69350,12980,0,0,105,false,0
14,0,0,56370,73850,17480,0,0,90,false,0
15,0,0,56370,79250,22880,0,12,120,false,0
16,0,0,56370,84550,28180,0,0,106,false,0
17,0,0,56370,89950,33580,0,0,108,false,0
18,0,0,56370,95350,38980,0,3,111,false,0
19,0,0,56370,99650,43280,0,0,86,false,0
20,0,0,56370,105000,48630,0,0,107,false,0
21,0,0,56370,109600,53230,0,0,92,false,0
22,0,0,56370,114600,58230,0,0,100,false,0
23,0,0,56370,119400,63030,0,0,96,false,0
24,0,0,56370,124550,68180,0,0,103,false,0
25,0,0,56370,129950,73580,0,13,121,false,0
26,0,0,56370,134550,78180,0,0,92,false,0
27,0,0,56370,139950,83580,0,0,108,false,0
28,0,0,56370,144550,88180,0,0,92,false,0
29,0,0,56370,148100,91730,0,0,71,false,0
30,0,0,56370,151950,95580,0,0,77,false,0
31,0,0,56370,157300,100930,0,0,107,false,0
32,0,0,56370,161850,105480,0,0,91,false,0
33,0,0,56370,166900,110530,0,0,101,false,0
34,0,0,56370,171850,115480,0,0,99,false,0
35,0,0,56370,177250,120880,0,1,109,false,0
36,0,0,56370,181500,125130,0,0,85,false,0
37,0,0,56370,186100,129730,0,0,92,false,0
38,0,0,56370,191500,135130,0,5,113,false,0
39,0,0,56370,195850,139480,0,0,87,false,0
40,0,0,56370,195850,139480,0,97,97,true,0
41,0,0,56370,195850,139480,0,106,106,true,0
42,0,0,56370,195850,139480,0,92,92,true,0
43,0,0,56370,201050,144680,0,0,104,false,0
44,0,0,56370,205350,148980,0,0,86,false,0
45,0,0,56370,209650,153280,0,0,86,false,0
46,0,0,56370,214350,157980,0,0,94,false,0
47,0,0,56370,219750,163380,0,2,110,false,0
48,0,0,56370,224350,167980,0,0,92,false,0
49,0,0,56370,229750,173380,0,2,110,false,0
50,0,0,56370,235050,178680,0,0,106,false,0
51,0,0,56370,239950,183580,0,0,98,false,0
52,0,0,112740,244950,132210,0,0,100,false,0
53,0,0,112740,250050,137310,0,0,102,false,0
54,0,0,112740,254650,141910,0,0,92,false,0
55,0,0,112740,259900,147160,0,0,105,false,0
56,0,0,112740,264800,152060,0,0,98,false,0
57,0,0,112740,270150,157410,0,0,107,false,0
58,0,0,112740,275550,162810,0,0,108,false,0
59,0,0,112740,280650,167910,0,0,102,false,0
60,0,0,112740,285500,172760,0,0,97,false,0
61,0,0,112740,289150,176410,0,0,73,false,0
62,0,0,112740,294550,181810,0,17,125,false,0
63,0,0,112740,299000,186260,0,0,89,false,0
64,0,0,112740,303700,190960,0,0,94,false,0
65,0,0,112740,309050,196310,0,0,107,false,0
66,0,0,112740,313950,201210,0,0,98,false,0
67,0,0,112740,318250,205510,0,0,86,false,0
68,0,0,112740,323600,210860,0,0,107,false,0
69,0,0,112740,328400,215660,0,0,96,false,0
70,0,0,112740,332800,220060,0,0,88,false,0
71,0,0,112740,336500,223760,0,0,74,false,0
72,0,0,112740,340750,228010,0,0,85,false,0
73,0,0,112740,345850,233110,0,0,102,false,0
74,0,0,112740,350650,237910,0,0,96,false,0
75,0,0,112740,355900,243160,0,0,105,false,0
76,0,0,112740,360950,248210,0,0,101,false,0
77,0,0,112740,366200,253460,0,0,105,false,0
78,0,0,112740,371100,258360,0,0,98,false,0
79,0,0,112740,376500,263760,0,13,121,false,0
80,0,0,112740,380800,268060,0,0,86,false,0
81,0,0,112740,385750,273010,0,0,99,false,0
82,0,0,112740,389900,277160,0,0,83,false,0
83,0,0,112740,394150,281410,0,0,85,false,0
84,0,0,112740,398900,286160,0,0,95,false,0
85,0,0,112740,403200,290460,0,0,86,false,0
86,0,0,112740,407700,294960,0,0,90,false,0
87,0,0,112740,411750,299010,0,0,81,false,0
88,0,0,112740,416000,303260,0,0,85,false,0
89,0,0,112740,421400,308660,0,7,115,false,0
90,0,0,112740,425300,312560,0,0,78,false,0
91,0,0,112740,429050,316310,0,0,75,false,0
92,0,0,112740,434450,321710,0,2,110,false,0
93,0,0,112740,439000,326260,0,0,91,false,0
94,0,0,112740,443600,330860,0,0,92,false,0
95,0,0,112740,449000,336260,0,1,109,false,0
96,0,0,112740,454150,341410,0,0,103,false,0
97,0,0,112740,458950,346210,0,0,96,false,0
98,0,0,112740,464200,351460,0,0,105,false,0
99,0,0,112740,468750,356010,0,0,91,false,0
100,0,0,112740,473350,360610,0,0,92,false,0
101,0,0,112740,477300,364560,0,0,79,false,0
102,0,0,112740,482700,369960,0,5,113,false,0
103,0,0,112740,487850,375110,0,0,103,false,0
104,0,0,169110,493250,324140,0,5,113,false,0
105,0,0,169110,498300,329190,0,0,101,false,0
106,0,0,169110,502600,333490,0,0,86,false,0
107,0,0,169110,506900,337790,0,0,86,false,0
108,0,0,169110,511300,342190,0,0,88,false,0
109,0,0,169110,516050,346940,0,0,95,false,0
110,0,0,169110,521350,352240,0,0,106,false,0
111,0,0,169110,526400,357290,0,0,101,false,0
112,0,0,169110,531650,362540,0,0,105,false,0
113,0,0,169110,537000,367890,0,0,107,false,0
114,0,0,169110,541150,372040,0,0,83,false,0
115,0,0,169110,545900,376790,0,0,95,false,0
116,0,0,169110,550450,381340,0,0,91,false,0
117,0,0,169110,555700,386590,0,0,105,false,0
118,0,0,169110,561100,391990,0,1,109,false,0
119,0,0,169110,566500,397390,0,4,112,false,0
120,0,0,169110,571550,402440,0,0,101,false,0
121,0,0,169110,576300,407190,0,0,95,false,0
122,0,0,169110,581700,412590,0,15,123,false,0
123,0,0,169110,586400,417290,0,0,94,false,0
124,0,0,169110,591250,422140,0,0,97,false,0
125,0,0,169110,595650,426540,0,0,88,false,0
126,0,0,169110,601050,431940,0,1,109,false,0
127,0,0,169110,605400,436290,0,0,87,false,0
128,0,0,169110,610650,441540,0,0,105,false,0
129,0,0,169110,615500,446390,0,0,97,false,0
130,0,0,169110,620650,451540,0,0,103,false,0
131,0,0,169110,625100,455990,0,0,89,false,0
132,0,0,169110,630250,461140,0,0,103,false,0
133,0,0,169110,635000,465890,0,0,95,false,0
134,0,0,169110,639650,470540,0,0,93,false,0
135,0,0,169110,645050,475940,0,3,111,false,0
136,0,0,169110,650300,481190,0,0,105,false,0
137,0,0,169110,655250,486140,0,0,99,false,0
138,0,0,169110,660500,491390,0,0,105,false,0
139,0,0,169110,665500,496390,0,0,100,false,0
140,0,0,169110,670900,501790,0,5,113,false,0
141,0,0,169110,676300,507190,0,1,109,false,0
142,0,0,169110,680850,511740,0,0,91,false,0
143,0,0,169110,686250,517140,0,5,113,false,0
144,0,0,169110,691500,522390,0,0,105,false,0
145,0,0,169110,696700,527590,0,0,104,false,0
146,0,0,169110,702100,532990,0,3,111,false,0
147,0,0,169110,706500,537390,0,0,88,false,0
148,0,0,169110,711650,542540,0,0,103,false,0
149,0,0,169110,716900,547790,0,0,105,false,0
150,0,0,169110,721500,552390,0,0,92,false,0
151,0,0,169110,725100,555990,0,0,72,false,0
152,0,0,169110,730400,561290,0,0,106,false,0
153,0,0,169110,735150,566040,0,0,95,false,0
154,0,0,169110,740450,571340,0,0,106,false,0
155,0,0,169110,745400,576290,0,0,99,false,0
156,0,0,225480,750800,525320,0,8,116,false,0
157,0,0,225480,755600,530120,0,0,96,false,0
158,0,0,225480,760200,534720,0,0,92,false,0
159,0,0,225480,765100,539620,0,0,98,false,0
160,0,0,225480,770150,544670,0,0,101,false,0
161,0,0,225480,775500,550020,0,0,107,false,0
162,0,0,225480,780900,555420,0,19,127,false,0
163,0,0,225480,785150,559670,0,0,85,false,0
164,0,0,225480,790150,564670,0,0,100,false,0
165,0,0,225480,795000,569520,0,0,97,false,0
166,0,0,225480,795000,569520,0,102,102,true,0
167,0,0,225480,795000,569520,0,106,106,true,0
168,0,0,225480,800300,574820,0,0,106,false,0
169,0,0,225480,805700,580220,0,0,108,false,0
170,0,0,225480,810650,585170,0,0,99,false,0
171,0,0,225480,815400,589920,0,0,95,false,0
172,0,0,225480,820450,594970,0,0,101,false,0
173,0,0,225480,825850,600370,0,3,111,false,0
174,0,0,225480,830750,605270,0,0,98,false,0
175,0,0,225480,836150,610670,0,7,115,false,0
176,0,0,225480,841450,615970,0,0,106,false,0
177,0,0,225480,846850,621370,0,4,112,false,0
178,0,0,225480,851500,626020,0,0,93,false,0
179,0,0,225480,856250,630770,0,0,95,false,0
180,0,0,225480,861400,635920,0,0,103,false,0
181,0,0,225480,866350,640870,0,0,99,false,0
182,0,0,225480,871250,645770,0,0,98,false,0
183,0,0,225480,875950,650470,0,0,94,false,0
184,0,0,225480,881250,655770,0,0,106,false,0
185,0,0,225480,885350,659870,0,0,82,false,0
186,0,0,225480,890650,665170,0,0,106,false,0
187,0,0,225480,896050,670570,0,1,109,false,0
188,0,0,225480,901450,675970,0,0,108,false,0
189,0,0,225480,906550,681070,0,0,102,false,0
190,0,0,225480,911650,686170,0,0,102,false,0
191,0,0,225480,916750,691270,0,0,102,false,0
192,0,0,225480,921650,696170,0,0,98,false,0
193,0,0,225480,926500,701020,0,0,97,false,0
194,0,0,225480,931200,705720,0,0,94,false,0
195,0,0,225480,936550,711070,0,0,107,false,0
196,0,0,225480,941650,716170,0,0,102,false,0
197,0,0,225480,946550,721070,0,0,98,false,0
198,0,0,225480,951750,726270,0,0,104,false,0
199,0,0,225480,957150,731670,0,4,112,false,0
200,0,0,225480,961500,736020,0,0,87,false,0
201,0,0,225480,966900,741420,0,7,115,false,0
202,0,0,225480,972300,746820,0,0,108,false,0
203,0,0,225480,972300,746820,0,102,102,true,0
204,0,0,225480,972300,746820,0,94,94,true,0
205,0,0,225480,977150,751670,0,0,97,false,0
206,0,0,225480,982250,756770,0,0,102,false,0
207,0,0,225480,986900,761420,0,0,93,false,0
208,0,0,281850,990850,709000,0,0,79,false,0
209,0,0,281850,995350,713500,0,0,90,false,0
210,0,0,281850,1000200,718350,0,0,97,false,0
211,0,0,281850,1005050,723200,0,0,97,false,0
212,0,0,281850,1009950,728100,0,0,98,false,0
213,0,0,281850,1015350,733500,0,3,111,false,0
214,0,0,281850,1020250,738400,0,0,98,false,0
215,0,0,281850,1025650,743800,0,6,114,false,0
216,0,0,281850,1030650,748800,0,0,100,false,0
217,0,0,281850,1035300,753450,0,0,93,false,0
218,0,0,281850,1040700,758850,0,9,117,false,0
219,0,0,281850,1045100,763250,0,0,88,false,0
220,0,0,281850,1049600,767750,0,0,90,false,0
221,0,0,281850,1054400,772550,0,0,96,false,0
222,0,0,281850,1059100,777250,0,0,94,false,0
223,0,0,281850,1064050,782200,0,0,99,false,0
224,0,0,281850,1069100,787250,0,0,101,false,0
225,0,0,281850,1073800,791950,0,0,94,false,0
226,0,0,281850,1079150,797300,0,0,107,false,0
227,0,0,281850,1084450,802600,0,0,106,false,0
228,0,0,281850,1089650,807800,0,0,104,false,0
229,0,0,281850,1093800,811950,0,0,83,false,0
230,0,0,281850,1099200,817350,0,1,109,false,0
231,0,0,281850,1104000,822150,0,0,96,false,0
232,0,0,281850,1108650,826800,0,0,93,false,0
233,0,0,281850,1112750,830900,0,0,82,false,0
234,0,0,281850,1117100,835250,0,0,87,false,0
235,0,0,281850,1122350,840500,0,0,105,false,0
236,0,0,281850,1127750,845900,0,0,108,false,0
237,0,0,281850,1132000,850150,0,0,85,false,0
238,0,0,281850,1132000,850150,0,102,102,true,0
239,0,0,281850,1132000,850150,0,95,95,true,0
240,0,0,281850,1132000,850150,0,101,101,true,0
241,0,0,281850,1132000,850150,0,122,122,true,0
242,0,0,281850,1132000,850150,0,99,99,true,0
243,0,0,281850,1137250,855400,0,0,105,false,0
244,0,0,281850,1142350,860500,0,0,102,false,0
245,0,0,281850,1147050,865200,0,0,94,false,0
246,0,0,281850,1152450,870600,0,4,112,false,0
247,0,0,281850,1157650,875800,0,0,104,false,0
248,0,0,281850,1162450,880600,0,0,96,false,0
249,0,0,281850,1167350,885500,0,0,98,false,0
250,0,0,281850,1172600,890750,0,0,105,false,0
251,0,0,281850,1176950,895100,0,0,87,false,0
252,0,0,281850,1181950,900100,0,0,100,false,0
253,0,0,281850,1187350,905500,0,10,118,false,0
254,0,0,281850,1191950,910100,0,0,92,false,0
255,0,0,281850,1197050,915200,0,0,102,false,0
256,0,0,281850,1201650,919800,0,0,92,false,0
257,0,0,281850,1206400,924550,0,0,95,false,0
258,0,0,281850,1211700,929850,0,0,106,false,0
259,0,0,281850,1216650,934800,0,0,99,false,0
260,0,0,338220,1222050,883830,0,20,128,false,0
261,0,0,338220,1227050,888830,0,0,100,false,0
262,0,0,338220,1231500,893280,0,0,89,false,0
263,0,0,338220,1236900,898680,0,0,108,false,0
264,0,0,338220,1241000,902780,0,0,82,false,0
265,0,0,338220,1246150,907930,0,0,103,false,0
266,0,0,338220,1250300,912080,0,0,83,false,0
267,0,0,338220,1254750,916530,0,0,89,false,0
268,0,0,338220,1260150,921930,0,5,113,false,0
269,0,0,338220,1264950,926730,0,0,96,false,0
270,0,0,338220,1269150,930930,0,0,84,false,0
271,0,0,338220,1274250,936030,0,0,102,false,0
