ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,111900,4750,-107150,0,0,95,false,0
1,0,0,111900,10150,-101750,0,15,123,false,0
2,0,0,111900,14700,-97200,0,0,91,false,0
3,0,0,111900,19900,-92000,0,0,104,false,0
4,0,0,111900,23150,-88750,0,0,65,false,0
5,0,0,111900,28300,-83600,0,0,103,false,0
6,0,0,111900,33500,-78400,0,0,104,false,0
7,0,0,111900,38900,-73000,0,33,141,false,0
8,0,0,111900,43900,-68000,0,0,100,false,0
9,0,0,111900,49300,-62600,0,5,113,false,0
10,0,0,111900,53850,-58050,0,0,91,false,0
11,0,0,111900,57900,-54000,0,0,81,false,0
12,0,0,111900,60950,-50950,0,0,61,false,0
13,0,0,111900,66350,-45550,0,7,115,false,0
14,0,0,111900,69900,-42000,0,0,71,false,0
15,0,0,111900,75300,-36600,0,53,161,false,0
16,0,0,111900,80700,-31200,0,12,120,false,0
17,0,0,111900,86100,-25800,0,16,124,false,0
18,0,0,111900,91500,-20400,0,26,134,false,0
19,0,0,111900,94500,-17400,0,0,60,false,0
20,0,0,111900,99900,-12000,0,14,122,false,0
21,0,0,111900,103700,-8200,0,0,76,false,0
22,0,0,111900,108800,-3100,0,0,102,false,0
23,0,0,111900,113300,1400,0,0,90,false,0
24,0,0,111900,118700,6800,0,3,111,false,0
25,0,0,111900,124100,12200,0,57,165,false,0
26,0,0,111900,128000,16100,0,0,78,false,0
27,0,0,111900,133400,21500,0,17,125,false,0
28,0,0,111900,137250,25350,0,0,77,false,0
29,0,0,111900,137950,26050,0,0,14,false,0
30,0,0,111900,139600,27700,0,0,33,false,0
31,0,0,111900,145000,33100,0,15,123,false,0
32,0,0,111900,148750,36850,0,0,75,false,0
33,0,0,111900,153900,42000,0,0,103,false,0
34,0,0,111900,158850,46950,0,0,99,false,0
35,0,0,111900,164250,52350,0,19,127,false,0
36,0,0,111900,167100,55200,0,0,57,false,0
37,0,0,111900,170900,59000,0,0,76,false,0
38,0,0,111900,176300,64400,0,32,140,false,0
39,0,0,111900,179450,67550,0,0,63,false,0
40,0,0,111900,184100,72200,0,0,93,false,0
41,0,0,111900,189500,77600,0,11,119,false,0
42,0,0,111900,193350,81450,0,0,77,false,0
43,0,0,111900,198750,86850,0,6,114,false,0
44,0,0,111900,201650,89750,0,0,58,false,0
45,0,0,111900,204550,92650,0,0,58,false,0
46,0,0,111900,208650,96750,0,0,82,false,0
47,0,0,111900,214050,102150,0,22,130,false,0
48,0,0,111900,217850,105950,0,0,76,false,0
49,0,0,111900,223250,111350,0,22,130,false,0
50,0,0,111900,228650,116750,0,12,120,false,0
51,0,0,111900,233350,121450,0,0,94,false,0
52,0,0,223800,238450,14650,0,0,102,false,0
53,0,0,223800,243800,20000,0,0,107,false,0
54,0,0,223800,247650,23850,0,0,77,false,0
55,0,0,223800,253050,29250,0,7,115,false,0
56,0,0,223800,257850,34050,0,0,96,false,0
57,0,0,223800,263250,39450,0,15,123,false,0
58,0,0,223800,268650,44850,0,16,124,false,0
59,0,0,223800,273950,50150,0,0,106,false,0
60,0,0,223800,278600,54800,0,0,93,false,0
61,0,0,223800,279650,55850,0,0,21,false,0
62,0,0,223800,285050,61250,0,67,175,false,0
63,0,0,223800,288450,64650,0,0,68,false,0
64,0,0,223800,292550,68750,0,0,82,false,0
65,0,0,223800,297950,74150,0,13,121,false,0
66,0,0,223800,302750,78950,0,0,96,false,0
67,0,0,223800,305700,81900,0,0,59,false,0
68,0,0,223800,311100,87300,0,14,122,false,0
69,0,0,223800,315600,91800,0,0,90,false,0
70,0,0,223800,318800,95000,0,0,64,false,0
71,0,0,223800,319900,96100,0,0,22,false,0
72,0,0,223800,322650,98850,0,0,55,false,0
73,0,0,223800,328000,104200,0,0,107,false,0
74,0,0,223800,332500,108700,0,0,90,false,0
75,0,0,223800,337900,114100,0,8,116,false,0
76,0,0,223800,343050,119250,0,0,103,false,0
77,0,0,223800,348450,124650,0,9,117,false,0
78,0,0,223800,353200,129400,0,0,95,false,0
79,0,0,223800,358600,134800,0,55,163,false,0
80,0,0,223800,361500,137700,0,0,58,false,0
81,0,0,223800,366400,142600,0,0,98,false,0
82,0,0,223800,368950,145150,0,0,51,false,0
83,0,0,223800,371700,147900,0,0,55,false,0
84,0,0,223800,376050,152250,0,0,87,false,0
85,0,0,223800,378950,155150,0,0,58,false,0
86,0,0,223800,382450,158650,0,0,70,false,0
87,0,0,223800,384600,160800,0,0,43,false,0
88,0,0,223800,387450,163650,0,0,57,false,0
89,0,0,223800,392850,169050,0,38,146,false,0
90,0,0,223800,394550,170750,0,0,34,false,0
91,0,0,223800,395900,172100,0,0,27,false,0
92,0,0,223800,401300,177500,0,23,131,false,0
93,0,0,223800,404950,181150,0,0,73,false,0
94,0,0,223800,408800,185000,0,0,77,false,0
95,0,0,223800,414200,190400,0,20,128,false,0
96,0,0,223800,419600,195800,0,1,109,false,0
97,0,0,223800,424000,200200,0,0,88,false,0
98,0,0,223800,429400,205600,0,8,116,false,0
99,0,0,223800,433050,209250,0,0,73,false,0
100,0,0,223800,436850,213050,0,0,76,false,0
101,0,0,223800,438700,214900,0,0,37,false,0
102,0,0,223800,444100,220300,0,31,139,false,0
103,0,0,223800,449500,225700,0,1,109,false,0
104,0,0,335700,454900,119200,0,33,141,false,0
105,0,0,335700,460050,124350,0,0,103,false,0
106,0,0,335700,462950,127250,0,0,58,false,0
107,0,0,335700,465900,130200,0,0,59,false,0
108,0,0,335700,469200,133500,0,0,66,false,0
109,0,0,335700,473450,137750,0,0,85,false,0
110,0,0,335700,478850,143150,0,12,120,false,0
111,0,0,335700,484000,148300,0,0,103,false,0
112,0,0,335700,489400,153700,0,7,115,false,0
113,0,0,335700,494800,159100,0,13,121,false,0
114,0,0,335700,497350,161650,0,0,51,false,0
115,0,0,335700,501650,165950,0,0,86,false,0
116,0,0,335700,505400,169700,0,0,75,false,0
117,0,0,335700,510800,175100,0,7,115,false,0
118,0,0,335700,516200,180500,0,19,127,false,0
119,0,0,335700,521600,185900,0,29,137,false,0
120,0,0,335700,526850,191150,0,0,105,false,0
121,0,0,335700,531150,195450,0,0,86,false,0
122,0,0,335700,536550,200850,0,62,170,false,0
123,0,0,335700,540650,204950,0,0,82,false,0
124,0,0,335700,545250,209550,0,0,92,false,0
125,0,0,335700,548500,212800,0,0,65,false,0
126,0,0,335700,553900,218200,0,20,128,false,0
127,0,0,335700,557050,221350,0,0,63,false,0
128,0,0,335700,562450,226750,0,7,115,false,0
129,0,0,335700,567000,231300,0,0,91,false,0
130,0,0,335700,572400,236700,0,1,109,false,0
131,0,0,335700,575800,240100,0,0,68,false,0
132,0,0,335700,581200,245500,0,1,109,false,0
133,0,0,335700,585550,249850,0,0,87,false,0
134,0,0,335700,589500,253800,0,0,79,false,0
135,0,0,335700,594900,259200,0,26,134,false,0
136,0,0,335700,600300,264600,0,9,117,false,0
137,0,0,335700,605150,269450,0,0,97,false,0
138,0,0,335700,610550,274850,0,9,117,false,0
139,0,0,335700,615550,279850,0,0,100,false,0
140,0,0,335700,620950,285250,0,33,141,false,0
141,0,0,335700,626350,290650,0,20,128,false,0
142,0,0,335700,630050,294350,0,0,74,false,0
143,0,0,335700,635450,299750,0,31,139,false,0
144,0,0,335700,640850,305150,0,8,116,false,0
145,0,0,335700,646250,310550,0,4,112,false,0
146,0,0,335700,651650,315950,0,27,135,false,0
147,0,0,335700,654900,319200,0,0,65,false,0
148,0,0,335700,660300,324600,0,1,109,false,0
149,0,0,335700,665700,330000,0,9,117,false,0
150,0,0,335700,669500,333800,0,0,76,false,0
151,0,0,335700,670400,334700,0,0,18,false,0
152,0,0,335700,675800,340100,0,11,119,false,0
153,0,0,335700,680050,344350,0,0,85,false,0
154,0,0,335700,685450,349750,0,10,118,false,0
155,0,0,335700,690400,354700,0,0,99,false,0
156,0,0,447600,695800,248200,0,41,149,false,0
157,0,0,447600,700250,252650,0,0,89,false,0
158,0,0,447600,704050,256450,0,0,76,false,0
159,0,0,447600,708850,261250,0,0,96,false,0
160,0,0,447600,714000,266400,0,0,103,false,0
161,0,0,447600,719400,271800,0,13,121,false,0
162,0,0,447600,724800,277200,0,73,181,false,0
163,0,0,447600,727650,280050,0,0,57,false,0
164,0,0,447600,732700,285100,0,0,101,false,0
165,0,0,447600,737350,289750,0,0,93,false,0
166,0,0,447600,742750,295150,0,0,108,false,0
167,0,0,447600,748150,300550,0,11,119,false,0
168,0,0,447600,753550,305950,0,12,120,false,0
169,0,0,447600,758950,311350,0,17,125,false,0
170,0,0,447600,763800,316200,0,0,97,false,0
171,0,0,447600,768050,320450,0,0,85,false,0
172,0,0,447600,773300,325700,0,0,105,false,0
173,0,0,447600,778700,331100,0,26,134,false,0
174,0,0,447600,783400,335800,0,0,94,false,0
175,0,0,447600,788800,341200,0,39,147,false,0
176,0,0,447600,794200,346600,0,11,119,false,0
177,0,0,447600,799600,352000,0,28,136,false,0
178,0,0,447600,803600,356000,0,0,80,false,0
179,0,0,447600,807900,360300,0,0,86,false,0
180,0,0,447600,813300,365700,0,2,110,false,0
181,0,0,447600,818250,370650,0,0,99,false,0
182,0,0,447600,823050,375450,0,0,96,false,0
183,0,0,447600,827250,379650,0,0,84,false,0
184,0,0,447600,832650,385050,0,11,119,false,0
185,0,0,447600,835000,387400,0,0,47,false,0
186,0,0,447600,840400,392800,0,10,118,false,0
187,0,0,447600,845800,398200,0,20,128,false,0
188,0,0,447600,851200,403600,0,16,124,false,0
189,0,0,447600,856550,408950,0,0,107,false,0
190,0,0,447600,861900,414300,0,0,107,false,0
191,0,0,447600,867300,419700,0,0,108,false,0
192,0,0,447600,872100,424500,0,0,96,false,0
193,0,0,447600,876700,429100,0,0,92,false,0
194,0,0,447600,880850,433250,0,0,83,false,0
195,0,0,447600,886250,438650,0,14,122,false,0
196,0,0,447600,891650,444050,0,0,108,false,0
197,0,0,447600,896350,448750,0,0,94,false,0
198,0,0,447600,901750,454150,0,6,114,false,0
199,0,0,447600,907150,459550,0,28,136,false,0
200,0,0,447600,910200,462600,0,0,61,false,0
201,0,0,447600,915600,468000,0,37,145,false,0
202,0,0,447600,921000,473400,0,18,126,false,0
203,0,0,447600,926300,478700,0,0,106,false,0
204,0,0,447600,930400,482800,0,0,82,false,0
205,0,0,447600,935000,487400,0,0,92,false,0
206,0,0,447600,940400,492800,0,0,108,false,0
207,0,0,447600,944450,496850,0,0,81,false,0
208,0,0,559500,946400,386900,0,0,39,false,0
209,0,0,559500,950000,390500,0,0,72,false,0
210,0,0,559500,954650,395150,0,0,93,false,0
211,0,0,559500,959250,399750,0,0,92,false,0
212,0,0,559500,963950,404450,0,0,94,false,0
213,0,0,559500,969350,409850,0,25,133,false,0
214,0,0,559500,974100,414600,0,0,95,false,0
215,0,0,559500,979500,420000,0,34,142,false,0
216,0,0,559500,984550,425050,0,0,101,false,0
217,0,0,559500,988500,429000,0,0,79,false,0
218,0,0,559500,993900,434400,0,44,152,false,0
219,0,0,559500,997100,437600,0,0,64,false,0
220,0,0,559500,1000700,441200,0,0,72,false,0
221,0,0,559500,1005200,445700,0,0,90,false,0
222,0,0,559500,1009300,449800,0,0,82,false,0
223,0,0,559500,1014150,454650,0,0,97,false,0
224,0,0,559500,1019350,459850,0,0,104,false,0
225,0,0,559500,1023450,463950,0,0,82,false,0
226,0,0,559500,1028850,469350,0,14,122,false,0
227,0,0,559500,1034250,474750,0,12,120,false,0
228,0,0,559500,1039650,480150,0,6,114,false,0
229,0,0,559500,1042150,482650,0,0,50,false,0
230,0,0,559500,1047550,488050,0,20,128,false,0
231,0,0,559500,1051950,492450,0,0,88,false,0
232,0,0,559500,1055900,496400,0,0,79,false,0
233,0,0,559500,1058300,498800,0,0,48,false,0
234,0,0,559500,1061400,501900,0,0,62,false,0
235,0,0,559500,1066800,507300,0,8,116,false,0
236,0,0,559500,1072200,512700,0,17,125,false,0
237,0,0,559500,1074950,515450,0,0,55,false,0
238,0,0,559500,1080350,520850,0,0,108,false,0
239,0,0,559500,1084600,525100,0,0,85,false,0
240,0,0,559500,1084600,525100,0,105,105,true,0
241,0,0,559500,1084600,525100,0,168,168,true,0
242,0,0,559500,1084600,525100,0,98,98,true,0
243,0,0,559500,1090000,530500,0,8,116,false,0
244,0,0,559500,1095400,535900,0,0,108,false,0
245,0,0,559500,1099600,540100,0,0,84,false,0
246,0,0,559500,1105000,545500,0,28,136,false,0
247,0,0,559500,1110400,550900,0,4,112,false,0
248,0,0,559500,1114850,555350,0,0,89,false,0
249,0,0,559500,1119650,560150,0,0,96,false,0
250,0,0,559500,1125050,565550,0,8,116,false,0
251,0,0,559500,1128150,568650,0,0,62,false,0
252,0,0,559500,1133150,573650,0,0,100,false,0
253,0,0,559500,1138550,579050,0,46,154,false,0
254,0,0,559500,1142350,582850,0,0,76,false,0
255,0,0,559500,1147750,588250,0,0,108,false,0
256,0,0,559500,1151550,592050,0,0,76,false,0
257,0,0,559500,1155800,596300,0,0,85,false,0
258,0,0,559500,1161200,601700,0,12,120,false,0
259,0,0,559500,1166050,606550,0,0,97,false,0
260,0,0,671400,1171450,500050,0,78,186,false,0
261,0,0,671400,1176550,505150,0,0,102,false,0
262,0,0,671400,1180000,508600,0,0,69,false,0
263,0,0,671400,1185400,514000,0,16,124,false,0
264,0,0,671400,1187700,516300,0,0,46,false,0
265,0,0,671400,1193100,521700,0,2,110,false,0
266,0,0,671400,1195550,524150,0,0,49,false,0
267,0,0,671400,1198900,527500,0,0,67,false,0
