ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,106620,4900,-101720,0,0,98,false,0
1,0,0,106620,10050,-96570,0,4,107,false,0
2,0,0,106620,14900,-91720,0,0,97,false,0
3,0,0,106620,19950,-86670,0,0,101,false,0
4,0,0,106620,24350,-82270,0,0,88,false,0
5,0,0,106620,29400,-77220,0,0,101,false,0
6,0,0,106620,29400,-77220,0,101,101,true,0
7,0,0,106620,29400,-77220,0,113,113,true,0
8,0,0,106620,29400,-77220,0,100,100,true,0
9,0,0,106620,29400,-77220,0,104,104,true,0
10,0,0,106620,29400,-77220,0,97,97,true,0
11,0,0,106620,29400,-77220,0,93,93,true,0
12,0,0,106620,29400,-77220,0,87,87,true,0
13,0,0,106620,29400,-77220,0,105,105,true,0
14,0,0,106620,33900,-72720,0,0,90,false,0
15,0,0,106620,39050,-67570,0,17,120,false,0
16,0,0,106620,44200,-62420,0,3,106,false,0
17,0,0,106620,49350,-57270,0,5,108,false,0
18,0,0,106620,54500,-52120,0,8,111,false,0
19,0,0,106620,58800,-47820,0,0,86,false,0
20,0,0,106620,63950,-42670,0,4,107,false,0
21,0,0,106620,68550,-38070,0,0,92,false,0
22,0,0,106620,73550,-33070,0,0,100,false,0
23,0,0,106620,78350,-28270,0,0,96,false,0
24,0,0,106620,83500,-23120,0,0,103,false,0
25,0,0,106620,88650,-17970,0,18,121,false,0
26,0,0,106620,93250,-13370,0,0,92,false,0
27,0,0,106620,98400,-8220,0,5,108,false,0
28,0,0,106620,103000,-3620,0,0,92,false,0
29,0,0,106620,106550,-70,0,0,71,false,0
30,0,0,106620,110400,3780,0,0,77,false,0
31,0,0,106620,115550,8930,0,4,107,false,0
32,0,0,106620,120100,13480,0,0,91,false,0
33,0,0,106620,125150,18530,0,0,101,false,0
34,0,0,106620,130100,23480,0,0,99,false,0
35,0,0,106620,135250,28630,0,6,109,false,0
36,0,0,106620,139500,32880,0,0,85,false,0
37,0,0,106620,144100,37480,0,0,92,false,0
38,0,0,106620,149250,42630,0,10,113,false,0
39,0,0,106620,153600,46980,0,0,87,false,0
40,0,0,106620,158450,51830,0,0,97,false,0
41,0,0,106620,163600,56980,0,3,106,false,0
42,0,0,106620,168200,61580,0,0,92,false,0
43,0,0,106620,173350,66730,0,1,104,false,0
44,0,0,106620,177650,71030,0,0,86,false,0
45,0,0,106620,181950,75330,0,0,86,false,0
46,0,0,106620,186650,80030,0,0,94,false,0
47,0,0,106620,191800,85180,0,7,110,false,0
48,0,0,106620,196400,89780,0,0,92,false,0
49,0,0,106620,201550,94930,0,7,110,false,0
50,0,0,106620,206700,100080,0,3,106,false,0
51,0,0,106620,211600,104980,0,0,98,false,0
52,0,0,213240,216600,3360,0,0,100,false,0
53,0,0,213240,221700,8460,0,0,102,false,0
54,0,0,213240,226300,13060,0,0,92,false,0
55,0,0,213240,231450,18210,0,2,105,false,0
56,0,0,213240,236350,23110,0,0,98,false,0
57,0,0,213240,241500,28260,0,4,107,false,0
58,0,0,213240,246650,33410,0,5,108,false,0
59,0,0,213240,251750,38510,0,0,102,false,0
60,0,0,213240,256600,43360,0,0,97,false,0
61,0,0,213240,260250,47010,0,0,73,false,0
62,0,0,213240,265400,52160,0,22,125,false,0
63,0,0,213240,269850,56610,0,0,89,false,0
64,0,0,213240,274550,61310,0,0,94,false,0
65,0,0,213240,279700,66460,0,4,107,false,0
66,0,0,213240,284600,71360,0,0,98,false,0
67,0,0,213240,288900,75660,0,0,86,false,0
68,0,0,213240,294050,80810,0,4,107,false,0
69,0,0,213240,298850,85610,0,0,96,false,0
70,0,0,213240,303250,90010,0,0,88,false,0
71,0,0,213240,306950,93710,0,0,74,false,0
72,0,0,213240,311200,97960,0,0,85,false,0
73,0,0,213240,316300,103060,0,0,102,false,0
74,0,0,213240,321100,107860,0,0,96,false,0
75,0,0,213240,326250,113010,0,2,105,false,0
76,0,0,213240,331300,118060,0,0,101,false,0
77,0,0,213240,336450,123210,0,2,105,false,0
78,0,0,213240,341350,128110,0,0,98,false,0
79,0,0,213240,346500,133260,0,18,121,false,0
80,0,0,213240,350800,137560,0,0,86,false,0
81,0,0,213240,355750,142510,0,0,99,false,0
82,0,0,213240,359900,146660,0,0,83,false,0
83,0,0,213240,364150,150910,0,0,85,false,0
84,0,0,213240,368900,155660,0,0,95,false,0
85,0,0,213240,373200,159960,0,0,86,false,0
86,0,0,213240,377700,164460,0,0,90,false,0
87,0,0,213240,381750,168510,0,0,81,false,0
88,0,0,213240,386000,172760,0,0,85,false,0
89,0,0,213240,391150,177910,0,12,115,false,0
90,0,0,213240,395050,181810,0,0,78,false,0
91,0,0,213240,398800,185560,0,0,75,false,0
92,0,0,213240,403950,190710,0,7,110,false,0
93,0,0,213240,408500,195260,0,0,91,false,0
94,0,0,213240,413100,199860,0,0,92,false,0
95,0,0,213240,418250,205010,0,6,109,false,0
96,0,0,213240,423400,210160,0,0,103,false,0
97,0,0,213240,428200,214960,0,0,96,false,0
98,0,0,213240,433350,220110,0,2,105,false,0
99,0,0,213240,437900,224660,0,0,91,false,0
100,0,0,213240,442500,229260,0,0,92,false,0
101,0,0,213240,446450,233210,0,0,79,false,0
102,0,0,213240,451600,238360,0,10,113,false,0
103,0,0,213240,456750,243510,0,0,103,false,0
104,0,0,319860,461900,142040,0,10,113,false,0
105,0,0,319860,461900,142040,0,101,101,true,0
106,0,0,319860,461900,142040,0,86,86,true,0
107,0,0,319860,461900,142040,0,86,86,true,0
108,0,0,319860,466300,146440,0,0,88,false,0
109,0,0,319860,471050,151190,0,0,95,false,0
110,0,0,319860,476200,156340,0,3,106,false,0
111,0,0,319860,481250,161390,0,0,101,false,0
112,0,0,319860,486400,166540,0,2,105,false,0
113,0,0,319860,491550,171690,0,4,107,false,0
114,0,0,319860,495700,175840,0,0,83,false,0
115,0,0,319860,500450,180590,0,0,95,false,0
116,0,0,319860,505000,185140,0,0,91,false,0
117,0,0,319860,510150,190290,0,2,105,false,0
118,0,0,319860,515300,195440,0,6,109,false,0
119,0,0,319860,520450,200590,0,9,112,false,0
120,0,0,319860,525500,205640,0,0,101,false,0
121,0,0,319860,530250,210390,0,0,95,false,0
122,0,0,319860,535400,215540,0,20,123,false,0
123,0,0,319860,540100,220240,0,0,94,false,0
124,0,0,319860,544950,225090,0,0,97,false,0
