ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,106620,4900,-101720,0,0,98,false,0
1,0,0,106620,10050,-96570,0,4,107,false,0
2,0,0,106620,14900,-91720,0,0,97,false,0
3,0,0,106620,19950,-86670,0,0,101,false,0
4,0,0,106620,19950,-86670,0,88,88,true,0
5,0,0,106620,19950,-86670,0,101,101,true,0
6,0,0,106620,19950,-86670,0,101,101,true,0
7,0,0,106620,25100,-81520,0,10,113,false,0
8,0,0,106620,30100,-76520,0,0,100,false,0
9,0,0,106620,35250,-71370,0,1,104,false,0
10,0,0,106620,40100,-66520,0,0,97,false,0
11,0,0,106620,40100,-66520,0,93,93,true,0
12,0,0,106620,40100,-66520,0,87,87,true,0
13,0,0,106620,40100,-66520,0,105,105,true,0
14,0,0,106620,40100,-66520,0,90,90,true,0
15,0,0,106620,40100,-66520,0,120,120,true,0
16,0,0,106620,40100,-66520,0,106,106,true,0
17,0,0,106620,40100,-66520,0,108,108,true,0
18,0,0,106620,45250,-61370,0,8,111,false,0
19,0,0,106620,49550,-57070,0,0,86,false,0
20,0,0,106620,54700,-51920,0,4,107,false,0
21,0,0,106620,59300,-47320,0,0,92,false,0
22,0,0,106620,64300,-42320,0,0,100,false,0
23,0,0,106620,69100,-37520,0,0,96,false,0
24,0,0,106620,74250,-32370,0,0,103,false,0
25,0,0,106620,79400,-27220,0,18,121,false,0
26,0,0,106620,84000,-22620,0,0,92,false,0
27,0,0,106620,89150,-17470,0,5,108,false,0
28,0,0,106620,93750,-12870,0,0,92,false,0
29,0,0,106620,97300,-9320,0,0,71,false,0
30,0,0,106620,101150,-5470,0,0,77,false,0
31,0,0,106620,106300,-320,0,4,107,false,0
32,0,0,106620,110850,4230,0,0,91,false,0
33,0,0,106620,115900,9280,0,0,101,false,0
34,0,0,106620,120850,14230,0,0,99,false,0
35,0,0,106620,126000,19380,0,6,109,false,0
36,0,0,106620,130250,23630,0,0,85,false,0
37,0,0,106620,134850,28230,0,0,92,false,0
38,0,0,106620,140000,33380,0,10,113,false,0
39,0,0,106620,144350,37730,0,0,87,false,0
40,0,0,106620,149200,42580,0,0,97,false,0
41,0,0,106620,154350,47730,0,3,106,false,0
42,0,0,106620,158950,52330,0,0,92,false,0
43,0,0,106620,164100,57480,0,1,104,false,0
44,0,0,106620,168400,61780,0,0,86,false,0
45,0,0,106620,172700,66080,0,0,86,false,0
46,0,0,106620,177400,70780,0,0,94,false,0
47,0,0,106620,182550,75930,0,7,110,false,0
48,0,0,106620,187150,80530,0,0,92,false,0
49,0,0,106620,192300,85680,0,7,110,false,0
50,0,0,106620,197450,90830,0,3,106,false,0
51,0,0,106620,202350,95730,0,0,98,false,0
52,0,0,213240,207350,-5890,0,0,100,false,0
53,0,0,213240,212450,-790,0,0,102,false,0
54,0,0,213240,217050,3810,0,0,92,false,0
55,0,0,213240,222200,8960,0,2,105,false,0
56,0,0,213240,227100,13860,0,0,98,false,0
57,0,0,213240,232250,19010,0,4,107,false,0
58,0,0,213240,237400,24160,0,5,108,false,0
59,0,0,213240,242500,29260,0,0,102,false,0
60,0,0,213240,247350,34110,0,0,97,false,0
61,0,0,213240,251000,37760,0,0,73,false,0
62,0,0,213240,256150,42910,0,22,125,false,0
63,0,0,213240,260600,47360,0,0,89,false,0
64,0,0,213240,265300,52060,0,0,94,false,0
65,0,0,213240,270450,57210,0,4,107,false,0
66,0,0,213240,275350,62110,0,0,98,false,0
67,0,0,213240,279650,66410,0,0,86,false,0
68,0,0,213240,284800,71560,0,4,107,false,0
69,0,0,213240,289600,76360,0,0,96,false,0
70,0,0,213240,289600,76360,0,88,88,true,0
71,0,0,213240,293300,80060,0,0,74,false,0
72,0,0,213240,297550,84310,0,0,85,false,0
73,0,0,213240,302650,89410,0,0,102,false,0
74,0,0,213240,307450,94210,0,0,96,false,0
75,0,0,213240,312600,99360,0,2,105,false,0
76,0,0,213240,317650,104410,0,0,101,false,0
77,0,0,213240,322800,109560,0,2,105,false,0
78,0,0,213240,327700,114460,0,0,98,false,0
79,0,0,213240,332850,119610,0,18,121,false,0
80,0,0,213240,337150,123910,0,0,86,false,0
81,0,0,213240,342100,128860,0,0,99,false,0
82,0,0,213240,346250,133010,0,0,83,false,0
83,0,0,213240,350500,137260,0,0,85,false,0
84,0,0,213240,355250,142010,0,0,95,false,0
85,0,0,213240,359550,146310,0,0,86,false,0
86,0,0,213240,364050,150810,0,0,90,false,0
87,0,0,213240,368100,154860,0,0,81,false,0
88,0,0,213240,372350,159110,0,0,85,false,0
89,0,0,213240,377500,164260,0,12,115,false,0
90,0,0,213240,381400,168160,0,0,78,false,0
91,0,0,213240,385150,171910,0,0,75,false,0
92,0,0,213240,390300,177060,0,7,110,false,0
93,0,0,213240,394850,181610,0,0,91,false,0
94,0,0,213240,399450,186210,0,0,92,false,0
95,0,0,213240,404600,191360,0,6,109,false,0
96,0,0,213240,409750,196510,0,0,103,false,0
97,0,0,213240,414550,201310,0,0,96,false,0
98,0,0,213240,414550,201310,0,105,105,true,0
99,0,0,213240,414550,201310,0,91,91,true,0
100,0,0,213240,414550,201310,0,92,92,true,0
101,0,0,213240,414550,201310,0,79,79,true,0
102,0,0,213240,419700,206460,0,10,113,false,0
103,0,0,213240,424850,211610,0,0,103,false,0
104,0,0,319860,430000,110140,0,10,113,false,0
105,0,0,319860,435050,115190,0,0,101,false,0
106,0,0,319860,439350,119490,0,0,86,false,0
107,0,0,319860,443650,123790,0,0,86,false,0
108,0,0,319860,448050,128190,0,0,88,false,0
109,0,0,319860,452800,132940,0,0,95,false,0
110,0,0,319860,457950,138090,0,3,106,false,0
111,0,0,319860,463000,143140,0,0,101,false,0
112,0,0,319860,468150,148290,0,2,105,false,0
113,0,0,319860,473300,153440,0,4,107,false,0
114,0,0,319860,477450,157590,0,0,83,false,0
115,0,0,319860,482200,162340,0,0,95,false,0
116,0,0,319860,486750,166890,0,0,91,false,0
117,0,0,319860,491900,172040,0,2,105,false,0
118,0,0,319860,497050,177190,0,6,109,false,0
119,0,0,319860,502200,182340,0,9,112,false,0
120,0,0,319860,507250,187390,0,0,101,false,0
121,0,0,319860,512000,192140,0,0,95,false,0
122,0,0,319860,517150,197290,0,20,123,false,0
123,0,0,319860,521850,201990,0,0,94,false,0
124,0,0,319860,526700,206840,0,0,97,false,0
