ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,56370,0,-56370,0,98,98,true,0
1,0,0,56370,5350,-51020,0,0,107,false,0
2,0,0,56370,10200,-46170,0,0,97,false,0
3,0,0,56370,15250,-41120,0,0,101,false,0
4,0,0,56370,19650,-36720,0,0,88,false,0
5,0,0,56370,24700,-31670,0,0,101,false,0
6,0,0,56370,29750,-26620,0,0,101,false,0
7,0,0,56370,35150,-21220,0,5,113,false,0
8,0,0,56370,40150,-16220,0,0,100,false,0
9,0,0,56370,45350,-11020,0,0,104,false,0
10,0,0,56370,50200,-6170,0,0,97,false,0
11,0,0,56370,54850,-1520,0,0,93,false,0
12,0,0,56370,59200,2830,0,0,87,false,0
13,0,0,56370,64450,8080,0,0,105,false,0
14,0,0,56370,68950,12580,0,0,90,false,0
15,0,0,56370,74350,17980,0,12,120,false,0
16,0,0,56370,79650,23280,0,0,106,false,0
17,0,0,56370,85050,28680,0,0,108,false,0
18,0,0,56370,90450,34080,0,3,111,false,0
19,0,0,56370,94750,38380,0,0,86,false,0
20,0,0,56370,100100,43730,0,0,107,false,0
21,0,0,56370,104700,48330,0,0,92,false,0
22,0,0,56370,109700,53330,0,0,100,false,0
23,0,0,56370,114500,58130,0,0,96,false,0
24,0,0,56370,119650,63280,0,0,103,false,0
25,0,0,56370,125050,68680,0,13,121,false,0
26,0,0,56370,129650,73280,0,0,92,false,0
27,0,0,56370,135050,78680,0,0,108,false,0
28,0,0,56370,139650,83280,0,0,92,false,0
29,0,0,56370,143200,86830,0,0,71,false,0
30,0,0,56370,147050,90680,0,0,77,false,0
31,0,0,56370,152400,96030,0,0,107,false,0
32,0,0,56370,156950,100580,0,0,91,false,0
33,0,0,56370,162000,105630,0,0,101,false,0
34,0,0,56370,166950,110580,0,0,99,false,0
35,0,0,56370,172350,115980,0,1,109,false,0
36,0,0,56370,176600,120230,0,0,85,false,0
37,0,0,56370,181200,124830,0,0,92,false,0
38,0,0,56370,186600,130230,0,5,113,false,0
39,0,0,56370,190950,134580,0,0,87,false,0
40,0,0,56370,195800,139430,0,0,97,false,0
41,0,0,56370,195800,139430,0,106,106,true,0
42,0,0,56370,195800,139430,0,92,92,true,0
43,0,0,56370,195800,139430,0,104,104,true,0
44,0,0,56370,200100,143730,0,0,86,false,0
45,0,0,56370,204400,148030,0,0,86,false,0
46,0,0,56370,209100,152730,0,0,94,false,0
47,0,0,56370,214500,158130,0,2,110,false,0
48,0,0,56370,219100,162730,0,0,92,false,0
49,0,0,56370,224500,168130,0,2,110,false,0
50,0,0,56370,229800,173430,0,0,106,false,0
51,0,0,56370,234700,178330,0,0,98,false,0
52,0,0,112740,239700,126960,0,0,100,false,0
53,0,0,112740,244800,132060,0,0,102,false,0
54,0,0,112740,249400,136660,0,0,92,false,0
55,0,0,112740,249400,136660,0,105,105,true,0
56,0,0,112740,249400,136660,0,98,98,true,0
57,0,0,112740,254750,142010,0,0,107,false,0
58,0,0,112740,260150,147410,0,0,108,false,0
59,0,0,112740,265250,152510,0,0,102,false,0
60,0,0,112740,265250,152510,0,97,97,true,0
61,0,0,112740,265250,152510,0,73,73,true,0
62,0,0,112740,270650,157910,0,17,125,false,0
63,0,0,112740,275100,162360,0,0,89,false,0
64,0,0,112740,275100,162360,0,94,94,true,0
65,0,0,112740,280450,167710,0,0,107,false,0
66,0,0,112740,285350,172610,0,0,98,false,0
67,0,0,112740,289650,176910,0,0,86,false,0
68,0,0,112740,295000,182260,0,0,107,false,0
69,0,0,112740,299800,187060,0,0,96,false,0
70,0,0,112740,304200,191460,0,0,88,false,0
71,0,0,112740,307900,195160,0,0,74,false,0
72,0,0,112740,312150,199410,0,0,85,false,0
73,0,0,112740,317250,204510,0,0,102,false,0
74,0,0,112740,322050,209310,0,0,96,false,0
75,0,0,112740,327300,214560,0,0,105,false,0
76,0,0,112740,332350,219610,0,0,101,false,0
77,0,0,112740,337600,224860,0,0,105,false,0
78,0,0,112740,342500,229760,0,0,98,false,0
79,0,0,112740,347900,235160,0,13,121,false,0
80,0,0,112740,352200,239460,0,0,86,false,0
81,0,0,112740,357150,244410,0,0,99,false,0
82,0,0,112740,361300,248560,0,0,83,false,0
83,0,0,112740,365550,252810,0,0,85,false,0
84,0,0,112740,370300,257560,0,0,95,false,0
85,0,0,112740,374600,261860,0,0,86,false,0
86,0,0,112740,374600,261860,0,90,90,true,0
87,0,0,112740,378650,265910,0,0,81,false,0
88,0,0,112740,382900,270160,0,0,85,false,0
89,0,0,112740,388300,275560,0,7,115,false,0
90,0,0,112740,392200,279460,0,0,78,false,0
91,0,0,112740,395950,283210,0,0,75,false,0
92,0,0,112740,401350,288610,0,2,110,false,0
93,0,0,112740,405900,293160,0,0,91,false,0
94,0,0,112740,410500,297760,0,0,92,false,0
95,0,0,112740,415900,303160,0,1,109,false,0
96,0,0,112740,421050,308310,0,0,103,false,0
97,0,0,112740,421050,308310,0,96,96,true,0
98,0,0,112740,421050,308310,0,105,105,true,0
99,0,0,112740,421050,308310,0,91,91,true,0
100,0,0,112740,425650,312910,0,0,92,false,0
101,0,0,112740,429600,316860,0,0,79,false,0
102,0,0,112740,435000,322260,0,5,113,false,0
103,0,0,112740,440150,327410,0,0,103,false,0
104,0,0,169110,445550,276440,0,5,113,false,0
105,0,0,169110,445550,276440,0,101,101,true,0
106,0,0,169110,445550,276440,0,86,86,true,0
107,0,0,169110,449850,280740,0,0,86,false,0
108,0,0,169110,454250,285140,0,0,88,false,0
109,0,0,169110,454250,285140,0,95,95,true,0
110,0,0,169110,459550,290440,0,0,106,false,0
111,0,0,169110,464600,295490,0,0,101,false,0
112,0,0,169110,469850,300740,0,0,105,false,0
113,0,0,169110,475200,306090,0,0,107,false,0
114,0,0,169110,479350,310240,0,0,83,false,0
115,0,0,169110,484100,314990,0,0,95,false,0
116,0,0,169110,488650,319540,0,0,91,false,0
117,0,0,169110,493900,324790,0,0,105,false,0
118,0,0,169110,493900,324790,0,109,109,true,0
119,0,0,169110,493900,324790,0,112,112,true,0
120,0,0,169110,498950,329840,0,0,101,false,0
121,0,0,169110,503700,334590,0,0,95,false,0
122,0,0,169110,509100,339990,0,15,123,false,0
123,0,0,169110,513800,344690,0,0,94,false,0
124,0,0,169110,513800,344690,0,97,97,true,0
125,0,0,169110,518200,349090,0,0,88,false,0
126,0,0,169110,523600,354490,0,1,109,false,0
127,0,0,169110,527950,358840,0,0,87,false,0
128,0,0,169110,533200,364090,0,0,105,false,0
129,0,0,169110,538050,368940,0,0,97,false,0
130,0,0,169110,543200,374090,0,0,103,false,0
131,0,0,169110,547650,378540,0,0,89,false,0
132,0,0,169110,552800,383690,0,0,103,false,0
133,0,0,169110,557550,388440,0,0,95,false,0
134,0,0,169110,562200,393090,0,0,93,false,0
135,0,0,169110,567600,398490,0,3,111,false,0
136,0,0,169110,572850,403740,0,0,105,false,0
137,0,0,169110,577800,408690,0,0,99,false,0
138,0,0,169110,583050,413940,0,0,105,false,0
139,0,0,169110,588050,418940,0,0,100,false,0
140,0,0,169110,593450,424340,0,5,113,false,0
141,0,0,169110,598850,429740,0,1,109,false,0
142,0,0,169110,603400,434290,0,0,91,false,0
143,0,0,169110,603400,434290,0,113,113,true,0
144,0,0,169110,608650,439540,0,0,105,false,0
145,0,0,169110,613850,444740,0,0,104,false,0
146,0,0,169110,619250,450140,0,3,111,false,0
147,0,0,169110,623650,454540,0,0,88,false,0
148,0,0,169110,628800,459690,0,0,103,false,0
149,0,0,169110,628800,459690,0,105,105,true,0
150,0,0,169110,633400,464290,0,0,92,false,0
151,0,0,169110,637000,467890,0,0,72,false,0
152,0,0,169110,642300,473190,0,0,106,false,0
153,0,0,169110,647050,477940,0,0,95,false,0
154,0,0,169110,652350,483240,0,0,106,false,0
155,0,0,169110,657300,488190,0,0,99,false,0
156,0,0,225480,662700,437220,0,8,116,false,0
157,0,0,225480,667500,442020,0,0,96,false,0
