ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,190480,4600,-185880,0,6,98,false,0
1,0,0,190480,9200,-181280,0,15,107,false,0
2,0,0,190480,13800,-176680,0,5,97,false,0
3,0,0,190480,18400,-172080,0,9,101,false,0
4,0,0,190480,22800,-167680,0,0,88,false,0
5,0,0,190480,27400,-163080,0,9,101,false,0
6,0,0,190480,32000,-158480,0,9,101,false,0
7,0,0,190480,36600,-153880,0,21,113,false,0
8,0,0,190480,41200,-149280,0,8,100,false,0
9,0,0,190480,45800,-144680,0,12,104,false,0
10,0,0,190480,50400,-140080,0,5,97,false,0
11,0,0,190480,55000,-135480,0,1,93,false,0
12,0,0,190480,59350,-131130,0,0,87,false,0
13,0,0,190480,63950,-126530,0,13,105,false,0
14,0,0,190480,63950,-126530,0,90,90,true,0
15,0,0,190480,68550,-121930,0,28,120,false,0
16,0,0,190480,73150,-117330,0,14,106,false,0
17,0,0,190480,77750,-112730,0,16,108,false,0
18,0,0,190480,82350,-108130,0,19,111,false,0
19,0,0,190480,86650,-103830,0,0,86,false,0
20,0,0,190480,91250,-99230,0,15,107,false,0
21,0,0,190480,95850,-94630,0,0,92,false,0
22,0,0,190480,100450,-90030,0,8,100,false,0
23,0,0,190480,105050,-85430,0,4,96,false,0
24,0,0,190480,109650,-80830,0,11,103,false,0
25,0,0,190480,114250,-76230,0,29,121,false,0
26,0,0,190480,114250,-76230,0,92,92,true,0
27,0,0,190480,118850,-71630,0,16,108,false,0
28,0,0,190480,123450,-67030,0,0,92,false,0
29,0,0,190480,127000,-63480,0,0,71,false,0
30,0,0,190480,130850,-59630,0,0,77,false,0
31,0,0,190480,130850,-59630,0,107,107,true,0
32,0,0,190480,135400,-55080,0,0,91,false,0
33,0,0,190480,140000,-50480,0,9,101,false,0
34,0,0,190480,140000,-50480,0,99,99,true,0
35,0,0,190480,144600,-45880,0,17,109,false,0
36,0,0,190480,148850,-41630,0,0,85,false,0
37,0,0,190480,153450,-37030,0,0,92,false,0
38,0,0,190480,158050,-32430,0,21,113,false,0
39,0,0,190480,158050,-32430,0,87,87,true,0
40,0,0,190480,158050,-32430,0,97,97,true,0
41,0,0,190480,158050,-32430,0,106,106,true,0
42,0,0,190480,158050,-32430,0,92,92,true,0
43,0,0,190480,158050,-32430,0,104,104,true,0
44,0,0,190480,162350,-28130,0,0,86,false,0
45,0,0,190480,166650,-23830,0,0,86,false,0
46,0,0,190480,171250,-19230,0,2,94,false,0
47,0,0,190480,175850,-14630,0,18,110,false,0
48,0,0,190480,180450,-10030,0,0,92,false,0
49,0,0,190480,185050,-5430,0,18,110,false,0
50,0,0,190480,189650,-830,0,14,106,false,0
51,0,0,190480,194250,3770,0,6,98,false,0
52,0,0,380960,194250,-186710,0,100,100,true,0
53,0,0,380960,198850,-182110,0,10,102,false,0
54,0,0,380960,203450,-177510,0,0,92,false,0
55,0,0,380960,208050,-172910,0,13,105,false,0
56,0,0,380960,212650,-168310,0,6,98,false,0
57,0,0,380960,217250,-163710,0,15,107,false,0
58,0,0,380960,221850,-159110,0,16,108,false,0
59,0,0,380960,226450,-154510,0,10,102,false,0
60,0,0,380960,231050,-149910,0,5,97,false,0
61,0,0,380960,234700,-146260,0,0,73,false,0
62,0,0,380960,239300,-141660,0,33,125,false,0
63,0,0,380960,243750,-137210,0,0,89,false,0
64,0,0,380960,248350,-132610,0,2,94,false,0
65,0,0,380960,252950,-128010,0,15,107,false,0
66,0,0,380960,257550,-123410,0,6,98,false,0
67,0,0,380960,261850,-119110,0,0,86,false,0
68,0,0,380960,266450,-114510,0,15,107,false,0
69,0,0,380960,271050,-109910,0,4,96,false,0
70,0,0,380960,275450,-105510,0,0,88,false,0
71,0,0,380960,279150,-101810,0,0,74,false,0
72,0,0,380960,283400,-97560,0,0,85,false,0
73,0,0,380960,283400,-97560,0,102,102,true,0
74,0,0,380960,288000,-92960,0,4,96,false,0
75,0,0,380960,292600,-88360,0,13,105,false,0
76,0,0,380960,297200,-83760,0,9,101,false,0
77,0,0,380960,301800,-79160,0,13,105,false,0
78,0,0,380960,306400,-74560,0,6,98,false,0
79,0,0,380960,311000,-69960,0,29,121,false,0
80,0,0,380960,315300,-65660,0,0,86,false,0
81,0,0,380960,319900,-61060,0,7,99,false,0
82,0,0,380960,324050,-56910,0,0,83,false,0
83,0,0,380960,328300,-52660,0,0,85,false,0
84,0,0,380960,332900,-48060,0,3,95,false,0
85,0,0,380960,337200,-43760,0,0,86,false,0
86,0,0,380960,341700,-39260,0,0,90,false,0
87,0,0,380960,345750,-35210,0,0,81,false,0
