ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,0,111900,4750,-107150,0,0,95,false,0
1,0,0,111900,10150,-101750,0,15,123,false,0
2,0,0,111900,14700,-97200,0,0,91,false,0
3,0,0,111900,19900,-92000,0,0,104,false,0
4,0,0,111900,23150,-88750,0,0,65,false,0
5,0,0,111900,28300,-83600,0,0,103,false,0
6,0,0,111900,33500,-78400,0,0,104,false,0
7,0,0,111900,38900,-73000,0,33,141,false,0
8,0,0,111900,43900,-68000,0,0,100,false,0
9,0,0,111900,49300,-62600,0,5,113,false,0
10,0,0,111900,53850,-58050,0,0,91,false,0
11,0,0,111900,57900,-54000,0,0,81,false,0
12,0,0,111900,60950,-50950,0,0,61,false,0
13,0,0,111900,66350,-45550,0,7,115,false,0
14,0,0,111900,66350,-45550,0,71,71,true,0
15,0,0,111900,71750,-40150,0,53,161,false,0
16,0,0,111900,77150,-34750,0,12,120,false,0
17,0,0,111900,82550,-29350,0,16,124,false,0
18,0,0,111900,87950,-23950,0,26,134,false,0
19,0,0,111900,90950,-20950,0,0,60,false,0
20,0,0,111900,96350,-15550,0,14,122,false,0
21,0,0,111900,100150,-11750,0,0,76,false,0
22,0,0,111900,105250,-6650,0,0,102,false,0
23,0,0,111900,109750,-2150,0,0,90,false,0
24,0,0,111900,115150,3250,0,3,111,false,0
25,0,0,111900,120550,8650,0,57,165,false,0
26,0,0,111900,120550,8650,0,78,78,true,0
27,0,0,111900,125950,14050,0,17,125,false,0
28,0,0,111900,129800,17900,0,0,77,false,0
29,0,0,111900,130500,18600,0,0,14,false,0
30,0,0,111900,132150,20250,0,0,33,false,0
31,0,0,111900,132150,20250,0,123,123,true,0
32,0,0,111900,135900,24000,0,0,75,false,0
33,0,0,111900,141050,29150,0,0,103,false,0
34,0,0,111900,141050,29150,0,99,99,true,0
35,0,0,111900,146450,34550,0,19,127,false,0
36,0,0,111900,149300,37400,0,0,57,false,0
37,0,0,111900,153100,41200,0,0,76,false,0
38,0,0,111900,158500,46600,0,32,140,false,0
39,0,0,111900,158500,46600,0,63,63,true,0
40,0,0,111900,158500,46600,0,93,93,true,0
41,0,0,111900,158500,46600,0,119,119,true,0
42,0,0,111900,158500,46600,0,77,77,true,0
43,0,0,111900,158500,46600,0,114,114,true,0
44,0,0,111900,161400,49500,0,0,58,false,0
45,0,0,111900,164300,52400,0,0,58,false,0
46,0,0,111900,168400,56500,0,0,82,false,0
47,0,0,111900,173800,61900,0,22,130,false,0
48,0,0,111900,177600,65700,0,0,76,false,0
49,0,0,111900,183000,71100,0,22,130,false,0
50,0,0,111900,188400,76500,0,12,120,false,0
51,0,0,111900,193100,81200,0,0,94,false,0
52,0,0,223800,193100,-30700,0,102,102,true,0
53,0,0,223800,198450,-25350,0,0,107,false,0
54,0,0,223800,202300,-21500,0,0,77,false,0
55,0,0,223800,207700,-16100,0,7,115,false,0
56,0,0,223800,212500,-11300,0,0,96,false,0
57,0,0,223800,217900,-5900,0,15,123,false,0
58,0,0,223800,223300,-500,0,16,124,false,0
59,0,0,223800,228600,4800,0,0,106,false,0
60,0,0,223800,233250,9450,0,0,93,false,0
61,0,0,223800,234300,10500,0,0,21,false,0
62,0,0,223800,239700,15900,0,67,175,false,0
63,0,0,223800,243100,19300,0,0,68,false,0
64,0,0,223800,247200,23400,0,0,82,false,0
65,0,0,223800,252600,28800,0,13,121,false,0
66,0,0,223800,257400,33600,0,0,96,false,0
67,0,0,223800,260350,36550,0,0,59,false,0
68,0,0,223800,265750,41950,0,14,122,false,0
69,0,0,223800,270250,46450,0,0,90,false,0
70,0,0,223800,273450,49650,0,0,64,false,0
71,0,0,223800,274550,50750,0,0,22,false,0
72,0,0,223800,277300,53500,0,0,55,false,0
73,0,0,223800,277300,53500,0,107,107,true,0
74,0,0,223800,281800,58000,0,0,90,false,0
75,0,0,223800,287200,63400,0,8,116,false,0
76,0,0,223800,292350,68550,0,0,103,false,0
77,0,0,223800,297750,73950,0,9,117,false,0
78,0,0,223800,302500,78700,0,0,95,false,0
79,0,0,223800,307900,84100,0,55,163,false,0
80,0,0,223800,310800,87000,0,0,58,false,0
81,0,0,223800,315700,91900,0,0,98,false,0
82,0,0,223800,318250,94450,0,0,51,false,0
83,0,0,223800,321000,97200,0,0,55,false,0
84,0,0,223800,325350,101550,0,0,87,false,0
85,0,0,223800,328250,104450,0,0,58,false,0
86,0,0,223800,331750,107950,0,0,70,false,0
87,0,0,223800,333900,110100,0,0,43,false,0
88,0,0,223800,336750,112950,0,0,57,false,0
89,0,0,223800,342150,118350,0,38,146,false,0
90,0,0,223800,343850,120050,0,0,34,false,0
91,0,0,223800,345200,121400,0,0,27,false,0
92,0,0,223800,350600,126800,0,23,131,false,0
93,0,0,223800,354250,130450,0,0,73,false,0
94,0,0,223800,358100,134300,0,0,77,false,0
95,0,0,223800,363500,139700,0,20,128,false,0
96,0,0,223800,368900,145100,0,1,109,false,0
97,0,0,223800,368900,145100,0,88,88,true,0
98,0,0,223800,368900,145100,0,116,116,true,0
99,0,0,223800,372550,148750,0,0,73,false,0
100,0,0,223800,376350,152550,0,0,76,false,0
101,0,0,223800,376350,152550,0,37,37,true,0
102,0,0,223800,381750,157950,0,31,139,false,0
103,0,0,223800,387150,163350,0,1,109,false,0
104,0,0,335700,392550,56850,0,33,141,false,0
105,0,0,335700,392550,56850,0,103,103,true,0
106,0,0,335700,392550,56850,0,58,58,true,0
107,0,0,335700,392550,56850,0,59,59,true,0
108,0,0,335700,395850,60150,0,0,66,false,0
109,0,0,335700,400100,64400,0,0,85,false,0
110,0,0,335700,405500,69800,0,12,120,false,0
111,0,0,335700,405500,69800,0,103,103,true,0
112,0,0,335700,405500,69800,0,115,115,true,0
113,0,0,335700,405500,69800,0,121,121,true,0
114,0,0,335700,408050,72350,0,0,51,false,0
115,0,0,335700,412350,76650,0,0,86,false,0
116,0,0,335700,416100,80400,0,0,75,false,0
117,0,0,335700,421500,85800,0,7,115,false,0
118,0,0,335700,426900,91200,0,19,127,false,0
119,0,0,335700,432300,96600,0,29,137,false,0
120,0,0,335700,437550,101850,0,0,105,false,0
121,0,0,335700,441850,106150,0,0,86,false,0
122,0,0,335700,447250,111550,0,62,170,false,0
123,0,0,335700,451350,115650,0,0,82,false,0
124,0,0,335700,455950,120250,0,0,92,false,0
125,0,0,335700,459200,123500,0,0,65,false,0
126,0,0,335700,464600,128900,0,20,128,false,0
127,0,0,335700,467750,132050,0,0,63,false,0
128,0,0,335700,473150,137450,0,7,115,false,0
129,0,0,335700,477700,142000,0,0,91,false,0
130,0,0,335700,483100,147400,0,1,109,false,0
131,0,0,335700,483100,147400,0,68,68,true,0
132,0,0,335700,488500,152800,0,1,109,false,0
133,0,0,335700,492850,157150,0,0,87,false,0
134,0,0,335700,496800,161100,0,0,79,false,0
135,0,0,335700,502200,166500,0,26,134,false,0
136,0,0,335700,507600,171900,0,9,117,false,0
137,0,0,335700,512450,176750,0,0,97,false,0
138,0,0,335700,517850,182150,0,9,117,false,0
139,0,0,335700,522850,187150,0,0,100,false,0
140,0,0,335700,528250,192550,0,33,141,false,0
141,0,0,335700,533650,197950,0,20,128,false,0
142,0,0,335700,537350,201650,0,0,74,false,0
143,0,0,335700,542750,207050,0,31,139,false,0
144,0,0,335700,548150,212450,0,8,116,false,0
145,0,0,335700,553550,217850,0,4,112,false,0
146,0,0,335700,558950,223250,0,27,135,false,0
147,0,0,335700,562200,226500,0,0,65,false,0
148,0,0,335700,567600,231900,0,1,109,false,0
149,0,0,335700,573000,237300,0,9,117,false,0
150,0,0,335700,576800,241100,0,0,76,false,0
151,0,0,335700,577700,242000,0,0,18,false,0
152,0,0,335700,583100,247400,0,11,119,false,0
153,0,0,335700,587350,251650,0,0,85,false,0
154,0,0,335700,592750,257050,0,10,118,false,0
155,0,0,335700,592750,257050,0,99,99,true,0
156,0,0,447600,592750,145150,0,149,149,true,0
157,0,0,447600,597200,149600,0,0,89,false,0
158,0,0,447600,601000,153400,0,0,76,false,0
159,0,0,447600,601000,153400,0,96,96,true,0
160,0,0,447600,601000,153400,0,103,103,true,0
161,0,0,447600,601000,153400,0,121,121,true,0
162,0,0,447600,606400,158800,0,73,181,false,0
163,0,0,447600,609250,161650,0,0,57,false,0
164,0,0,447600,609250,161650,0,101,101,true,0
165,0,0,447600,613900,166300,0,0,93,false,0
166,0,0,447600,619300,171700,0,0,108,false,0
167,0,0,447600,624700,177100,0,11,119,false,0
168,0,0,447600,630100,182500,0,12,120,false,0
169,0,0,447600,635500,187900,0,17,125,false,0
170,0,0,447600,640350,192750,0,0,97,false,0
171,0,0,447600,644600,197000,0,0,85,false,0
172,0,0,447600,649850,202250,0,0,105,false,0
173,0,0,447600,655250,207650,0,26,134,false,0
174,0,0,447600,659950,212350,0,0,94,false,0
175,0,0,447600,659950,212350,0,147,147,true,0
176,0,0,447600,659950,212350,0,119,119,true,0
177,0,0,447600,665350,217750,0,28,136,false,0
178,0,0,447600,669350,221750,0,0,80,false,0
179,0,0,447600,673650,226050,0,0,86,false,0
180,0,0,447600,679050,231450,0,2,110,false,0
181,0,0,447600,684000,236400,0,0,99,false,0
182,0,0,447600,688800,241200,0,0,96,false,0
183,0,0,447600,693000,245400,0,0,84,false,0
184,0,0,447600,698400,250800,0,11,119,false,0
185,0,0,447600,700750,253150,0,0,47,false,0
186,0,0,447600,706150,258550,0,10,118,false,0
187,0,0,447600,711550,263950,0,20,128,false,0
188,0,0,447600,716950,269350,0,16,124,false,0
189,0,0,447600,722300,274700,0,0,107,false,0
190,0,0,447600,722300,274700,0,107,107,true,0
191,0,0,447600,727700,280100,0,0,108,false,0
192,0,0,447600,732500,284900,0,0,96,false,0
193,0,0,447600,732500,284900,0,92,92,true,0
194,0,0,447600,736650,289050,0,0,83,false,0
195,0,0,447600,742050,294450,0,14,122,false,0
196,0,0,447600,747450,299850,0,0,108,false,0
197,0,0,447600,752150,304550,0,0,94,false,0
198,0,0,447600,757550,309950,0,6,114,false,0
199,0,0,447600,762950,315350,0,28,136,false,0
200,0,0,447600,766000,318400,0,0,61,false,0
201,0,0,447600,771400,323800,0,37,145,false,0
202,0,0,447600,776800,329200,0,18,126,false,0
203,0,0,447600,776800,329200,0,106,106,true,0
204,0,0,447600,780900,333300,0,0,82,false,0
205,0,0,447600,785500,337900,0,0,92,false,0
206,0,0,447600,790900,343300,0,0,108,false,0
207,0,0,447600,794950,347350,0,0,81,false,0
208,0,0,559500,796900,237400,0,0,39,false,0
209,0,0,559500,796900,237400,0,72,72,true,0
210,0,0,559500,796900,237400,0,93,93,true,0
211,0,0,559500,796900,237400,0,92,92,true,0
212,0,0,559500,801600,242100,0,0,94,false,0
213,0,0,559500,807000,247500,0,25,133,false,0
214,0,0,559500,811750,252250,0,0,95,false,0
215,0,0,559500,817150,257650,0,34,142,false,0
216,0,0,559500,817150,257650,0,101,101,true,0
217,0,0,559500,821100,261600,0,0,79,false,0
218,0,0,559500,826500,267000,0,44,152,false,0
219,0,0,559500,826500,267000,0,64,64,true,0
220,0,0,559500,830100,270600,0,0,72,false,0
221,0,0,559500,834600,275100,0,0,90,false,0
222,0,0,559500,838700,279200,0,0,82,false,0
223,0,0,559500,843550,284050,0,0,97,false,0
224,0,0,559500,848750,289250,0,0,104,false,0
225,0,0,559500,852850,293350,0,0,82,false,0
226,0,0,559500,852850,293350,0,122,122,true,0
227,0,0,559500,858250,298750,0,12,120,false,0
228,0,0,559500,863650,304150,0,6,114,false,0
229,0,0,559500,866150,306650,0,0,50,false,0
230,0,0,559500,871550,312050,0,20,128,false,0
231,0,0,559500,875950,316450,0,0,88,false,0
232,0,0,559500,879900,320400,0,0,79,false,0
233,0,0,559500,882300,322800,0,0,48,false,0
234,0,0,559500,885400,325900,0,0,62,false,0
235,0,0,559500,890800,331300,0,8,116,false,0
236,0,0,559500,896200,336700,0,17,125,false,0
237,0,0,559500,898950,339450,0,0,55,false,0
238,0,0,559500,904350,344850,0,0,108,false,0
239,0,0,559500,904350,344850,0,85,85,true,0
240,0,0,559500,904350,344850,0,105,105,true,0
241,0,0,559500,909750,350250,0,60,168,false,0
242,0,0,559500,914650,355150,0,0,98,false,0
243,0,0,559500,920050,360550,0,8,116,false,0
244,0,0,559500,925450,365950,0,0,108,false,0
245,0,0,559500,929650,370150,0,0,84,false,0
246,0,0,559500,935050,375550,0,28,136,false,0
247,0,0,559500,940450,380950,0,4,112,false,0
248,0,0,559500,944900,385400,0,0,89,false,0
249,0,0,559500,949700,390200,0,0,96,false,0
250,0,0,559500,955100,395600,0,8,116,false,0
251,0,0,559500,955100,395600,0,62,62,true,0
252,0,0,559500,955100,395600,0,100,100,true,0
253,0,0,559500,960500,401000,0,46,154,false,0
254,0,0,559500,964300,404800,0,0,76,false,0
255,0,0,559500,969700,410200,0,0,108,false,0
256,0,0,559500,973500,414000,0,0,76,false,0
257,0,0,559500,977750,418250,0,0,85,false,0
258,0,0,559500,983150,423650,0,12,120,false,0
259,0,0,559500,988000,428500,0,0,97,false,0
260,0,0,671400,993400,322000,0,78,186,false,0
261,0,0,671400,998500,327100,0,0,102,false,0
262,0,0,671400,1001950,330550,0,0,69,false,0
263,0,0,671400,1007350,335950,0,16,124,false,0
264,0,0,671400,1009650,338250,0,0,46,false,0
265,0,0,671400,1015050,343650,0,2,110,false,0
266,0,0,671400,1015050,343650,0,49,49,true,0
267,0,0,671400,1018400,347000,0,0,67,false,0
268,0,0,671400,1023800,352400,0,31,139,false,0
