ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,108,108800.76923076923,4900,-103900.76923076923,0,0,98,false,0
1,0,108,108821.53846153847,10050,-98771.53846153847,0,4,107,false,0
2,0,108,108842.3076923077,14900,-93942.3076923077,0,0,97,false,0
3,0,108,108863.07692307694,19950,-88913.07692307694,0,0,101,false,0
4,0,108,108883.84615384617,24350,-84533.84615384617,0,0,88,false,0
5,0,108,108904.6153846154,29400,-79504.6153846154,0,0,101,false,0
6,0,108,108925.38461538464,34450,-74475.38461538464,0,0,101,false,0
7,0,108,108946.15384615387,39600,-69346.15384615387,0,10,113,false,0
8,0,108,108966.9230769231,44600,-64366.92307692311,0,0,100,false,0
9,0,108,108987.69230769234,49750,-59237.69230769234,0,1,104,false,0
10,0,108,109008.46153846158,54600,-54408.461538461575,0,0,97,false,0
11,0,108,109029.23076923081,59250,-49779.23076923081,0,0,93,false,0
12,0,108,109050.00000000004,63600,-45450.000000000044,0,0,87,false,0
13,0,108,109070.76923076928,68750,-40320.76923076928,0,2,105,false,0
14,0,108,109091.53846153851,73250,-35841.53846153851,0,0,90,false,0
15,0,108,109112.30769230775,78400,-30712.307692307746,0,17,120,false,0
16,0,108,109133.07692307698,83550,-25583.07692307698,0,3,106,false,0
17,0,108,109153.84615384621,88700,-20453.846153846214,0,5,108,false,0
18,0,108,109174.61538461545,93850,-15324.615384615448,0,8,111,false,0
19,0,108,109195.38461538468,98150,-11045.384615384683,0,0,86,false,0
20,0,108,109216.15384615392,103300,-5916.153846153917,0,4,107,false,0
21,0,108,109236.92307692315,107900,-1336.9230769231508,0,0,92,false,0
22,0,108,109257.69230769238,112900,3642.307692307615,0,0,100,false,0
23,0,108,109278.46153846162,117700,8421.538461538381,0,0,96,false,0
24,0,108,109299.23076923085,122850,13550.769230769147,0,0,103,false,0
25,0,108,109320.00000000009,128000,18679.999999999913,0,18,121,false,0
26,0,108,109340.76923076932,132600,23259.23076923068,0,0,92,false,0
27,0,108,109361.53846153856,137750,28388.461538461444,0,5,108,false,0
