ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,1147,129670.28846153847,4900,-124770.28846153847,0,0,98,false,0
1,0,1147,129780.57692307694,10050,-119730.57692307694,0,4,107,false,0
2,0,1147,129890.8653846154,14900,-114990.8653846154,0,0,97,false,0
3,0,1147,130001.15384615387,19950,-110051.15384615387,0,0,101,false,0
4,0,1147,130111.44230769234,24350,-105761.44230769234,0,0,88,false,0
5,0,1147,130221.73076923081,29400,-100821.73076923081,0,0,101,false,0
6,0,1147,130332.01923076928,34450,-95882.01923076928,0,0,101,false,0
7,0,1147,130442.30769230775,39600,-90842.30769230775,0,10,113,false,0
8,0,1147,130552.59615384621,44600,-85952.59615384621,0,0,100,false,0
9,0,1147,130662.88461538468,49750,-80912.88461538468,0,1,104,false,0
10,0,1147,130773.17307692315,54600,-76173.17307692315,0,0,97,false,0
11,0,1147,130883.46153846162,59250,-71633.46153846162,0,0,93,false,0
12,0,1147,130993.75000000009,63600,-67393.75000000009,0,0,87,false,0
13,0,1147,131104.03846153856,68750,-62354.038461538556,0,2,105,false,0
14,0,1147,131214.32692307702,73250,-57964.326923077024,0,0,90,false,0
15,0,1147,131324.6153846155,78400,-52924.61538461549,0,17,120,false,0
16,0,1147,131434.90384615396,83550,-47884.90384615396,0,3,106,false,0
17,0,1147,131545.19230769243,88700,-42845.19230769243,0,5,108,false,0
18,0,1147,131655.4807692309,93850,-37805.4807692309,0,8,111,false,0
19,0,1147,131765.76923076937,98150,-33615.769230769365,0,0,86,false,0
20,0,1147,131876.05769230783,103300,-28576.057692307833,0,4,107,false,0
21,0,1147,131986.3461538463,107900,-24086.3461538463,0,0,92,false,0
22,0,1147,132096.63461538477,112900,-19196.63461538477,0,0,100,false,0
23,0,1147,132206.92307692324,117700,-14506.923076923238,0,0,96,false,0
24,0,1147,132317.2115384617,122850,-9467.211538461706,0,0,103,false,0
25,0,1147,132427.50000000017,128000,-4427.500000000175,0,18,121,false,0
26,0,1147,132537.78846153864,132600,62.21153846135712,0,0,92,false,0
27,0,1147,132648.0769230771,137750,5101.923076922889,0,5,108,false,0
28,0,1147,132758.36538461558,142350,9591.63461538442,0,0,92,false,0
29,0,1147,132868.65384615405,145900,13031.346153845952,0,0,71,false,0
30,0,1147,132978.94230769252,149750,16771.057692307484,0,0,77,false,0
31,0,1147,133089.23076923098,154900,21810.769230769016,0,4,107,false,0
