ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,194,134887.3076923077,4900,-129987.30769230769,0,0,98,false,0
1,0,194,134924.61538461538,9900,-125024.61538461538,0,7,107,false,0
2,0,194,134961.92307692306,14750,-120211.92307692306,0,0,97,false,0
3,0,194,134999.23076923075,19750,-115249.23076923075,0,1,101,false,0
4,0,194,135036.53846153844,24150,-110886.53846153844,0,0,88,false,0
5,0,194,135073.84615384613,29150,-105923.84615384613,0,1,101,false,0
6,0,194,135111.15384615381,34150,-100961.15384615381,0,1,101,false,0
7,0,194,135148.4615384615,39150,-95998.4615384615,0,13,113,false,0
8,0,194,135185.7692307692,44150,-91035.76923076919,0,0,100,false,0
9,0,194,135223.07692307688,49150,-86073.07692307688,0,4,104,false,0
10,0,194,135260.38461538457,54000,-81260.38461538457,0,0,97,false,0
11,0,194,135297.69230769225,58650,-76647.69230769225,0,0,93,false,0
12,0,194,135334.99999999994,63000,-72334.99999999994,0,0,87,false,0
13,0,194,135372.30769230763,68000,-67372.30769230763,0,5,105,false,0
14,0,194,135409.61538461532,72500,-62909.61538461532,0,0,90,false,0
15,0,194,135446.923076923,77500,-57946.923076923005,0,20,120,false,0
16,0,194,135484.2307692307,82500,-52984.23076923069,0,6,106,false,0
17,0,194,135521.53846153838,87500,-48021.53846153838,0,8,108,false,0
18,0,194,135558.84615384607,92500,-43058.84615384607,0,11,111,false,0
19,0,194,135596.15384615376,96800,-38796.15384615376,0,0,86,false,0
20,0,194,135633.46153846144,101800,-33833.461538461444,0,7,107,false,0
21,0,194,135670.76923076913,106400,-29270.769230769132,0,0,92,false,0
22,0,194,135708.07692307682,111400,-24308.07692307682,0,0,100,false,0
23,0,194,135745.3846153845,116200,-19545.384615384508,0,0,96,false,0
24,0,194,135782.6923076922,121200,-14582.692307692196,0,3,103,false,0
25,0,194,135819.99999999988,126200,-9619.999999999884,0,21,121,false,0
26,0,194,135857.30769230757,130800,-5057.307692307571,0,0,92,false,0
27,0,194,135894.61538461526,135800,-94.61538461525925,0,8,108,false,0
28,0,194,135931.92307692295,140400,4468.076923077053,0,0,92,false,0
29,0,194,135969.23076923063,143950,7980.769230769365,0,0,71,false,0
30,0,194,136006.53846153832,147800,11793.461538461677,0,0,77,false,0
31,0,194,136043.846153846,152800,16756.15384615399,0,7,107,false,0
32,0,194,136081.1538461537,157350,21268.8461538463,0,0,91,false,0
33,0,194,136118.4615384614,162350,26231.538461538614,0,1,101,false,0
34,0,194,136155.76923076907,167300,31144.230769230926,0,0,99,false,0
35,0,194,136193.07692307676,172300,36106.92307692324,0,9,109,false,0
36,0,194,136230.38461538445,176550,40319.61538461555,0,0,85,false,0
37,0,194,136267.69230769214,181150,44882.30769230786,0,0,92,false,0
38,0,194,136304.99999999983,186150,49845.000000000175,0,13,113,false,0
39,0,194,136342.3076923075,190500,54157.69230769249,0,0,87,false,0
40,0,97,136360.96153846136,195350,58989.03846153864,0,0,97,true,0
41,0,0,136360.96153846136,200200,63839.03846153864,0,9,106,true,0
42,0,0,136360.96153846136,200200,63839.03846153864,0,92,92,true,0
43,0,194,141248.26923076904,205200,63951.730769230955,0,4,104,false,0
44,0,194,141285.57692307673,209500,68214.42307692327,0,0,86,false,0
45,0,194,141322.88461538442,213800,72477.11538461558,0,0,86,false,0
46,0,194,141360.1923076921,218500,77139.80769230789,0,0,94,false,0
47,0,194,141397.4999999998,223500,82102.5000000002,0,10,110,false,0
48,0,194,141434.80769230748,228100,86665.19230769252,0,0,92,false,0
49,0,194,141472.11538461517,233100,91627.88461538483,0,10,110,false,0
50,0,194,141509.42307692286,238100,96590.57692307714,0,6,106,false,0
51,0,194,141546.73076923055,243000,101453.26923076945,0,0,98,false,0
52,0,194,271584.0384615382,248000,-23584.038461538206,0,0,100,false,0
53,0,194,271621.3461538459,253000,-18621.346153845894,0,2,102,false,0
54,0,194,271658.6538461536,257600,-14058.653846153582,0,0,92,false,0
55,0,194,271695.96153846127,262600,-9095.96153846127,0,5,105,false,0
56,0,194,271733.26923076896,267500,-4233.269230768958,0,0,98,false,0
57,0,194,271770.57692307665,272500,729.4230769233545,0,7,107,false,0
58,0,194,271807.88461538433,277500,5692.115384615667,0,8,108,false,0
59,0,194,271845.192307692,282500,10654.807692307979,0,2,102,false,0
60,0,194,271882.4999999997,287350,15467.500000000291,0,0,97,false,0
61,0,194,271919.8076923074,291000,19080.192307692603,0,0,73,false,0
62,0,194,271957.1153846151,296000,24042.884615384915,0,25,125,false,0
63,0,194,271994.4230769228,300450,28455.576923077228,0,0,89,false,0
64,0,194,272031.73076923046,305150,33118.26923076954,0,0,94,false,0
65,0,194,272069.03846153815,310150,38080.96153846185,0,7,107,false,0
66,0,194,272106.34615384584,315050,42943.653846154164,0,0,98,false,0
67,0,194,272143.6538461535,319350,47206.346153846476,0,0,86,false,0
68,0,194,272180.9615384612,324350,52169.03846153879,0,7,107,false,0
69,0,194,272218.2692307689,329150,56931.7307692311,0,0,96,false,0
70,0,194,272255.5769230766,333550,61294.42307692341,0,0,88,false,0
71,0,194,272292.8846153843,337250,64957.115384615725,0,0,74,false,0
72,0,194,272330.19230769196,341500,69169.80769230804,0,0,85,false,0
73,0,194,272367.49999999965,346500,74132.50000000035,0,2,102,false,0
74,0,194,272404.80769230734,351300,78895.19230769266,0,0,96,false,0
75,0,194,272442.115384615,356300,83857.88461538497,0,5,105,false,0
76,0,194,272479.4230769227,361300,88820.57692307729,0,1,101,false,0
77,0,194,272516.7307692304,366300,93783.2692307696,0,5,105,false,0
78,0,194,272554.0384615381,371200,98645.96153846191,0,0,98,false,0
79,0,194,272591.3461538458,376200,103608.65384615422,0,21,121,false,0
80,0,194,272628.65384615347,380500,107871.34615384653,0,0,86,false,0
81,0,194,272665.96153846115,385450,112784.03846153885,0,0,99,false,0
82,0,194,272703.26923076884,389600,116896.73076923116,0,0,83,false,0
83,0,194,272740.5769230765,393850,121109.42307692347,0,0,85,false,0
84,0,194,272777.8846153842,398600,125822.11538461578,0,0,95,false,0
85,0,194,272815.1923076919,402900,130084.8076923081,0,0,86,false,0
86,0,194,272852.4999999996,407400,134547.5000000004,0,0,90,false,0
87,0,194,272889.8076923073,411450,138560.19230769272,0,0,81,false,0
88,0,194,272927.11538461497,415700,142772.88461538503,0,0,85,false,0
89,0,194,272964.42307692266,420700,147735.57692307734,0,15,115,false,0
90,0,194,273001.73076923034,424600,151598.26923076966,0,0,78,false,0
