ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,395,114595.96153846153,4900,-109695.96153846153,0,0,98,false,0
1,0,395,114671.92307692306,10050,-104621.92307692306,0,4,107,false,0
2,0,395,114747.8846153846,14900,-99847.8846153846,0,0,97,false,0
3,0,395,114823.84615384613,19950,-94873.84615384613,0,0,101,false,0
4,0,395,114899.80769230766,24350,-90549.80769230766,0,0,88,false,0
5,0,395,114975.76923076919,29400,-85575.76923076919,0,0,101,false,0
6,0,395,115051.73076923072,34450,-80601.73076923072,0,0,101,false,0
7,0,395,115127.69230769225,39600,-75527.69230769225,0,10,113,false,0
8,0,395,115203.65384615379,44600,-70603.65384615379,0,0,100,false,0
9,0,395,115279.61538461532,49750,-65529.61538461532,0,1,104,false,0
10,0,395,115355.57692307685,54600,-60755.57692307685,0,0,97,false,0
11,0,395,115431.53846153838,59250,-56181.53846153838,0,0,93,false,0
12,0,395,115507.49999999991,63600,-51907.49999999991,0,0,87,false,0
13,0,395,115583.46153846144,68750,-46833.461538461444,0,2,105,false,0
14,0,395,115659.42307692298,73250,-42409.423076922976,0,0,90,false,0
15,0,395,115735.38461538451,78400,-37335.38461538451,0,17,120,false,0
16,0,395,115811.34615384604,83550,-32261.34615384604,0,3,106,false,0
17,0,395,115887.30769230757,88700,-27187.30769230757,0,5,108,false,0
18,0,395,115963.2692307691,93850,-22113.269230769103,0,8,111,false,0
19,0,395,116039.23076923063,98150,-17889.230769230635,0,0,86,false,0
20,0,395,116115.19230769217,103300,-12815.192307692167,0,4,107,false,0
21,0,395,116191.1538461537,107900,-8291.153846153698,0,0,92,false,0
22,0,395,116267.11538461523,112900,-3367.11538461523,0,0,100,false,0
23,0,395,116343.07692307676,117700,1356.923076923238,0,0,96,false,0
24,0,395,116419.0384615383,122850,6430.961538461706,0,0,103,false,0
25,0,395,116494.99999999983,128000,11505.000000000175,0,18,121,false,0
26,0,395,116570.96153846136,132600,16029.038461538643,0,0,92,false,0
27,0,395,116646.92307692289,137750,21103.07692307711,0,5,108,false,0
28,0,395,116722.88461538442,142350,25627.11538461558,0,0,92,false,0
29,0,395,116798.84615384595,145900,29101.153846154048,0,0,71,false,0
30,0,395,116874.80769230748,149750,32875.192307692516,0,0,77,false,0
31,0,395,116950.76923076902,154900,37949.230769230984,0,4,107,false,0
32,0,395,117026.73076923055,159450,42423.26923076945,0,0,91,false,0
33,0,395,117102.69230769208,164500,47397.30769230792,0,0,101,false,0
34,0,395,117178.65384615361,169450,52271.34615384639,0,0,99,false,0
35,0,395,117254.61538461514,174600,57345.38461538486,0,6,109,false,0
36,0,395,117330.57692307667,178850,61519.423076923325,0,0,85,false,0
37,0,395,117406.5384615382,183450,66043.4615384618,0,0,92,false,0
38,0,395,117482.49999999974,188600,71117.50000000026,0,10,113,false,0
39,0,395,117558.46153846127,192950,75391.53846153873,0,0,87,false,0
40,0,298,117615.76923076896,197800,80184.23076923104,0,0,97,true,0
41,0,192,117652.69230769204,203100,85447.30769230796,0,0,106,true,0
42,0,100,117671.9230769228,207700,90028.0769230772,0,0,92,true,0
43,0,395,123647.88461538433,212850,89202.11538461567,0,1,104,false,0
44,0,395,123723.84615384587,217150,93426.15384615413,0,0,86,false,0
45,0,395,123799.8076923074,221450,97650.1923076926,0,0,86,false,0
46,0,395,123875.76923076893,226150,102274.23076923107,0,0,94,false,0
47,0,395,123951.73076923046,231300,107348.26923076954,0,7,110,false,0
48,0,395,124027.69230769199,235900,111872.30769230801,0,0,92,false,0
49,0,395,124103.65384615352,241050,116946.34615384648,0,7,110,false,0
50,0,395,124179.61538461506,246200,122020.38461538494,0,3,106,false,0
51,0,395,124255.57692307659,251100,126844.42307692341,0,0,98,false,0
52,0,395,230951.53846153812,256100,25148.46153846188,0,0,100,false,0
53,0,395,231027.49999999965,261200,30172.50000000035,0,0,102,false,0
54,0,395,231103.46153846118,265800,34696.53846153882,0,0,92,false,0
55,0,395,231179.4230769227,270950,39770.576923077286,0,2,105,false,0
56,0,395,231255.38461538425,275850,44594.615384615754,0,0,98,false,0
57,0,395,231331.34615384578,281000,49668.65384615422,0,4,107,false,0
58,0,395,231407.3076923073,286150,54742.69230769269,0,5,108,false,0
59,0,395,231483.26923076884,291250,59766.73076923116,0,0,102,false,0
60,0,395,231559.23076923037,296100,64540.76923076963,0,0,97,false,0
61,0,395,231635.1923076919,299750,68114.8076923081,0,0,73,false,0
62,0,395,231711.15384615344,304900,73188.84615384656,0,22,125,false,0
63,0,395,231787.11538461497,309350,77562.88461538503,0,0,89,false,0
64,0,395,231863.0769230765,314050,82186.9230769235,0,0,94,false,0
65,0,395,231939.03846153803,319200,87260.96153846197,0,4,107,false,0
66,0,395,232014.99999999956,324100,92085.00000000044,0,0,98,false,0
67,0,395,232090.9615384611,328400,96309.0384615389,0,0,86,false,0
68,0,395,232166.92307692263,333550,101383.07692307737,0,4,107,false,0
69,0,395,232242.88461538416,338350,106107.11538461584,0,0,96,false,0
70,0,395,232318.8461538457,342750,110431.15384615431,0,0,88,false,0
71,0,395,232394.80769230722,346450,114055.19230769278,0,0,74,false,0
72,0,395,232470.76923076875,350700,118229.23076923125,0,0,85,false,0
73,0,395,232546.7307692303,355800,123253.26923076971,0,0,102,false,0
74,0,395,232622.69230769182,360600,127977.30769230818,0,0,96,false,0
75,0,395,232698.65384615335,365750,133051.34615384665,0,2,105,false,0
76,0,395,232774.61538461488,370800,138025.38461538512,0,0,101,false,0
77,0,395,232850.5769230764,375950,143099.4230769236,0,2,105,false,0
78,0,395,232926.53846153794,380850,147923.46153846206,0,0,98,false,0
79,0,395,233002.49999999948,386000,152997.50000000052,0,18,121,false,0
80,0,395,233078.461538461,390300,157221.538461539,0,0,86,false,0
81,0,395,233154.42307692254,395250,162095.57692307746,0,0,99,false,0
82,0,395,233230.38461538407,399400,166169.61538461593,0,0,83,false,0
83,0,395,233306.3461538456,403650,170343.6538461544,0,0,85,false,0
84,0,395,233382.30769230713,408400,175017.69230769287,0,0,95,false,0
85,0,395,233458.26923076867,412700,179241.73076923133,0,0,86,false,0
86,0,395,233534.2307692302,417200,183665.7692307698,0,0,90,false,0
87,0,395,233610.19230769173,421250,187639.80769230827,0,0,81,false,0
88,0,395,233686.15384615326,425500,191813.84615384674,0,0,85,false,0
89,0,395,233762.1153846148,430650,196887.8846153852,0,12,115,false,0
90,0,395,233838.07692307633,434550,200711.92307692367,0,0,78,false,0
91,0,395,233914.03846153786,438300,204385.96153846214,0,0,75,false,0
92,0,395,233989.9999999994,443450,209460.0000000006,0,7,110,false,0
