ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,306,112798.84615384616,4900,-107898.84615384616,0,0,98,false,0
1,0,306,112857.69230769231,10050,-102807.69230769231,0,4,107,false,0
2,0,306,112916.53846153847,14900,-98016.53846153847,0,0,97,false,0
3,0,306,112975.38461538462,19950,-93025.38461538462,0,0,101,false,0
4,0,306,113034.23076923078,24350,-88684.23076923078,0,0,88,false,0
5,0,306,113093.07692307694,29400,-83693.07692307694,0,0,101,false,0
6,0,306,113151.92307692309,34450,-78701.92307692309,0,0,101,false,0
7,0,306,113210.76923076925,39600,-73610.76923076925,0,10,113,false,0
8,0,306,113269.6153846154,44600,-68669.6153846154,0,0,100,false,0
9,0,306,113328.46153846156,49750,-63578.46153846156,0,1,104,false,0
10,0,306,113387.30769230772,54600,-58787.30769230772,0,0,97,false,0
11,0,306,113446.15384615387,59250,-54196.15384615387,0,0,93,false,0
12,0,306,113505.00000000003,63600,-49905.00000000003,0,0,87,false,0
13,0,306,113563.84615384619,68750,-44813.846153846185,0,2,105,false,0
14,0,306,113622.69230769234,73250,-40372.69230769234,0,0,90,false,0
15,0,306,113681.5384615385,78400,-35281.5384615385,0,17,120,false,0
16,0,306,113740.38461538465,83550,-30190.384615384653,0,3,106,false,0
17,0,306,113799.23076923081,88700,-25099.23076923081,0,5,108,false,0
18,0,306,113858.07692307697,93850,-20008.076923076966,0,8,111,false,0
19,0,306,113916.92307692312,98150,-15766.923076923122,0,0,86,false,0
20,0,306,113975.76923076928,103300,-10675.769230769278,0,4,107,false,0
21,0,306,114034.61538461543,107900,-6134.615384615434,0,0,92,false,0
22,0,306,114093.46153846159,112900,-1193.46153846159,0,0,100,false,0
23,0,306,114152.30769230775,117700,3547.692307692254,0,0,96,false,0
24,0,306,114211.1538461539,122850,8638.846153846098,0,0,103,false,0
25,0,306,114270.00000000006,128000,13729.999999999942,0,18,121,false,0
26,0,306,114328.84615384621,132600,18271.153846153786,0,0,92,false,0
27,0,306,114387.69230769237,137750,23362.30769230763,0,5,108,false,0
28,0,306,114446.53846153853,142350,27903.461538461474,0,0,92,false,0
29,0,306,114505.38461538468,145900,31394.615384615317,0,0,71,false,0
30,0,306,114564.23076923084,149750,35185.76923076916,0,0,77,false,0
31,0,306,114623.076923077,154900,40276.923076923005,0,4,107,false,0
32,0,306,114681.92307692315,159450,44768.07692307685,0,0,91,false,0
33,0,306,114740.7692307693,164500,49759.23076923069,0,0,101,false,0
34,0,306,114799.61538461546,169450,54650.38461538454,0,0,99,false,0
35,0,306,114858.46153846162,174600,59741.53846153838,0,6,109,false,0
36,0,306,114917.30769230778,178850,63932.692307692225,0,0,85,false,0
37,0,306,114976.15384615393,183450,68473.84615384607,0,0,92,false,0
38,0,306,115035.00000000009,188600,73564.99999999991,0,10,113,false,0
39,0,306,115093.84615384624,192950,77856.15384615376,0,0,87,false,0
40,0,306,115152.6923076924,197800,82647.3076923076,0,0,97,false,0
41,0,306,115211.53846153856,202950,87738.46153846144,0,3,106,false,0
42,0,306,115270.38461538471,207550,92279.61538461529,0,0,92,false,0
43,0,306,115329.23076923087,212700,97370.76923076913,0,1,104,false,0
44,0,306,115388.07692307702,217000,101611.92307692298,0,0,86,false,0
45,0,306,115446.92307692318,221300,105853.07692307682,0,0,86,false,0
46,0,306,115505.76923076934,226000,110494.23076923066,0,0,94,false,0
47,0,306,115564.61538461549,231150,115585.38461538451,0,7,110,false,0
48,0,306,115623.46153846165,235750,120126.53846153835,0,0,92,false,0
49,0,306,115682.3076923078,240900,125217.6923076922,0,7,110,false,0
50,0,306,115741.15384615396,246050,130308.84615384604,0,3,106,false,0
51,0,306,115800.00000000012,250950,135149.99999999988,0,0,98,false,0
52,0,306,222478.84615384627,255950,33471.15384615373,0,0,100,false,0
53,0,306,222537.69230769243,261050,38512.30769230757,0,0,102,false,0
54,0,306,222596.53846153858,265650,43053.461538461415,0,0,92,false,0
55,0,306,222655.38461538474,270800,48144.61538461526,0,2,105,false,0
56,0,306,222714.2307692309,275700,52985.7692307691,0,0,98,false,0
57,0,306,222773.07692307705,280850,58076.92307692295,0,4,107,false,0
58,0,306,222831.9230769232,286000,63168.07692307679,0,5,108,false,0
59,0,306,222890.76923076937,291100,68209.23076923063,0,0,102,false,0
60,0,306,222949.61538461552,295950,73000.38461538448,0,0,97,false,0
61,0,306,223008.46153846168,299600,76591.53846153832,0,0,73,false,0
62,0,306,223067.30769230783,304750,81682.69230769217,0,22,125,false,0
63,0,306,223126.153846154,309200,86073.84615384601,0,0,89,false,0
64,0,306,223185.00000000015,313900,90714.99999999985,0,0,94,false,0
65,0,306,223243.8461538463,319050,95806.1538461537,0,4,107,false,0
66,0,306,223302.69230769246,323950,100647.30769230754,0,0,98,false,0
67,0,306,223361.5384615386,328250,104888.46153846139,0,0,86,false,0
68,0,306,223420.38461538477,333400,109979.61538461523,0,4,107,false,0
69,0,306,223479.23076923093,338200,114720.76923076907,0,0,96,false,0
70,0,306,223538.07692307708,342600,119061.92307692292,0,0,88,false,0
71,0,306,223596.92307692324,346300,122703.07692307676,0,0,74,false,0
