ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,499,116676.76923076923,4900,-111776.76923076923,0,0,98,false,0
1,0,499,116753.53846153847,10050,-106703.53846153847,0,4,107,false,0
2,0,499,116830.3076923077,14900,-101930.3076923077,0,0,97,false,0
3,0,499,116907.07692307694,19950,-96957.07692307694,0,0,101,false,0
4,0,499,116983.84615384617,24350,-92633.84615384617,0,0,88,false,0
5,0,499,117060.6153846154,29400,-87660.6153846154,0,0,101,false,0
6,0,499,117137.38461538464,34450,-82687.38461538464,0,0,101,false,0
7,0,499,117214.15384615387,39600,-77614.15384615387,0,10,113,false,0
8,0,499,117290.9230769231,44600,-72690.9230769231,0,0,100,false,0
9,0,499,117367.69230769234,49750,-67617.69230769234,0,1,104,false,0
10,0,499,117444.46153846158,54600,-62844.461538461575,0,0,97,false,0
11,0,499,117521.23076923081,59250,-58271.23076923081,0,0,93,false,0
12,0,499,117598.00000000004,63600,-53998.000000000044,0,0,87,false,0
13,0,499,117674.76923076928,68750,-48924.76923076928,0,2,105,false,0
14,0,499,117751.53846153851,73250,-44501.53846153851,0,0,90,false,0
15,0,499,117828.30769230775,78400,-39428.307692307746,0,17,120,false,0
16,0,499,117905.07692307698,83550,-34355.07692307698,0,3,106,false,0
17,0,499,117981.84615384621,88700,-29281.846153846214,0,5,108,false,0
18,0,499,118058.61538461545,93850,-24208.61538461545,0,8,111,false,0
19,0,499,118135.38461538468,98150,-19985.384615384683,0,0,86,false,0
20,0,499,118212.15384615392,103300,-14912.153846153917,0,4,107,false,0
21,0,499,118288.92307692315,107900,-10388.92307692315,0,0,92,false,0
22,0,499,118365.69230769238,112900,-5465.692307692385,0,0,100,false,0
23,0,499,118442.46153846162,117700,-742.461538461619,0,0,96,false,0
24,0,499,118519.23076923085,122850,4330.769230769147,0,0,103,false,0
25,0,499,118596.00000000009,128000,9403.999999999913,0,18,121,false,0
