ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,2079,148599.8076923077,4900,-143699.8076923077,0,0,98,false,0
1,0,2079,148999.61538461538,10050,-138949.61538461538,0,4,107,false,0
2,0,2079,149399.42307692306,14900,-134499.42307692306,0,0,97,false,0
3,0,2079,149799.23076923075,19950,-129849.23076923075,0,0,101,false,0
4,0,2079,150199.03846153844,24350,-125849.03846153844,0,0,88,false,0
5,0,1978,150579.42307692306,29400,-121179.42307692306,0,0,101,true,0
6,0,1877,150940.3846153846,34450,-116490.3846153846,0,0,101,true,0
7,0,1764,151279.61538461538,40100,-111179.61538461538,0,0,113,true,0
8,0,1664,151599.61538461538,45100,-106499.61538461538,0,0,100,true,0
9,0,1560,151899.61538461538,50300,-101599.61538461538,0,0,104,true,0
10,0,1463,152180.96153846153,55150,-97030.96153846153,0,0,97,true,0
11,0,1370,152444.42307692306,59800,-92644.42307692306,0,0,93,true,0
12,0,1283,152691.15384615384,64150,-88541.15384615384,0,0,87,true,0
13,0,1178,152917.6923076923,69400,-83517.69230769231,0,0,105,true,0
14,0,1088,153126.9230769231,73900,-79226.92307692309,0,0,90,true,0
15,0,968,153313.07692307694,79900,-73413.07692307694,0,0,120,true,0
16,0,862,153478.84615384616,85200,-68278.84615384616,0,0,106,true,0
17,0,2079,178218.65384615384,90350,-87868.65384615384,0,5,108,false,0
18,0,2079,178618.46153846153,95500,-83118.46153846153,0,8,111,false,0
19,0,2079,179018.26923076922,99800,-79218.26923076922,0,0,86,false,0
20,0,1972,179397.5,105150,-74247.5,0,0,107,true,0
21,0,1880,179759.03846153847,109750,-70009.03846153847,0,0,92,true,0
22,0,2079,184138.84615384616,114750,-69388.84615384616,0,0,100,false,0
23,0,2079,184538.65384615384,119550,-64988.653846153844,0,0,96,false,0
24,0,2079,184938.46153846153,124700,-60238.46153846153,0,0,103,false,0
25,0,2079,185338.26923076922,129850,-55488.26923076922,0,18,121,false,0
26,0,1987,185720.3846153846,134450,-51270.384615384595,0,0,92,true,0
27,0,1879,186081.73076923075,139850,-46231.73076923075,0,0,108,true,0
28,0,1787,186425.3846153846,144450,-41975.384615384595,0,0,92,true,0
29,0,1716,186755.3846153846,148000,-38755.384615384595,0,0,71,true,0
30,0,2079,194415.19230769228,151850,-42565.19230769228,0,0,77,false,0
31,0,2079,194814.99999999997,157000,-37814.99999999997,0,4,107,false,0
32,0,1988,195197.30769230766,161550,-33647.30769230766,0,0,91,true,0
33,0,1887,195560.19230769228,166600,-28960.192307692283,0,0,101,true,0
34,0,1788,195904.03846153844,171550,-24354.03846153844,0,0,99,true,0
35,0,2079,202123.84615384613,176700,-25423.846153846127,0,6,109,false,0
36,0,2079,202523.65384615381,180950,-21573.653846153815,0,0,85,false,0
37,0,2079,202923.4615384615,185550,-17373.461538461503,0,0,92,false,0
38,0,2079,203323.2692307692,190700,-12623.26923076919,0,10,113,false,0
39,0,2079,203723.07692307688,195050,-8673.076923076878,0,0,87,false,0
40,0,2079,204122.88461538457,199900,-4222.884615384566,0,0,97,false,0
41,0,2079,204522.69230769225,205050,527.307692307746,0,3,106,false,0
42,0,1987,204904.80769230763,209650,4745.19230769237,0,0,92,true,0
43,0,1883,205266.923076923,214850,9583.076923076995,0,0,104,true,0
44,0,2079,209586.7307692307,219150,9563.269230769307,0,0,86,false,0
45,0,2079,209986.53846153838,223450,13463.461538461619,0,0,86,false,0
46,0,1985,210368.26923076916,228150,17781.73076923084,0,0,94,true,0
47,0,1875,210728.8461538461,233650,22921.153846153902,0,0,110,true,0
48,0,1783,211071.73076923072,238250,27178.269230769278,0,0,92,true,0
49,0,1673,211393.4615384615,243750,32356.538461538497,0,0,110,true,0
50,0,1567,211694.80769230766,249050,37355.19230769234,0,0,106,true,0
51,0,1469,211977.30769230766,253950,41972.69230769234,0,0,98,true,0
52,0,1979,331177.88461538457,258950,-72227.88461538457,0,0,100,true,0
53,0,1877,331538.8461538461,264050,-67488.84615384613,0,0,102,true,0
54,0,1785,331882.1153846154,268650,-63232.115384615376,0,0,92,true,0
55,0,1680,332205.1923076923,273900,-58305.19230769231,0,0,105,true,0
56,0,1582,332509.42307692306,278800,-53709.42307692306,0,0,98,true,0
57,0,1475,332793.07692307694,284150,-48643.07692307694,0,0,107,true,0
58,0,1367,333055.96153846156,289550,-43505.96153846156,0,0,108,true,0
59,0,1265,333299.2307692308,294650,-38649.23076923081,0,0,102,true,0
60,0,1168,333523.8461538462,299500,-34023.846153846185,0,0,97,true,0
61,0,2079,352143.6538461539,303150,-48993.65384615387,0,0,73,false,0
62,0,2079,352543.46153846156,308300,-44243.46153846156,0,22,125,false,0
63,0,2079,352943.26923076925,312750,-40193.26923076925,0,0,89,false,0
64,0,2079,353343.07692307694,317450,-35893.07692307694,0,0,94,false,0
65,0,2079,353742.8846153846,322600,-31142.884615384624,0,4,107,false,0
66,0,2079,354142.6923076923,327500,-26642.692307692312,0,0,98,false,0
67,0,2079,354542.5,331800,-22742.5,0,0,86,false,0
68,0,2079,354942.3076923077,336950,-17992.307692307688,0,4,107,false,0
69,0,1983,355323.6538461538,341750,-13573.653846153815,0,0,96,true,0
70,0,1895,355688.0769230769,346150,-9538.076923076878,0,0,88,true,0
71,0,1821,356038.2692307692,349850,-6188.2692307691905,0,0,74,true,0
72,0,1736,356372.1153846153,354100,-2272.1153846153175,0,0,85,true,0
73,0,2079,363631.923076923,359200,-4431.923076923005,0,0,102,false,0
74,0,2079,364031.7307692307,364000,-31.730769230693113,0,0,96,false,0
75,0,2079,364431.5384615384,369150,4718.461538461619,0,2,105,false,0
76,0,2079,364831.34615384607,374200,9368.653846153931,0,0,101,false,0
77,0,2079,365231.15384615376,379350,14118.846153846243,0,2,105,false,0
78,0,1981,365612.1153846153,384250,18637.884615384683,0,0,98,true,0
79,0,1860,365969.80769230763,390300,24330.19230769237,0,0,121,true,0
80,0,1774,366310.9615384615,394600,28289.038461538497,0,0,86,true,0
81,0,1675,366633.0769230769,399550,32916.92307692312,0,0,99,true,0
82,0,1592,366939.23076923075,403700,36760.76923076925,0,0,83,true,0
83,0,1507,367229.03846153844,407950,40720.96153846156,0,0,85,true,0
84,0,2079,379068.8461538461,412700,33631.15384615387,0,0,95,false,0
85,0,2079,379468.6538461538,417000,37531.346153846185,0,0,86,false,0
86,0,2079,379868.4615384615,421500,41631.5384615385,0,0,90,false,0
87,0,2079,380268.2692307692,425550,45281.73076923081,0,0,81,false,0
