ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,469,126630.19230769231,4600,-122030.19230769231,0,0,92,false,0
1,0,469,126720.38461538462,10250,-116470.38461538462,0,26,139,false,0
2,0,469,126810.57692307694,14550,-112260.57692307694,0,0,86,false,0
3,0,469,126900.76923076925,19850,-107050.76923076925,0,0,106,false,0
4,0,469,126990.96153846156,22000,-104990.96153846156,0,0,43,false,0
5,0,469,127081.15384615387,27300,-99781.15384615387,0,0,106,false,0
6,0,362,127150.76923076926,32650,-94500.76923076926,0,0,107,true,0
7,0,193,127187.88461538465,41100,-86087.88461538465,0,0,169,true,0
8,0,93,127205.76923076926,46100,-81105.76923076926,0,0,100,true,0
9,0,0,127205.76923076926,50750,-76455.76923076926,0,30,123,true,0
10,0,0,127205.76923076926,50750,-76455.76923076926,0,86,86,true,0
11,0,0,127205.76923076926,50750,-76455.76923076926,0,69,69,true,0
12,0,0,127205.76923076926,50750,-76455.76923076926,0,35,35,true,0
13,0,0,127205.76923076926,50750,-76455.76923076926,0,125,125,true,0
14,0,469,136675.96153846156,53300,-83375.96153846156,0,0,51,false,0
15,0,469,136766.15384615387,58950,-77816.15384615387,0,21,134,false,0
16,0,469,136856.34615384619,64600,-72256.34615384619,0,27,140,false,0
17,0,469,136946.5384615385,70250,-66696.5384615385,0,45,158,false,0
18,0,469,137036.7307692308,71950,-65086.73076923081,0,0,34,false,0
19,0,469,137126.92307692312,77600,-59526.92307692312,0,24,137,false,0
20,0,469,137217.11538461543,80650,-56567.115384615434,0,0,61,false,0
21,0,469,137307.30769230775,85800,-51507.307692307746,0,0,103,false,0
22,0,469,137397.50000000006,90000,-47397.50000000006,0,0,84,false,0
23,0,469,137487.69230769237,95650,-41837.69230769237,0,6,119,false,0
24,0,469,137577.88461538468,98850,-38727.88461538468,0,0,64,false,0
25,0,469,137668.076923077,104500,-33168.076923076995,0,30,143,false,0
26,0,469,137758.2692307693,107550,-30208.269230769307,0,0,61,false,0
27,0,469,137848.46153846162,109700,-28148.46153846162,0,0,43,false,0
28,0,469,137938.65384615393,110200,-27738.65384615393,0,0,10,false,0
29,0,469,138028.84615384624,115850,-22178.846153846243,0,25,138,false,0
30,0,469,138119.03846153856,118800,-19319.038461538556,0,0,59,false,0
31,0,469,138209.23076923087,124100,-14109.230769230868,0,0,106,false,0
32,0,469,138299.42307692318,129050,-9249.42307692318,0,0,99,false,0
33,0,469,138389.6153846155,134700,-3689.615384615492,0,32,145,false,0
34,0,469,138479.8076923078,136150,-2329.8076923078042,0,0,29,false,0
35,0,469,138570.00000000012,139200,629.9999999998836,0,0,61,false,0
36,0,469,138660.19230769243,144850,6189.807692307571,0,53,166,false,0
37,0,469,138750.38461538474,146800,8049.615384615259,0,0,39,false,0
38,0,469,138840.57692307705,151250,12409.423076922947,0,0,89,false,0
39,0,469,138930.76923076937,156900,17969.230769230635,0,19,132,false,0
40,0,469,139020.96153846168,160050,21029.038461538323,0,0,63,false,0
41,0,469,139111.153846154,165700,26588.84615384601,0,11,124,false,0
42,0,469,139201.3461538463,167250,28048.6538461537,0,0,31,false,0
43,0,469,139291.5384615386,168750,29458.461538461386,0,0,30,false,0
44,0,469,139381.73076923093,172250,32868.269230769074,0,0,70,false,0
45,0,469,139471.92307692324,177900,38428.07692307676,0,37,150,false,0
46,0,469,139562.11538461555,180950,41387.88461538445,0,0,61,false,0
47,0,469,139652.30769230786,186600,46947.69230769214,0,37,150,false,0
48,0,469,139742.50000000017,192250,52507.499999999825,0,21,134,false,0
49,0,469,139832.6923076925,196750,56917.30769230751,0,0,90,false,0
50,0,469,139922.8846153848,201900,61977.1153846152,0,0,103,false,0
51,0,469,140013.0769230771,207450,67436.92307692289,0,0,111,false,0
52,0,469,257263.26923076942,210550,-46713.26923076942,0,0,62,false,0
53,0,469,257353.46153846174,216200,-41153.461538461735,0,13,126,false,0
54,0,469,257443.65384615405,220900,-36543.65384615405,0,0,94,false,0
55,0,469,257533.84615384636,226550,-30983.84615384636,0,26,139,false,0
56,0,469,257624.03846153867,232200,-25424.038461538672,0,27,140,false,0
57,0,469,257714.23076923098,237700,-20014.230769230984,0,0,110,false,0
58,0,469,257804.4230769233,242150,-15654.423076923296,0,0,89,false,0
59,0,469,257894.6153846156,243700,-14194.615384615608,0,0,31,false,0
60,0,469,257984.80769230792,246050,-11934.80769230792,0,0,47,false,0
61,0,469,258075.00000000023,249600,-8475.000000000233,0,0,71,false,0
62,0,469,258165.19230769255,255250,-2915.192307692545,0,22,135,false,0
63,0,469,258255.38461538486,259900,1644.6153846151428,0,0,93,false,0
64,0,469,258345.57692307717,261450,3104.4230769228307,0,0,31,false,0
65,0,469,258435.76923076948,267100,8664.230769230518,0,24,137,false,0
66,0,469,258525.9615384618,271250,12724.038461538206,0,0,83,false,0
67,0,469,258616.1538461541,273300,14683.846153845894,0,0,41,false,0
68,0,469,258706.34615384642,274700,15993.653846153582,0,0,28,false,0
69,0,469,258796.53846153873,275950,17153.46153846127,0,0,25,false,0
70,0,469,258886.73076923104,281550,22663.269230768958,0,0,112,false,0
71,0,469,258976.92307692335,285700,26723.076923076645,0,0,83,false,0
72,0,469,259067.11538461567,291350,32282.884615384333,0,15,128,false,0
73,0,469,259157.30769230798,296650,37492.69230769202,0,0,106,false,0
74,0,469,259247.5000000003,302300,43052.49999999971,0,15,128,false,0
75,0,469,259337.6923076926,306900,47562.3076923074,0,0,92,false,0
76,0,469,259427.88461538492,308450,49022.115384615085,0,0,31,false,0
77,0,469,259518.07692307723,313300,53781.92307692277,0,0,97,false,0
78,0,469,259608.26923076954,314250,54641.73076923046,0,0,19,false,0
79,0,469,259698.46153846185,315550,55851.53846153815,0,0,26,false,0
80,0,469,259788.65384615416,319500,59711.346153845836,0,0,79,false,0
81,0,469,259878.84615384648,321000,61121.153846153524,0,0,30,false,0
82,0,469,259969.0384615388,323550,63580.96153846121,0,0,51,false,0
83,0,469,260059.2307692311,323850,63790.7692307689,0,0,6,false,0
84,0,469,260149.4230769234,325300,65150.57692307659,0,0,29,false,0
85,0,469,260239.61538461572,330950,70710.38461538428,0,63,176,false,0
86,0,469,260329.80769230804,331400,71070.19230769196,0,0,9,false,0
87,0,469,260420.00000000035,332450,72029.99999999965,0,0,21,false,0
88,0,469,260510.19230769266,338100,77589.80769230734,0,39,152,false,0
89,0,469,260600.38461538497,340850,80249.61538461503,0,0,55,false,0
90,0,469,260690.5769230773,343950,83259.42307692271,0,0,62,false,0
91,0,469,260780.7692307696,349600,88819.2307692304,0,35,148,false,0
92,0,469,260870.9615384619,355250,94379.03846153809,0,2,115,false,0
93,0,469,260961.15384615422,359300,98338.84615384578,0,0,81,false,0
94,0,469,261051.34615384653,364950,103898.65384615347,0,14,127,false,0
95,0,469,261141.53846153885,367700,106558.46153846115,0,0,55,false,0
96,0,469,261231.73076923116,370750,109518.26923076884,0,0,61,false,0
97,0,469,261321.92307692347,370900,109578.07692307653,0,0,3,false,0
98,0,469,261412.11538461578,376550,115137.88461538422,0,52,165,false,0
99,0,469,261502.3076923081,382200,120697.6923076919,0,3,116,false,0
100,0,469,261592.5000000004,387850,126257.49999999959,0,55,168,false,0
101,0,469,261682.69230769272,393100,131417.30769230728,0,0,105,false,0
102,0,469,261772.88461538503,394650,132877.11538461497,0,0,31,false,0
103,0,469,261863.07692307734,396250,134386.92307692266,0,0,32,false,0
104,0,469,379113.26923076966,398450,19336.730769230344,0,0,44,false,0
105,0,393,379188.8461538466,402250,23061.153846153407,0,0,76,true,0
106,0,260,379238.8461538466,408900,29661.153846153407,0,0,133,true,0
107,0,155,379268.6538461543,414150,34881.34615384572,0,0,105,true,0
108,0,469,385638.8461538466,419800,34161.15384615341,0,12,125,false,0
109,0,469,385729.0384615389,425450,39720.961538461095,0,23,136,false,0
110,0,469,385819.2307692312,426350,40530.76923076878,0,0,18,false,0
111,0,469,385909.42307692353,430150,44240.57692307647,0,0,76,false,0
112,0,469,385999.61538461584,433100,47100.38461538416,0,0,59,false,0
113,0,469,386089.80769230815,438750,52660.19230769185,0,13,126,false,0
114,0,469,386180.00000000047,444400,58219.999999999534,0,33,146,false,0
115,0,469,386270.1923076928,450050,63779.80769230722,0,49,162,false,0
116,0,469,386360.3846153851,455500,69139.61538461491,0,0,109,false,0
117,0,469,386450.5769230774,459350,72899.4230769226,0,0,77,false,0
118,0,469,386540.7692307697,462850,76309.23076923029,0,0,70,false,0
119,0,469,386630.961538462,467200,80569.03846153797,0,0,87,false,0
120,0,469,386721.15384615434,469300,82578.84615384566,0,0,42,false,0
121,0,469,386811.34615384665,474950,88138.65384615335,0,33,146,false,0
122,0,469,386901.53846153896,476850,89948.46153846104,0,0,38,false,0
123,0,469,386991.7307692313,482500,95508.26923076872,0,12,125,false,0
124,0,469,387081.9230769236,486750,99668.07692307641,0,0,85,false,0
125,0,469,387172.1153846159,492400,105227.8846153841,0,2,115,false,0
126,0,469,387262.3076923082,494750,107487.69230769179,0,0,47,false,0
127,0,469,387352.5000000005,500400,113047.49999999948,0,2,115,false,0
128,0,469,387442.69230769284,504300,116857.30769230716,0,0,78,false,0
129,0,469,387532.88461538515,507550,120017.11538461485,0,0,65,false,0
130,0,469,387623.07692307746,513200,125576.92307692254,0,45,158,false,0
131,0,469,387713.2692307698,518850,131136.73076923023,0,16,129,false,0
132,0,469,387803.4615384621,523600,135796.53846153792,0,0,95,false,0
133,0,469,387893.6538461544,529250,141356.3461538456,0,15,128,false,0
134,0,469,387983.8461538467,534300,146316.1538461533,0,0,101,false,0
135,0,469,388074.038461539,539950,151875.96153846098,0,56,169,false,0
136,0,469,388164.23076923133,545600,157435.76923076867,0,35,148,false,0
137,0,469,388254.42307692365,548450,160195.57692307635,0,0,57,false,0
138,0,469,388344.61538461596,554100,165755.38461538404,0,52,165,false,0
139,0,469,388434.80769230827,559750,171315.19230769173,0,14,127,false,0
140,0,469,388525.0000000006,565400,176874.99999999942,0,8,121,false,0
141,0,469,388615.1923076929,571050,182434.8076923071,0,46,159,false,0
142,0,469,388705.3846153852,573150,184444.6153846148,0,0,42,false,0
143,0,469,388795.5769230775,578800,190004.42307692248,0,2,115,false,0
144,0,469,388885.76923076983,584450,195564.23076923017,0,16,129,false,0
145,0,469,388975.96153846214,587500,198524.03846153786,0,0,61,false,0
146,0,469,389066.15384615446,589250,200183.84615384554,0,0,35,false,0
147,0,469,389156.34615384677,594900,205743.65384615323,0,19,132,false,0
148,0,469,389246.5384615391,598650,209403.46153846092,0,0,75,false,0
149,0,469,389336.7307692314,604300,214963.2692307686,0,17,130,false,0
150,0,469,389426.9230769237,609250,219823.0769230763,0,0,99,false,0
151,0,469,389517.115384616,614900,225382.88461538398,0,69,182,false,0
152,0,469,389607.3076923083,619000,229392.69230769167,0,0,82,false,0
153,0,469,389697.50000000064,622000,232302.49999999936,0,0,60,false,0
154,0,469,389787.69230769295,626700,236912.30769230705,0,0,94,false,0
155,0,469,389877.88461538526,631950,242072.11538461474,0,0,105,false,0
156,0,469,507128.0769230776,637600,130471.92307692242,0,22,135,false,0
157,0,469,507218.2692307699,639050,131831.7307692301,0,0,29,false,0
158,0,469,507308.4615384622,644150,136841.5384615378,0,0,102,false,0
159,0,469,507398.6538461545,648600,141201.3461538455,0,0,89,false,0
160,0,469,507488.8461538468,654250,146761.15384615317,0,1,114,false,0
161,0,469,507579.03846153914,659900,152320.96153846086,0,18,131,false,0
162,0,336,507643.6538461545,666550,158906.3461538455,0,0,133,true,0
163,0,193,507680.7692307699,673700,166019.2307692301,0,0,143,true,0
164,0,98,507699.615384616,678450,170750.38461538398,0,0,95,true,0
165,0,469,515209.8076923083,682250,167040.19230769167,0,0,76,false,0
166,0,469,515300.00000000064,687700,172399.99999999936,0,0,109,false,0
167,0,469,515390.19230769295,693350,177959.80769230705,0,44,157,false,0
168,0,469,515480.38461538526,697900,182419.61538461474,0,0,91,false,0
169,0,469,515570.5769230776,703550,187979.42307692242,0,66,179,false,0
170,0,338,515635.5769230776,710100,194464.42307692242,0,0,131,true,0
171,0,178,515669.8076923083,718100,202430.19230769167,0,0,160,true,0
172,0,111,515691.15384615446,721450,205758.84615384554,0,0,67,true,0
173,0,469,522941.34615384677,725250,202308.65384615323,0,0,76,false,0
174,0,469,523031.5384615391,730900,207868.46153846092,0,4,117,false,0
175,0,469,523121.7307692314,735800,212678.2692307686,0,0,98,false,0
176,0,469,523211.9230769237,740500,217288.0769230763,0,0,94,false,0
177,0,469,523302.115384616,744150,220847.88461538398,0,0,73,false,0
178,0,469,523392.3076923083,749800,226407.69230769167,0,20,133,false,0
179,0,469,523482.50000000064,750350,226867.49999999936,0,0,11,false,0
180,0,469,523572.69230769295,756000,232427.30769230705,0,18,131,false,0
181,0,469,523662.88461538526,761650,237987.11538461474,0,34,147,false,0
182,0,469,523753.0769230776,767300,243546.92307692242,0,27,140,false,0
183,0,469,523843.2692307699,772850,249006.7307692301,0,0,111,false,0
184,0,469,523933.4615384622,778400,254466.5384615378,0,0,111,false,0
185,0,469,524023.6538461545,784050,260026.3461538455,0,1,114,false,0
186,0,469,524113.8461538468,788750,264636.1538461532,0,0,94,false,0
187,0,469,524204.03846153914,793150,268945.96153846086,0,0,88,false,0
188,0,469,524294.2307692314,796750,272455.76923076855,0,0,72,false,0
189,0,469,524384.4230769237,802400,278015.5769230763,0,24,137,false,0
190,0,469,524474.615384616,808050,283575.38461538404,0,0,113,false,0
191,0,469,524564.8076923082,812600,288035.1923076918,0,0,91,false,0
192,0,469,524655.0000000005,818250,293594.99999999953,0,11,124,false,0
193,0,469,524745.1923076927,823900,299154.8076923073,0,48,161,false,0
194,0,469,524835.384615385,825700,300864.615384615,0,0,36,false,0
195,0,469,524925.5769230772,831350,306424.4230769228,0,62,175,false,0
196,0,469,525015.7692307695,837000,311984.2307692305,0,30,143,false,0
197,0,469,525105.9615384617,842500,317394.03846153826,0,0,110,false,0
198,0,469,525196.153846154,846050,320853.846153846,0,0,71,false,0
199,0,469,525286.3461538462,850400,325113.65384615376,0,0,87,false,0
200,0,469,525376.5384615385,856050,330673.4615384615,0,1,114,false,0
201,0,469,525466.7307692308,859500,334033.26923076925,0,0,69,false,0
202,0,469,525556.923076923,859500,333943.076923077,0,0,0,false,0
203,0,469,525647.1153846153,862200,336552.88461538474,0,0,54,false,0
204,0,469,525737.3076923075,866650,340912.6923076925,0,0,89,false,0
205,0,469,525827.4999999998,871000,345172.50000000023,0,0,87,false,0
206,0,469,525917.692307692,875500,349582.307692308,0,0,90,false,0
207,0,469,526007.8846153843,881150,355142.1153846157,0,42,155,false,0
208,0,469,643258.0769230765,885750,242491.92307692347,0,0,92,false,0
209,0,469,643348.2692307688,891400,248051.73076923122,0,57,170,false,0
210,0,469,643438.461538461,896500,253061.53846153896,0,0,102,false,0
211,0,469,643528.6538461533,899800,256271.3461538467,0,0,66,false,0
212,0,469,643618.8461538455,905450,261831.15384615446,0,74,187,false,0
213,0,469,643709.0384615378,907450,263740.9615384622,0,0,40,false,0
214,0,469,643799.23076923,910150,266350.76923076995,0,0,54,false,0
215,0,469,643889.4230769223,914300,270410.5769230777,0,0,83,false,0
216,0,469,643979.6153846146,917800,273820.38461538544,0,0,70,false,0
217,0,469,644069.8076923068,922600,278530.1923076932,0,0,96,false,0
218,0,469,644159.9999999991,927900,283740.00000000093,0,0,106,false,0
219,0,469,644250.1923076913,931400,287149.8076923087,0,0,70,false,0
220,0,469,644340.3846153836,937050,292709.6153846164,0,24,137,false,0
221,0,469,644430.5769230758,942700,298269.42307692417,0,21,134,false,0
222,0,469,644520.7692307681,948350,303829.2307692319,0,11,124,false,0
223,0,469,644610.9615384603,949150,304539.03846153966,0,0,16,false,0
224,0,469,644701.1538461526,954800,310098.8461538474,0,33,146,false,0
225,0,469,644791.3461538448,958800,314008.65384615515,0,0,80,false,0
226,0,469,644881.5384615371,962050,317168.4615384629,0,0,65,false,0
227,0,469,644971.7307692294,962750,317778.26923077065,0,0,14,false,0
228,0,469,645061.9230769216,964550,319488.0769230784,0,0,36,false,0
229,0,469,645152.1153846139,970200,325047.88461538614,0,14,127,false,0
230,0,327,645214.9999999985,977300,332085.0000000015,0,0,142,true,0
231,0,469,648145.1923076907,978600,330454.80769230926,0,0,26,false,0
232,0,469,648235.384615383,984250,336014.615384617,0,0,113,false,0
233,0,469,648325.5769230752,988050,339724.42307692475,0,0,76,false,0
234,0,469,648415.7692307675,993500,345084.2307692325,0,0,109,false,0
235,0,469,648505.9615384598,998300,349794.03846154024,0,0,96,false,0
236,0,469,648596.153846152,1003950,355353.846153848,0,14,127,false,0
237,0,469,648686.3461538443,1009600,360913.65384615574,0,1,114,false,0
238,0,469,648776.5384615365,1013250,364473.4615384635,0,0,73,false,0
239,0,469,648866.7307692288,1018900,370033.2692307712,0,48,161,false,0
240,0,469,648956.923076921,1024550,375593.076923079,0,7,120,false,0
241,0,469,649047.1153846133,1028650,379602.8846153867,0,0,82,false,0
242,0,375,649119.2307692287,1033350,384230.76923077134,0,0,94,true,0
243,0,248,649166.9230769209,1039700,390533.0769230791,0,0,127,true,0
244,0,211,649207.4999999978,1041550,392342.5000000022,0,0,37,true,0
245,0,110,649228.6538461517,1046600,397371.34615384834,0,0,101,true,0
246,0,0,649228.6538461517,1052100,402871.34615384834,0,81,191,true,0
247,0,0,649228.6538461517,1052100,402871.34615384834,0,60,60,true,0
