ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,455,165733.75,4850,-160883.75,0,1,98,false,0
1,0,455,165777.5,9700,-156077.5,0,10,107,false,0
2,0,455,165821.25,14550,-151271.25,0,0,97,false,0
3,0,455,165865,19400,-146465,0,4,101,false,0
4,0,455,165908.75,23800,-142108.75,0,0,88,false,0
5,0,455,165952.5,28650,-137302.5,0,4,101,false,0
6,0,455,165996.25,33500,-132496.25,0,4,101,false,0
7,0,455,166040,38350,-127690,0,16,113,false,0
8,0,455,166083.75,43200,-122883.75,0,3,100,false,0
9,0,455,166127.5,48050,-118077.5,0,7,104,false,0
10,0,455,166171.25,52900,-113271.25,0,0,97,false,0
11,0,455,166215,57550,-108665,0,0,93,false,0
12,0,455,166258.75,61900,-104358.75,0,0,87,false,0
13,0,455,166302.5,66750,-99552.5,0,8,105,false,0
14,0,455,166346.25,71250,-95096.25,0,0,90,false,0
15,0,455,166390,76100,-90290,0,23,120,false,0
16,0,455,166433.75,80950,-85483.75,0,9,106,false,0
17,0,455,166477.5,85800,-80677.5,0,11,108,false,0
18,0,455,166521.25,90650,-75871.25,0,14,111,false,0
19,0,455,166565,94950,-71615,0,0,86,false,0
20,0,455,166608.75,99800,-66808.75,0,10,107,false,0
21,0,455,166652.5,104400,-62252.5,0,0,92,false,0
22,0,455,166696.25,109250,-57446.25,0,3,100,false,0
23,0,455,166740,114050,-52690,0,0,96,false,0
24,0,455,166783.75,118900,-47883.75,0,6,103,false,0
25,0,455,166827.5,123750,-43077.5,0,24,121,false,0
26,0,455,166871.25,128350,-38521.25,0,0,92,false,0
27,0,455,166915,133200,-33715,0,11,108,false,0
28,0,455,166958.75,137800,-29158.75,0,0,92,false,0
29,0,455,167002.5,141350,-25652.5,0,0,71,false,0
30,0,455,167046.25,145200,-21846.25,0,0,77,false,0
31,0,455,167090,150050,-17040,0,10,107,false,0
32,0,455,167133.75,154600,-12533.75,0,0,91,false,0
33,0,455,167177.5,159450,-7727.5,0,4,101,false,0
34,0,455,167221.25,164300,-2921.25,0,2,99,false,0
35,0,455,167265,169150,1885,0,12,109,false,0
36,0,455,167308.75,173400,6091.25,0,0,85,false,0
37,0,455,167352.5,178000,10647.5,0,0,92,false,0
38,0,455,167396.25,182850,15453.75,0,16,113,false,0
39,0,455,167440,187200,19760,0,0,87,false,0
40,0,455,167483.75,192050,24566.25,0,0,97,false,0
41,0,455,167527.5,196900,29372.5,0,9,106,false,0
42,0,455,167571.25,201500,33928.75,0,0,92,false,0
43,0,455,167615,206350,38735,0,7,104,false,0
44,0,455,167658.75,210650,42991.25,0,0,86,false,0
45,0,455,167702.5,214950,47247.5,0,0,86,false,0
46,0,455,167746.25,219650,51903.75,0,0,94,false,0
47,0,345,167779.42307692306,225150,57370.57692307694,0,0,110,true,0
48,0,253,167803.75,229750,61946.25,0,0,92,true,0
49,0,455,173907.5,234600,60692.5,0,13,110,false,0
50,0,455,173951.25,239450,65498.75,0,9,106,false,0
51,0,357,173985.57692307694,244350,70364.42307692306,0,0,98,true,0
52,0,355,328999.71153846156,249350,-79649.71153846156,0,0,100,true,0
53,0,253,329024.0384615385,254450,-74574.0384615385,0,0,102,true,0
54,0,455,335127.7884615385,259050,-76077.7884615385,0,0,92,false,0
55,0,455,335171.5384615385,263900,-71271.5384615385,0,8,105,false,0
56,0,455,335215.2884615385,268750,-66465.2884615385,0,1,98,false,0
57,0,455,335259.0384615385,273600,-61659.0384615385,0,10,107,false,0
58,0,455,335302.7884615385,278450,-56852.7884615385,0,11,108,false,0
59,0,455,335346.5384615385,283300,-52046.5384615385,0,5,102,false,0
60,0,455,335390.2884615385,288150,-47240.2884615385,0,0,97,false,0
61,0,455,335434.0384615385,291800,-43634.0384615385,0,0,73,false,0
62,0,455,335477.7884615385,296650,-38827.7884615385,0,28,125,false,0
63,0,455,335521.5384615385,301100,-34421.5384615385,0,0,89,false,0
64,0,455,335565.2884615385,305800,-29765.288461538497,0,0,94,false,0
65,0,455,335609.0384615385,310650,-24959.038461538497,0,10,107,false,0
66,0,455,335652.7884615385,315500,-20152.788461538497,0,1,98,false,0
67,0,455,335696.5384615385,319800,-15896.538461538497,0,0,86,false,0
68,0,455,335740.2884615385,324650,-11090.288461538497,0,10,107,false,0
69,0,455,335784.0384615385,329450,-6334.038461538497,0,0,96,false,0
70,0,455,335827.7884615385,333850,-1977.7884615384974,0,0,88,false,0
71,0,455,335871.5384615385,337550,1678.4615384615026,0,0,74,false,0
72,0,455,335915.2884615385,341800,5884.711538461503,0,0,85,false,0
73,0,455,335959.0384615385,346650,10690.961538461503,0,5,102,false,0
74,0,455,336002.7884615385,351450,15447.211538461503,0,0,96,false,0
75,0,455,336046.5384615385,356300,20253.461538461503,0,8,105,false,0
76,0,455,336090.2884615385,361150,25059.711538461503,0,4,101,false,0
77,0,455,336134.0384615385,366000,29865.961538461503,0,8,105,false,0
78,0,455,336177.7884615385,370850,34672.2115384615,0,1,98,false,0
79,0,455,336221.5384615385,375700,39478.4615384615,0,24,121,false,0
80,0,455,336265.2884615385,380000,43734.7115384615,0,0,86,false,0
81,0,455,336309.0384615385,384850,48540.9615384615,0,2,99,false,0
82,0,455,336352.7884615385,389000,52647.2115384615,0,0,83,false,0
83,0,455,336396.5384615385,393250,56853.4615384615,0,0,85,false,0
84,0,455,336440.2884615385,398000,61559.7115384615,0,0,95,false,0
85,0,455,336484.0384615385,402300,65815.9615384615,0,0,86,false,0
86,0,455,336527.7884615385,406800,70272.2115384615,0,0,90,false,0
87,0,455,336571.5384615385,410850,74278.4615384615,0,0,81,false,0
88,0,370,336607.11538461543,415100,78492.88461538457,0,0,85,true,0
89,0,455,339200.86538461543,419950,80749.13461538457,0,18,115,false,0
90,0,455,339244.61538461543,423850,84605.38461538457,0,0,78,false,0
91,0,455,339288.36538461543,427600,88311.63461538457,0,0,75,false,0
92,0,455,339332.11538461543,432450,93117.88461538457,0,13,110,false,0
93,0,455,339375.86538461543,437000,97624.13461538457,0,0,91,false,0
94,0,455,339419.61538461543,441600,102180.38461538457,0,0,92,false,0
95,0,455,339463.36538461543,446450,106986.63461538457,0,12,109,false,0
96,0,455,339507.11538461543,451300,111792.88461538457,0,6,103,false,0
97,0,455,339550.86538461543,456100,116549.13461538457,0,0,96,false,0
98,0,455,339594.61538461543,460950,121355.38461538457,0,8,105,false,0
99,0,455,339638.36538461543,465500,125861.63461538457,0,0,91,false,0
100,0,455,339682.11538461543,470100,130417.88461538457,0,0,92,false,0
101,0,455,339725.86538461543,474050,134324.13461538457,0,0,79,false,0
102,0,455,339769.61538461543,478900,139130.38461538457,0,16,113,false,0
103,0,455,339813.36538461543,483750,143936.63461538457,0,6,103,false,0
104,0,455,491897.11538461543,488600,-3297.115384615434,0,16,113,false,0
105,0,455,491940.86538461543,493450,1509.1346153845661,0,4,101,false,0
106,0,455,491984.61538461543,497750,5765.384615384566,0,0,86,false,0
107,0,455,492028.36538461543,502050,10021.634615384566,0,0,86,false,0
108,0,455,492072.11538461543,506450,14377.884615384566,0,0,88,false,0
109,0,455,492115.86538461543,511200,19084.134615384566,0,0,95,false,0
110,0,455,492159.61538461543,516050,23890.384615384566,0,9,106,false,0
111,0,455,492203.36538461543,520900,28696.634615384566,0,4,101,false,0
112,0,455,492247.11538461543,525750,33502.884615384566,0,8,105,false,0
113,0,455,492290.86538461543,530600,38309.134615384566,0,10,107,false,0
114,0,455,492334.61538461543,534750,42415.384615384566,0,0,83,false,0
115,0,455,492378.36538461543,539500,47121.634615384566,0,0,95,false,0
116,0,455,492422.11538461543,544050,51627.884615384566,0,0,91,false,0
117,0,455,492465.86538461543,548900,56434.134615384566,0,8,105,false,0
118,0,455,492509.61538461543,553750,61240.384615384566,0,12,109,false,0
119,0,455,492553.36538461543,558600,66046.63461538457,0,15,112,false,0
120,0,455,492597.11538461543,563450,70852.88461538457,0,4,101,false,0
121,0,455,492640.86538461543,568200,75559.13461538457,0,0,95,false,0
122,0,455,492684.61538461543,573050,80365.38461538457,0,26,123,false,0
123,0,455,492728.36538461543,577750,85021.63461538457,0,0,94,false,0
124,0,455,492772.11538461543,582600,89827.88461538457,0,0,97,false,0
125,0,455,492815.86538461543,587000,94184.13461538457,0,0,88,false,0
126,0,455,492859.61538461543,591850,98990.38461538457,0,12,109,false,0
127,0,455,492903.36538461543,596200,103296.63461538457,0,0,87,false,0
128,0,455,492947.11538461543,601050,108102.88461538457,0,8,105,false,0
129,0,455,492990.86538461543,605900,112909.13461538457,0,0,97,false,0
130,0,455,493034.61538461543,610750,117715.38461538457,0,6,103,false,0
131,0,455,493078.36538461543,615200,122121.63461538457,0,0,89,false,0
132,0,455,493122.11538461543,620050,126927.88461538457,0,6,103,false,0
133,0,455,493165.86538461543,624800,131634.13461538457,0,0,95,false,0
134,0,455,493209.61538461543,629450,136240.38461538457,0,0,93,false,0
135,0,455,493253.36538461543,634300,141046.63461538457,0,14,111,false,0
136,0,455,493297.11538461543,639150,145852.88461538457,0,8,105,false,0
137,0,455,493340.86538461543,644000,150659.13461538457,0,2,99,false,0
138,0,455,493384.61538461543,648850,155465.38461538457,0,8,105,false,0
139,0,455,493428.36538461543,653700,160271.63461538457,0,3,100,false,0
140,0,455,493472.11538461543,658550,165077.88461538457,0,16,113,false,0
141,0,455,493515.86538461543,663400,169884.13461538457,0,12,109,false,0
142,0,455,493559.61538461543,667950,174390.38461538457,0,0,91,false,0
143,0,455,493603.36538461543,672800,179196.63461538457,0,16,113,false,0
144,0,455,493647.11538461543,677650,184002.88461538457,0,8,105,false,0
145,0,455,493690.86538461543,682500,188809.13461538457,0,7,104,false,0
146,0,455,493734.61538461543,687350,193615.38461538457,0,14,111,false,0
147,0,455,493778.36538461543,691750,197971.63461538457,0,0,88,false,0
