ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,206,110759.80769230769,4900,-105859.80769230769,0,0,98,false,0
1,0,206,110779.61538461538,10050,-100729.61538461538,0,4,107,false,0
2,0,206,110799.42307692306,14900,-95899.42307692306,0,0,97,false,0
3,0,206,110819.23076923075,19950,-90869.23076923075,0,0,101,false,0
4,0,206,110839.03846153844,24350,-86489.03846153844,0,0,88,false,0
5,0,206,110858.84615384613,29400,-81458.84615384613,0,0,101,false,0
6,0,206,110878.65384615381,34450,-76428.65384615381,0,0,101,false,0
7,0,206,110898.4615384615,39600,-71298.4615384615,0,10,113,false,0
8,0,206,110918.26923076919,44600,-66318.26923076919,0,0,100,false,0
9,0,206,110938.07692307688,49750,-61188.07692307688,0,1,104,false,0
10,0,206,110957.88461538457,54600,-56357.884615384566,0,0,97,false,0
11,0,206,110977.69230769225,59250,-51727.692307692254,0,0,93,false,0
12,0,206,110997.49999999994,63600,-47397.49999999994,0,0,87,false,0
13,0,206,111017.30769230763,68750,-42267.30769230763,0,2,105,false,0
14,0,206,111037.11538461532,73250,-37787.11538461532,0,0,90,false,0
15,0,206,111056.923076923,78400,-32656.923076923005,0,17,120,false,0
16,0,206,111076.7307692307,83550,-27526.730769230693,0,3,106,false,0
17,0,206,111096.53846153838,88700,-22396.53846153838,0,5,108,false,0
18,0,206,111116.34615384607,93850,-17266.34615384607,0,8,111,false,0
19,0,206,111136.15384615376,98150,-12986.153846153757,0,0,86,false,0
20,0,206,111155.96153846144,103300,-7855.961538461444,0,4,107,false,0
21,0,206,111175.76923076913,107900,-3275.7692307691323,0,0,92,false,0
22,0,206,111195.57692307682,112900,1704.42307692318,0,0,100,false,0
23,0,206,111215.38461538451,117700,6484.615384615492,0,0,96,false,0
24,0,206,111235.1923076922,122850,11614.807692307804,0,0,103,false,0
25,0,206,111254.99999999988,128000,16745.000000000116,0,18,121,false,0
26,0,206,111274.80769230757,132600,21325.19230769243,0,0,92,false,0
27,0,206,111294.61538461526,137750,26455.38461538474,0,5,108,false,0
28,0,206,111314.42307692295,142350,31035.576923077053,0,0,92,false,0
29,0,135,111327.40384615371,145900,34572.59615384629,0,0,71,true,0
30,0,58,111332.98076923063,149750,38417.019230769365,0,0,77,true,0
31,0,206,114312.78846153832,154900,40587.21153846168,0,4,107,false,0
32,0,206,114332.59615384601,159450,45117.40384615399,0,0,91,false,0
33,0,206,114352.4038461537,164500,50147.5961538463,0,0,101,false,0
34,0,206,114372.21153846139,169450,55077.788461538614,0,0,99,false,0
35,0,206,114392.01923076907,174600,60207.980769230926,0,6,109,false,0
36,0,206,114411.82692307676,178850,64438.17307692324,0,0,85,false,0
37,0,206,114431.63461538445,183450,69018.36538461555,0,0,92,false,0
38,0,206,114451.44230769214,188600,74148.55769230786,0,10,113,false,0
39,0,206,114471.24999999983,192950,78478.75000000017,0,0,87,false,0
40,0,206,114491.05769230751,197800,83308.94230769249,0,0,97,false,0
41,0,206,114510.8653846152,202950,88439.1346153848,0,3,106,false,0
42,0,206,114530.67307692289,207550,93019.32692307711,0,0,92,false,0
43,0,206,114550.48076923058,212700,98149.51923076942,0,1,104,false,0
44,0,206,114570.28846153826,217000,102429.71153846174,0,0,86,false,0
45,0,206,114590.09615384595,221300,106709.90384615405,0,0,86,false,0
46,0,206,114609.90384615364,226000,111390.09615384636,0,0,94,false,0
47,0,206,114629.71153846133,231150,116520.28846153867,0,7,110,false,0
48,0,206,114649.51923076902,235750,121100.48076923098,0,0,92,false,0
49,0,206,114669.3269230767,240900,126230.6730769233,0,7,110,false,0
50,0,206,114689.13461538439,246050,131360.8653846156,0,3,106,false,0
51,0,206,114708.94230769208,250950,136241.05769230792,0,0,98,false,0
52,0,206,221348.74999999977,255950,34601.25000000023,0,0,100,false,0
53,0,206,221368.55769230745,261050,39681.442307692545,0,0,102,false,0
54,0,206,221388.36538461514,265650,44261.63461538486,0,0,92,false,0
