ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,204,59429.230769230766,4900,-54529.230769230766,0,0,98,true,0
1,0,302,60467.30769230769,10250,-50217.30769230769,0,0,107,false,0
2,0,302,60525.38461538461,15100,-45425.38461538461,0,0,97,false,0
3,0,302,60583.46153846153,20150,-40433.46153846153,0,0,101,false,0
4,0,302,60641.538461538454,24550,-36091.538461538454,0,0,88,false,0
5,0,302,60699.615384615376,29600,-31099.615384615376,0,0,101,false,0
6,0,302,60757.6923076923,34650,-26107.692307692298,0,0,101,false,0
7,0,302,60815.76923076922,40050,-20765.76923076922,0,5,113,false,0
8,0,302,60873.84615384614,45050,-15823.846153846142,0,0,100,false,0
9,0,302,60931.92307692306,50250,-10681.923076923063,0,0,104,false,0
10,0,302,60989.999999999985,55100,-5889.999999999985,0,0,97,false,0
11,0,302,61048.07692307691,59750,-1298.0769230769074,0,0,93,false,0
12,0,302,61106.15384615383,64100,2993.8461538461706,0,0,87,false,0
13,0,302,61164.23076923075,69350,8185.769230769249,0,0,105,false,0
14,0,302,61222.30769230767,73850,12627.692307692327,0,0,90,false,0
15,0,302,61280.384615384595,79250,17969.615384615405,0,12,120,false,0
16,0,302,61338.46153846152,84550,23211.538461538483,0,0,106,false,0
17,0,302,61396.53846153844,89950,28553.46153846156,0,0,108,false,0
18,0,302,61454.61538461536,95350,33895.38461538464,0,3,111,false,0
19,0,302,61512.69230769228,99650,38137.30769230772,0,0,86,false,0
20,0,302,61570.769230769205,105000,43429.230769230795,0,0,107,false,0
21,0,302,61628.84615384613,109600,47971.15384615387,0,0,92,false,0
22,0,302,61686.92307692305,114600,52913.07692307695,0,0,100,false,0
23,0,302,61744.99999999997,119400,57655.00000000003,0,0,96,false,0
24,0,302,61803.07692307689,124550,62746.92307692311,0,0,103,false,0
25,0,302,61861.153846153815,129950,68088.84615384619,0,13,121,false,0
26,0,302,61919.23076923074,134550,72630.76923076926,0,0,92,false,0
27,0,302,61977.30769230766,139950,77972.69230769234,0,0,108,false,0
28,0,302,62035.38461538458,144550,82514.61538461542,0,0,92,false,0
29,0,302,62093.4615384615,148100,86006.5384615385,0,0,71,false,0
30,0,302,62151.538461538425,151950,89798.46153846158,0,0,77,false,0
31,0,302,62209.61538461535,157300,95090.38461538465,0,0,107,false,0
32,0,302,62267.69230769227,161850,99582.30769230773,0,0,91,false,0
33,0,302,62325.76923076919,166900,104574.23076923081,0,0,101,false,0
34,0,302,62383.84615384611,171850,109466.15384615389,0,0,99,false,0
35,0,302,62441.923076923034,177250,114808.07692307697,0,1,109,false,0
36,0,302,62499.999999999956,181500,119000.00000000004,0,0,85,false,0
37,0,302,62558.07692307688,186100,123541.92307692312,0,0,92,false,0
38,0,302,62616.1538461538,191500,128883.8461538462,0,5,113,false,0
39,0,302,62674.23076923072,195850,133175.76923076928,0,0,87,false,0
40,0,302,62732.307692307644,200700,137967.69230769237,0,0,97,false,0
41,0,196,62769.99999999995,206000,143230.00000000006,0,0,106,true,0
42,0,104,62789.99999999995,210600,147810.00000000006,0,0,92,true,0
43,0,0,62789.99999999995,215800,153010.00000000006,0,0,104,true,0
44,0,302,65868.07692307686,220100,154231.92307692312,0,0,86,false,0
45,0,302,65926.15384615379,224400,158473.8461538462,0,0,86,false,0
46,0,302,65984.23076923071,229100,163115.7692307693,0,0,94,false,0
47,0,302,66042.30769230763,234500,168457.69230769237,0,2,110,false,0
48,0,302,66100.38461538455,239100,172999.61538461543,0,0,92,false,0
49,0,302,66158.46153846147,244500,178341.53846153853,0,2,110,false,0
50,0,302,66216.5384615384,249800,183583.46153846162,0,0,106,false,0
51,0,302,66274.61538461532,254700,188425.38461538468,0,0,98,false,0
52,0,302,122702.69230769224,259700,136997.30769230775,0,0,100,false,0
53,0,302,122760.76923076916,264800,142039.23076923084,0,0,102,false,0
54,0,302,122818.84615384608,269400,146581.15384615393,0,0,92,false,0
55,0,197,122856.7307692307,274650,151793.2692307693,0,0,105,true,0
56,0,99,122875.76923076916,279550,156674.23076923084,0,0,98,true,0
57,0,302,124963.84615384608,284900,159936.15384615393,0,0,107,false,0
58,0,302,125021.923076923,290300,165278.076923077,0,0,108,false,0
59,0,302,125079.99999999993,295400,170320.00000000006,0,0,102,false,0
60,0,205,125119.423076923,300250,175130.576923077,0,0,97,true,0
