ticks,inventory-position,ss-position,cost,revenue,profit,shortage-cost-now,shortage-amount,common-demand,disruption,total-reservation-quantity
0,0,373,163265.86538461538,4850,-158415.86538461538,0,1,98,false,0
1,0,373,163301.73076923075,9700,-153601.73076923075,0,10,107,false,0
2,0,373,163337.59615384613,14550,-148787.59615384613,0,0,97,false,0
3,0,373,163373.4615384615,19400,-143973.4615384615,0,4,101,false,0
4,0,373,163409.32692307688,23800,-139609.32692307688,0,0,88,false,0
5,0,373,163445.19230769225,28650,-134795.19230769225,0,4,101,false,0
6,0,373,163481.05769230763,33500,-129981.05769230763,0,4,101,false,0
7,0,373,163516.923076923,38350,-125166.923076923,0,16,113,false,0
8,0,373,163552.78846153838,43200,-120352.78846153838,0,3,100,false,0
9,0,373,163588.65384615376,48050,-115538.65384615376,0,7,104,false,0
10,0,373,163624.51923076913,52900,-110724.51923076913,0,0,97,false,0
11,0,373,163660.3846153845,57550,-106110.38461538451,0,0,93,false,0
12,0,373,163696.24999999988,61900,-101796.24999999988,0,0,87,false,0
13,0,373,163732.11538461526,66750,-96982.11538461526,0,8,105,false,0
14,0,283,163759.3269230768,71250,-92509.32692307679,0,0,90,true,0
15,0,373,166495.19230769217,76100,-90395.19230769217,0,23,120,false,0
16,0,373,166531.05769230754,80950,-85581.05769230754,0,9,106,false,0
17,0,373,166566.92307692292,85800,-80766.92307692292,0,11,108,false,0
18,0,373,166602.7884615383,90650,-75952.7884615383,0,14,111,false,0
19,0,373,166638.65384615367,94950,-71688.65384615367,0,0,86,false,0
20,0,373,166674.51923076904,99800,-66874.51923076904,0,10,107,false,0
21,0,373,166710.38461538442,104400,-62310.38461538442,0,0,92,false,0
22,0,373,166746.2499999998,109250,-57496.249999999796,0,3,100,false,0
23,0,373,166782.11538461517,114050,-52732.11538461517,0,0,96,false,0
24,0,373,166817.98076923055,118900,-47917.98076923055,0,6,103,false,0
25,0,373,166853.84615384592,123750,-43103.84615384592,0,24,121,false,0
26,0,281,166880.86538461514,128350,-38530.86538461514,0,0,92,true,0
27,0,173,166897.49999999977,133750,-33147.49999999977,0,0,108,true,0
28,0,373,172933.36538461514,138350,-34583.36538461514,0,0,92,false,0
29,0,373,172969.23076923052,141900,-31069.23076923052,0,0,71,false,0
30,0,373,173005.0961538459,145750,-27255.096153845894,0,0,77,false,0
31,0,266,173030.67307692283,151100,-21930.67307692283,0,0,107,true,0
32,0,373,176276.5384615382,155650,-20626.538461538206,0,0,91,false,0
33,0,373,176312.40384615358,160500,-15812.403846153582,0,4,101,false,0
34,0,373,176348.26923076896,165350,-10998.269230768958,0,2,99,false,0
35,0,373,176384.13461538433,170200,-6184.134615384333,0,12,109,false,0
36,0,373,176419.9999999997,174450,-1969.999999999709,0,0,85,false,0
37,0,373,176455.86538461508,179050,2594.1346153849154,0,0,92,false,0
38,0,373,176491.73076923046,183900,7408.26923076954,0,16,113,false,0
39,0,373,176527.59615384584,188250,11722.403846154164,0,0,87,false,0
